cluster,cluster_hybrid,n_cells,vote_frac
Astro-1,Astro,131,0.39457831325301207
Astro-2,Astro,395,0.7775590551181102
Endo,Endo,26,0.5909090909090909
Epen,Epen,109,0.8934426229508197
GABA-1-1,GABA-LGE-1,1059,0.9338624338624338
GABA-1-2,GABA-LGE-2,388,0.6795096322241682
GABA-2-1,GABA-MGE-SST-1,291,0.7886178861788617
GABA-3,GABA-MGE-PVALB-1,193,0.6245954692556634
GABA-4-1,GABA-MGE-PVALB-2,370,0.7088122605363985
GABA-5,GABA-CGE,91,0.5449101796407185
GABA-6,GABA-MGE-LAMP5,162,0.9642857142857143
GABA-8,GABA-MGE-LHX8,28,0.8
GABA-Pre,GABA-Im,38,0.27941176470588236
Glut-Arco-1,Glut-CACNA1H-1,997,0.7091038406827881
Glut-Arco-2,Glut-CACNA1H-2,816,0.7669172932330827
Glut-Arco-6,Glut-CACNA1H-2,109,0.5240384615384616
Glut-Arco-7,Glut-CACNA1H-2,157,0.9751552795031055
Glut-HVC-1,Glut-DACH2-HVCra,850,0.6719367588932806
Glut-HVC-2,Glut-DACH2-HVCx,201,0.8237704918032787
Glut-NC-1,Glut-DACH2-1,601,0.4256373937677054
Glut-NC-2,Glut-DACH2-2,539,0.43397745571658614
Glut-NC-3,Glut-DACH2-3,512,0.5529157667386609
Glut-NC-4,Glut-DACH2-4,385,0.5737704918032787
Glut-Pre-1,Glut-NSC,140,0.9395973154362416
Glut-Pre-2,Glut-NB,498,0.819078947368421
Glut-Pre-3,Glut-Im,470,0.5263157894736842
Glut-RA,Glut-CACNA1H-RA,358,0.6392857142857142
Micro,Micro,129,0.9847328244274809
OPC,OPC,452,0.9699570815450643
Oligo,Oligo,508,0.6640522875816993
