cluster,cluster_hybrid_snrna,n_cells,vote_frac
Astro-1,Astro-2,131,0.39457831325301207
Astro-1,Astro-3,109,0.32831325301204817
Astro-1,Astro-1,91,0.2740963855421687
Astro-1,Oligo-3,1,0.0030120481927710845
Astro-2,Astro-2,395,0.7775590551181102
Astro-2,Astro-3,71,0.13976377952755906
Astro-2,Astro-1,38,0.07480314960629922
Astro-2,Micro,2,0.003937007874015748
Astro-2,Glut-NSC,1,0.001968503937007874
Astro-2,Oligo-3,1,0.001968503937007874
Endo,Endo,26,0.5909090909090909
Endo,Micro,14,0.3181818181818182
Endo,Astro-3,2,0.045454545454545456
Endo,Astro-1,1,0.022727272727272728
Endo,Oligo-2,1,0.022727272727272728
Epen,Epen,109,0.8934426229508197
Epen,Glut-NSC,9,0.07377049180327869
Epen,Astro-1,4,0.03278688524590164
GABA-1-1,GABA-LGE-1,1059,0.9338624338624338
GABA-1-1,GABA-LGE-2,63,0.05555555555555555
GABA-1-1,GABA-MGE-PVALB-2,7,0.006172839506172839
GABA-1-1,GABA-MGE-SST-2,2,0.001763668430335097
GABA-1-1,GABA-CGE-1,1,8.818342151675485e-4
GABA-1-1,GABA-MGE-SST-1,1,8.818342151675485e-4
GABA-1-1,Glut-NB,1,8.818342151675485e-4
GABA-1-2,GABA-LGE-1,388,0.6795096322241682
GABA-1-2,GABA-LGE-2,179,0.31348511383537653
GABA-1-2,Astro-1,2,0.0035026269702276708
GABA-1-2,GABA-MGE-PVALB-2,2,0.0035026269702276708
GABA-2-1,GABA-MGE-SST-1,291,0.7886178861788617
GABA-2-1,GABA-MGE-SST-2,47,0.12737127371273713
GABA-2-1,GABA-MGE-PVALB-3,11,0.02981029810298103
GABA-2-1,GABA-MGE-PVALB-2,9,0.024390243902439025
GABA-2-1,GABA-MGE-SST-3,7,0.018970189701897018
GABA-2-1,GABA-MGE-PVALB-1,3,0.008130081300813009
GABA-2-1,GABA-LGE-1,1,0.0027100271002710027
GABA-3,GABA-MGE-PVALB-1,193,0.6245954692556634
GABA-3,GABA-MGE-PVALB-2,77,0.24919093851132687
GABA-3,GABA-MGE-SST-1,33,0.10679611650485436
GABA-3,GABA-MGE-SST-2,5,0.016181229773462782
GABA-3,GABA-LGE-1,1,0.003236245954692557
GABA-4-1,GABA-MGE-PVALB-2,370,0.7088122605363985
GABA-4-1,GABA-MGE-SST-1,87,0.16666666666666666
GABA-4-1,GABA-MGE-PVALB-1,44,0.0842911877394636
GABA-4-1,GABA-CGE-1,4,0.007662835249042145
GABA-4-1,GABA-CGE-2,4,0.007662835249042145
GABA-4-1,GABA-MGE-ST18,4,0.007662835249042145
GABA-4-1,GABA-LGE-1,3,0.005747126436781609
GABA-4-1,GABA-MGE-LAMP5,3,0.005747126436781609
GABA-4-1,GABA-MGE-SST-2,2,0.0038314176245210726
GABA-4-1,GABA-MGE-LHX8,1,0.0019157088122605363
GABA-5,GABA-CGE-2,91,0.5449101796407185
GABA-5,GABA-CGE-1,63,0.3772455089820359
GABA-5,GABA-LGE-1,5,0.029940119760479042
GABA-5,GABA-MGE-PVALB-2,3,0.017964071856287425
GABA-5,GABA-MGE-LAMP5,2,0.011976047904191617
GABA-5,GABA-Im,1,0.005988023952095809
GABA-5,GABA-MGE-SST-1,1,0.005988023952095809
GABA-5,Glut-DACH2-HVCra,1,0.005988023952095809
GABA-6,GABA-MGE-LAMP5,162,0.9642857142857143
