celltype,n_cells,median_axis_position
Glut-DACH2-1,2561,0
Glut-Im,1100,0.094
Glut-DACH2-5,1181,0.106
Glut-DACH2-7,841,0.106
Glut-CACNA1H-3,406,0.123
Glut-CACNA1H-2,858,0.131
Glut-DACH2-4,264,0.133
Glut-DACH2-3,725,0.138
Glut-DACH2-2,965,0.143
Glut-GABA,306,0.145
Glut-CACNA1H-4,267,0.211
Glut-CACNA1H-1,1168,0.217
Glut-DACH2-LMANsh,1172,0.261
Glut-NSC,224,0.285
Glut-DACH2-6,904,0.289
Glut-NB,623,0.313
Glut-SATB2-1,386,0.323
Glut-DACH2-8,672,0.368
Glut-DACH2-HVCra-Int,692,0.42
Glut-CACNA1H-RA,1218,0.454
Glut-DACH2-LMANco,684,0.593
Glut-DACH2-HVCx,342,0.746
Glut-DACH2-HVCra,3017,1
