gene,enriched_in
ABCC5,HVC
ADAM23,HVC
ADSSL1,HVC
AHNAK2,HVC
AIFM1,HVC
AIM1,HVC
ALDH1A2,HVC
ANK1,HVC
ANXA6,HVC
ATP1B4,HVC
AYTL1,HVC
C1orf34,HVC
C20orf3,HVC
C6orf168,HVC
CABP1,HVC
CADPS2,HVC
CALCR,HVC
CAMK1D,HVC
CAMTA1,HVC
CD59,HVC
CD99L2,HVC
CHGB,HVC
CHRNA5,HVC
CHRNA7,HVC
COL21A1,HVC
COL4A2,HVC
CPM,HVC
CRHBP,HVC
CXCL14,HVC
DCN,HVC
DIP2A,HVC
DOK4,HVC
DPP10,HVC
DPP6,HVC
FAM13A1,HVC
FASN,HVC
FNTM2,HVC
FOSL2,HVC
FST,HVC
GABRE,HVC
GBAS,HVC
GPC3,HVC
GPI,HVC
HTR1F,HVC
IL4R,HVC
INF2,HVC
ITGAX,HVC
KCNA1,HVC
LGMN,HVC
LMO2,HVC
LMO3,HVC
MAP1B,HVC
MAP4,HVC
MAPK11,HVC
MCF2,HVC
NBL1,HVC
NDRG4,HVC
NEFH,HVC
NEFL,HVC
NEFM,HVC
NETO1,HVC
NPY2R,HVC
NR3C2,HVC
NRP1,HVC
NTS,HVC
PARD3,HVC
PDE8B,HVC
PDZRN3,HVC
PGM1,HVC
PLXNA4,HVC
PPP4R2,HVC
PRDM11,HVC
PRKRIP1,HVC
PTGER4,HVC
PTPRF,HVC
PVALB,HVC
PYGB,HVC
QSOX6,HVC
RAB39,HVC
RCAN2,HVC
RGS4,HVC
RHOB,HVC
S100B,HVC
SACS,HVC
SAP30L,HVC
SCUBE1/2,HVC
SETD1B,HVC
SLC38A10,HVC
SLC7A2,HVC
SLC8A1,HVC
SLC9A7,HVC
SNCG,HVC
SOX6,HVC
ST8SIA4,HVC
STARD13,HVC
STC2,HVC
STK11IP,HVC
STMN3,HVC
SV2B,HVC
SYCP1,HVC
SYF2,HVC
SYNC1,HVC
SYNJ1,HVC
TBR1,HVC
THBS4,HVC
THOC4,HVC
TMEM16E,HVC
TMEM74,HVC
TMTC1,HVC
TNR,HVC
TOMM70A,HVC
TRIM8,HVC
TSPAN9,HVC
UBE2E1,HVC
UTS2B,HVC
Unknown,HVC
VLLH2748,HVC
WASL,HVC
ZNF533,HVC
ABCA1,Shelf
ANK3,Shelf
ANKRD12,Shelf
ANTXR2,Shelf
AQP1,Shelf
ARHGDIB,Shelf
ARL5B,Shelf
ARPP21,Shelf
ASTN1,Shelf
ATP8A1,Shelf
B3GNT1,Shelf
BAI3,Shelf
BMPR2,Shelf
C14orf147,Shelf
C1QL3,Shelf
C1orf187,Shelf
C3orf39,Shelf
C5orf30,Shelf
CACNA1G,Shelf
CACNG4,Shelf
CAMK2D,Shelf
CAP2,Shelf
CCK,Shelf
CHODL,Shelf
CHST11,Shelf
CHST2,Shelf
CLMN,Shelf
CNOT6,Shelf
CPNE2,Shelf
CPNE8,Shelf
CREB1,Shelf
CYP19A1,Shelf
CYP1B1,Shelf
DACT1,Shelf
DHRS2,Shelf
DOCK4,Shelf
EML5,Shelf
ENOX1,Shelf
EPB41L2,Shelf
FAM152A,Shelf
FAM18A,Shelf
FAM5C,Shelf
FAM84A,Shelf
FJX1,Shelf
FNBP1,Shelf
FSTL4,Shelf
GALNTL,Shelf
GAS7,Shelf
GLRA2,Shelf
GPR173,Shelf
GPR177,Shelf
GPR98,Shelf
GRIA4,Shelf
GRIK2,Shelf
GRM1,Shelf
GRM5,Shelf
GRRP1,Shelf
HMG2L1,Shelf
HOPX,Shelf
HPCAL1,Shelf
HRH3,Shelf
HS3ST1,Shelf
KCNC2,Shelf
KCND2,Shelf
KCNF1,Shelf
KCNK10,Shelf
KCNK5,Shelf
KLHL2,Shelf
LIN7A,Shelf
LPPR4,Shelf
LRRIQ1,Shelf
MAP7,Shelf
MARCKS,Shelf
MEGF6,Shelf
MEIS1,Shelf
MMD2,Shelf
MMEL1,Shelf
MPPED1,Shelf
MTPN,Shelf
MYCN,Shelf
MYO1B,Shelf
NAP1L4,Shelf
NOL4,Shelf
NRXN3,Shelf
NSUN6,Shelf
Odz3,Shelf
PAIP1,Shelf
PCBP3,Shelf
PDGFRA,Shelf
PHLDB2,Shelf
PLD1,Shelf
PLXNA1,Shelf
PPFIBP1,Shelf
PRKAR2B,Shelf
PRKCD,Shelf
PRR5,Shelf
PTER,Shelf
PTPRZ1,Shelf
PVRL1,Shelf
RAB36,Shelf
RASD2,Shelf
RASGRF1,Shelf
RASL11A,Shelf
RASL12,Shelf
RELN,Shelf
RFTN1,Shelf
RGS12,Shelf
RGS16,Shelf
RPL18A,Shelf
RPRML,Shelf
RSPO3,Shelf
SCN3B,Shelf
SEMA3A,Shelf
SEMA6A,Shelf
SHC1,Shelf
SHC3,Shelf
SLC32A1,Shelf
SNRK,Shelf
SPSB4,Shelf
SYT10,Shelf
TAC1,Shelf
TCOF1,Shelf
TIMP3,Shelf
TLL1,Shelf
TMEM158,Shelf
TMEPAI,Shelf
TNFAIP8L3,Shelf
TOX2,Shelf
TRIB2,Shelf
TRP53i11,Shelf
TUBGCP5,Shelf
UBE2D3,Shelf
UNC5C,Shelf
USP46,Shelf
ZDHHC22,Shelf
ZNF423,Shelf
