celltype,n_cells,hvc_score,shelf_score,hvc_minus_shelf
Glut-DACH2-HVCra,3017,0.21,0.02,0.19
Glut-DACH2-HVCx,342,0.168,0.01,0.158
Glut-CACNA1H-RA,1218,0.196,0.084,0.112
Glut-DACH2-LMANco,684,0.151,0.052,0.099
Glut-NSC,224,0.005,-0.002,0.007
Glut-DACH2-HVCra-Int,692,0.083,0.12,-0.037
Glut-SATB2-1,386,0.075,0.115,-0.04
Glut-DACH2-6,904,0.036,0.111,-0.075
Glut-NB,623,0.033,0.122,-0.089
Glut-DACH2-8,672,0.024,0.129,-0.105
Glut-DACH2-4,264,0.03,0.14,-0.11
Glut-DACH2-LMANsh,1172,0.044,0.169,-0.125
Glut-DACH2-7,841,0.031,0.164,-0.133
Glut-DACH2-5,1181,0.038,0.19,-0.152
Glut-DACH2-2,965,0.029,0.182,-0.153
Glut-DACH2-1,2561,0.009,0.194,-0.185
Glut-DACH2-3,725,-0.011,0.188,-0.199
Glut-Im,1100,-0.007,0.213,-0.22
