hybrid_label,pub_match,frac_fwd,hybrid_match,frac_rev,reciprocal,mean_score_fwd,n_new_cells,n_pub_cells
Glut-DACH2-HVCra,HVC_Glut-1,0.9134902220749088,Glut-DACH2-HVCra,0.9241296035419602,TRUE,0.901608075260033,2756,4592
Glut-DACH2-HVCx,HVC_Glut-3,0.9824561403508771,Glut-DACH2-HVCx,0.6568557071069634,TRUE,0.977601160498312,336,915
Glut-DACH2-1,HVC_Glut-2,0.9367434595860992,Glut-DACH2-1,0.37816979051819183,TRUE,0.9033162900510704,2399,1029
Glut-DACH2-3,HVC_Glut-5,0.9462068965517242,Glut-DACH2-3,0.8565022421524664,TRUE,0.8978403566237094,686,191
Glut-CACNA1H-RA,RA_Glut-1,0.9704433497536946,Glut-CACNA1H-RA,0.8455114822546973,TRUE,0.6935352403080957,1182,405
Glut-Im,Pre-4,0.8454545454545455,Glut-Im,0.9084821428571429,TRUE,0.9082568176318543,930,407
Glut-NB,Pre-3,0.5056179775280899,Glut-NB,0.8912621359223301,TRUE,0.8499264102682724,315,459
Glut-NSC,Pre-1,0.9508928571428571,Glut-NSC,0.6815286624203821,TRUE,0.9032543003852282,213,535
GABA-1-1,GABA-1-1,0.9215798511734402,GABA-1-1,0.9165659008464329,TRUE,0.8109099531725482,1610,758
GABA-2-1,GABA-2,0.9277456647398844,GABA-2-1,0.4738675958188153,TRUE,0.9150534184287893,642,408
GABA-3,GABA-3,0.9744376278118609,GABA-3,0.714516129032258,TRUE,0.9588773917777612,953,443
GABA-5-2,GABA-5-3,0.5152224824355972,GABA-5-2,0.8727272727272727,TRUE,0.5925414778265415,220,96
GABA-6,GABA-6,0.9957983193277311,GABA-6,0.9625668449197861,TRUE,0.9915508478460879,474,180
GABA-8,GABA-8,0.96698113207547165,GABA-8,0.9090909090909091,TRUE,0.8809307500978817,205,60
Astro-1,Astro,0.9955476402493322,Astro-1,0.6184773310521814,TRUE,0.9972889449800787,1118,2892
Epen,Epen,0.9716312056737588,Epen,0.5475638051044084,TRUE,0.951381408846943,137,236
Oligo-2,Oligo,0.9947780678851175,Oligo-2,0.9680182752712736,TRUE,0.9899561645926162,381,1695
OPC,OPC,0.9950617283950617,OPC,0.7503793626707133,TRUE,0.9875832635178519,806,989
Micro,Micro,0.691358024691358,Micro,0.9006069802731411,TRUE,0.9268682175803381,56,1187
Endo,VLMC,0.35135135135135137,Endo,0.9310344827586207,TRUE,0.7548303814256169,26,27
Glut-DACH2-HVCra-Pre,HVC_Glut-2,0.9393063583815029,Glut-DACH2-1,0.37816979051819183,FALSE,0.8833047783410186,650,1029
Glut-DACH2-2,HVC_Glut-2,0.9896373056994818,Glut-DACH2-1,0.37816979051819183,FALSE,0.9733839777587617,955,1029
Glut-DACH2-4,HVC_Glut-5,0.5151515151515151,Glut-DACH2-3,0.8565022421524664,FALSE,0.722369399246086,136,191
Glut-DACH2-LMANsh,HVC_Glut-2,0.9812286689419796,Glut-DACH2-1,0.37816979051819183,FALSE,0.9539380564955333,1150,1029
Glut-DACH2-LMANco,HVC_Glut-3,0.8347953216374269,Glut-DACH2-HVCx,0.6568557071069634,FALSE,0.7786967636040198,571,915
Glut-DACH2-5,HVC_Glut-2,0.9940728196443692,Glut-DACH2-1,0.37816979051819183,FALSE,0.9862314781646121,1174,1029
Glut-DACH2-6,HVC_Glut-3,0.6050884955752213,Glut-DACH2-HVCx,0.6568557071069634,FALSE,0.6725829811229901,547,915
Glut-DACH2-7,HVC_Glut-2,0.93935790725327,Glut-DACH2-1,0.37816979051819183,FALSE,0.8912847434908734,790,1029
Glut-DACH2-8,HVC_Glut-5,0.6488095238095238,Glut-DACH2-3,0.8565022421524664,FALSE,0.6825342298255097,436,191
Glut-CACNA1H-1,RA_Glut-1,0.9794520547945206,Glut-CACNA1H-RA,0.8455114822546973,FALSE,0.8625111117242895,1144,405
Glut-CACNA1H-2,RA_Glut-1,0.40326340326340326,Glut-CACNA1H-RA,0.8455114822546973,FALSE,0.5578754582230138,346,405
Glut-CACNA1H-3,RA_Glut-1,0.8891625615763546,Glut-CACNA1H-RA,0.8455114822546973,FALSE,0.7504999273798905,361,405
Glut-CACNA1H-4,HVC_Glut-5,0.37453183520599254,Glut-DACH2-3,0.8565022421524664,FALSE,0.5235728083210057,100,191
Glut-SATB2-1,HVC_Glut-2,0.6917098445595855,Glut-DACH2-1,0.37816979051819183,FALSE,0.6678797969520015,267,1029
Glut-GABA,HVC_Glut-2,0.41830065359477125,Glut-DACH2-1,0.37816979051819183,FALSE,0.5220718384923644,128,1029
GABA-1-2,GABA-1-1,0.592,GABA-1-1,0.9165659008464329,FALSE,0.6925739692923917,370,758
GABA-2-2,GABA-2,0.8673267326732673,GABA-2-1,0.4738675958188153,FALSE,0.891980602149888,438,408
GABA-2-3,GABA-2,0.8282051282051283,GABA-2-1,0.4738675958188153,FALSE,0.9207510726451555,323,408
GABA-4-1,GABA-3,0.8056951423785594,GABA-3,0.714516129032258,FALSE,0.87442167085015865,481,443
GABA-4-2,GABA-4,0.6630901287553648,GABA-2-1,0.502454991816694,FALSE,0.8371240817300993,309,307
GABA-5-1,GABA-5-1,0.5628571428571428,GABA-5-2,0.679144385026738,FALSE,0.5363822714072456,197,127
GABA-7,GABA-7,0.7015706806282722,GABA-Im,0.4358974358974359,FALSE,0.6203563040928736,134,34
GABA-Im,GABA-2,0.3522267206477733,GABA-2-1,0.4738675958188153,FALSE,0.7328163711162767,87,408
Astro-2,Astro,1,Astro-1,0.6184773310521814,FALSE,0.9982560582299383,865,2892
Astro-3,Astro,1,Astro-1,0.6184773310521814,FALSE,1,828,2892
Oligo-1,Oligo,1,Oligo-2,0.9680182752712736,FALSE,1,759,1695
Oligo-3,Astro,0.8817204301075269,Astro-1,0.6184773310521814,FALSE,0.6689418727469065,82,2892
