,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.7142,0.1451,0.0371,0.0687,0.0461,0.0464,0.031,0.0542,0.0436,0.0313,0.0371,0.0201,0.0473,0.0595,0.0416,0.0463,0.078,0.0311,0.0407,0.0427,0.0526,0.0297,0.1096,0.093,0.0388,0.0365,0.0391,0.0474,0.0695,0.0349,0.0942,0.0847,0.0937,0.068,0.0717,0.0789,0.1129,0.0792,0.0853,0.0801,0.0709,0.0674,0.0779,0.0778,0.0922,0.0932,0.1544,0.1509,0.145,0.2944
Astro-2,0.7262,0.1476,0.0351,0.0717,0.0459,0.0446,0.0286,0.0524,0.0375,0.0284,0.0318,0.015,0.0424,0.0549,0.036,0.0406,0.0761,0.0244,0.0386,0.0404,0.0549,0.0323,0.113,0.1326,0.0396,0.0325,0.0388,0.0495,0.0716,0.0339,0.0948,0.0862,0.0957,0.0656,0.0702,0.0783,0.1157,0.0801,0.085,0.0813,0.0717,0.0685,0.0795,0.0774,0.0936,0.0954,0.1581,0.1544,0.1484,0.2337
Astro-3,0.834,0.1467,0.0374,0.072,0.0489,0.0478,0.0335,0.0549,0.0371,0.0304,0.038,0.019,0.0461,0.0562,0.0388,0.0436,0.0762,0.0282,0.0405,0.0389,0.0554,0.0338,0.1071,0.0937,0.0411,0.0341,0.041,0.0536,0.0696,0.0386,0.0916,0.0832,0.0932,0.0681,0.0739,0.0765,0.1127,0.0816,0.0838,0.0789,0.0692,0.0648,0.0785,0.0773,0.0937,0.0955,0.1555,0.1532,0.1482,0.1651
Endo,0.2316,0.1528,0.0264,0.0608,0.033,0.0306,0.0104,0.0402,0.0219,0.0133,0.0176,0.0,0.0258,0.0448,0.021,0.0329,0.0662,0.0009,0.0245,0.0217,0.044,0.0245,0.1607,0.17,0.0289,0.0177,0.0264,0.0412,0.0613,0.0265,0.0901,0.0798,0.0937,0.0586,0.0634,0.078,0.1313,0.0722,0.0768,0.081,0.0633,0.0683,0.0799,0.0677,0.0948,0.0938,0.1894,0.1446,0.1648,0.6673
Epen,0.3434,0.1393,0.0616,0.0791,0.0703,0.0646,0.0503,0.0819,0.0383,0.0302,0.0389,0.0142,0.0625,0.082,0.0497,0.031,0.0587,0.0382,0.0398,0.0269,0.0509,0.0445,0.1131,0.1058,0.0385,0.0563,0.0419,0.0541,0.2058,0.0366,0.0879,0.0893,0.0931,0.0646,0.0839,0.0832,0.1195,0.0753,0.0838,0.0788,0.0663,0.0713,0.0747,0.0713,0.1084,0.1062,0.1484,0.1462,0.1467,0.232
GABA-1-1,0.0413,0.0679,0.086,0.0941,0.092,0.0982,0.097,0.0901,0.0977,0.0842,0.0937,0.0816,0.1024,0.1031,0.1069,0.1056,0.0795,0.0906,0.0886,0.0811,0.0868,0.0707,0.0746,0.0808,0.0963,0.0986,0.1034,0.0964,0.0846,0.0796,0.0964,0.0991,0.0916,0.1743,0.1292,0.7104,0.1006,0.0875,0.0904,0.0941,0.0868,0.0939,0.0862,0.0837,0.1121,0.1051,0.0589,0.0649,0.0588,0.0433
GABA-1-2,0.0435,0.0737,0.0771,0.0901,0.0886,0.0964,0.0862,0.0885,0.0754,0.068,0.0767,0.0648,0.0905,0.0986,0.0896,0.0849,0.0631,0.0792,0.0806,0.0604,0.0769,0.0602,0.0904,0.0957,0.0813,0.0811,0.0881,0.0844,0.0891,0.0687,0.0993,0.1056,0.095,0.2203,0.2498,0.4829,0.1731,0.0842,0.088,0.0983,0.0783,0.0913,0.0861,0.0734,0.1262,0.1087,0.0619,0.0763,0.0592,0.0495
GABA-2-1,0.0459,0.0736,0.084,0.0765,0.0641,0.0556,0.0544,0.0592,0.0538,0.0566,0.0486,0.0531,0.0573,0.0666,0.0506,0.0561,0.0865,0.0529,0.061,0.0613,0.0879,0.0762,0.1008,0.1018,0.0627,0.0558,0.0699,0.0788,0.1158,0.0679,0.1422,0.1484,0.1431,0.0857,0.0922,0.1114,0.1224,0.1526,0.1361,0.2374,0.2119,0.6909,0.1771,0.1539,0.1012,0.1002,0.0972,0.072,0.0809,0.075
GABA-2-2,0.0397,0.0651,0.0856,0.0796,0.0784,0.0695,0.0656,0.0724,0.0424,0.0508,0.0476,0.0476,0.0598,0.0693,0.0494,0.0394,0.0707,0.0604,0.06,0.0522,0.0781,0.0663,0.1018,0.1055,0.054,0.0456,0.0598,0.0675,0.117,0.0643,0.1402,0.1619,0.148,0.0739,0.0836,0.0976,0.1122,0.1543,0.1321,0.6122,0.2223,0.3713,0.1715,0.1428,0.0965,0.0987,0.0682,0.0752,0.0615,0.0531
GABA-2-3,0.036,0.0636,0.0867,0.0965,0.092,0.0811,0.0785,0.0837,0.0529,0.0605,0.0567,0.0545,0.0716,0.0787,0.0622,0.0513,0.0864,0.0702,0.0678,0.0622,0.0828,0.0688,0.0884,0.0928,0.0642,0.0537,0.0671,0.0828,0.1254,0.0716,0.1346,0.1487,0.1417,0.0881,0.0905,0.0953,0.2232,0.1522,0.1389,0.1836,0.1835,0.6682,0.1615,0.1534,0.0921,0.093,0.0718,0.0674,0.0613,0.0479
