mouse_label,n_cells,anno_level_1,class,dissection_top,description
Astrocytes,3918,Astrocytes,Non-neuronal,A,Non-neuronal / Astrocytes / Astrocytes
COPs+NFOLs,137,Oligodendrocyte lineage,Non-neuronal,B,Non-neuronal / Oligodendrocyte lineage / COPs+NFOLs
Ex_BCL6,574,Ex_CACNA1H,Excitatory neurons,A,Excitatory neurons / Ex_CACNA1H / Ex_BCL6
Ex_CACNA1H_CPA6,226,Ex_CACNA1H,Excitatory neurons,B,Excitatory neurons / Ex_CACNA1H / Ex_CACNA1H_CPA6
Ex_CACNA1H_KIT,424,Ex_CACNA1H,Excitatory neurons,Hippocampal areas,Excitatory neurons / Ex_CACNA1H / Ex_CACNA1H_KIT
Ex_CACNA1H_LHX9,377,Ex_CACNA1H,Excitatory neurons,C,Excitatory neurons / Ex_CACNA1H / Ex_CACNA1H_LHX9
Ex_CACNA1H_MCTP2,416,Ex_CACNA1H,Excitatory neurons,Hippocampal areas,Excitatory neurons / Ex_CACNA1H / Ex_CACNA1H_MCTP2
Ex_CACNA1H_PROX1,588,Ex_CACNA1H,Excitatory neurons,C,Excitatory neurons / Ex_CACNA1H / Ex_CACNA1H_PROX1
Ex_DACH2_ADAMTS5,5588,Ex_DACH2_SV2C,Excitatory neurons,A,Excitatory neurons / Ex_DACH2_SV2C / Ex_DACH2_ADAMTS5
Ex_DACH2_CEMIP,622,Ex_DACH2_CALCR,Excitatory neurons,A,Excitatory neurons / Ex_DACH2_CALCR / Ex_DACH2_CEMIP
Ex_DACH2_GRIK4,2025,Ex_DACH2_SV2C,Excitatory neurons,B,Excitatory neurons / Ex_DACH2_SV2C / Ex_DACH2_GRIK4
Ex_DACH2_ITGA9,1500,Ex_DACH2_CALCR,Excitatory neurons,A,Excitatory neurons / Ex_DACH2_CALCR / Ex_DACH2_ITGA9
Ex_DACH2_LHX2,1296,Ex_DACH2_SV2C,Excitatory neurons,B,Excitatory neurons / Ex_DACH2_SV2C / Ex_DACH2_LHX2
Ex_DACH2_LUZP2,836,Ex_DACH2_SV2C,Excitatory neurons,ArcoP,Excitatory neurons / Ex_DACH2_SV2C / Ex_DACH2_LUZP2
Ex_DACH2_MGAT4C,8950,Ex_DACH2_SV2C,Excitatory neurons,B,Excitatory neurons / Ex_DACH2_SV2C / Ex_DACH2_MGAT4C
