query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner
Astro-1,Vascular,Vascular,Astrocytes,0.8879,Astrocytes,0.0093,0.2944,moderate,1.1776,2.8567,4,3,4,2,False,0.6669,0.0075,1.0,0.0032,Astrocytes,Astrocytes,Vascular,Astrocytes,2,3,1,1,3
Astro-2,Vascular,Vascular,Astrocytes,0.9125,Astrocytes,0.0355,0.2337,low,0.9349,2.9048,4,3,4,2,False,0.6896,0.0008,0.4865,0.0013,Astrocytes,Astrocytes,Vascular,Astrocytes,3,1,3,1,3
Astro-3,Astrocytes,Astrocytes,Astrocytes,1.0,Vascular,0.2089,0.834,high,3.3361,3.3361,4,4,4,4,True,0.9353,0.9008,1.0,1.0,Astrocytes,Astrocytes,Astrocytes,Astrocytes,2,1,1,1,3
Endo,Vascular,Vascular,Vascular,0.9263,Astrocytes,0.1406,0.6673,high,2.6692,2.6692,4,3,4,3,True,0.9276,0.9247,0.0,0.8168,Vascular,Vascular,Ex_Pre_SATB2,Vascular,3,3,5,3,3
Epen,Astrocytes,Astrocytes,Astrocytes,0.7831,Vascular,0.0108,0.3434,moderate,1.3736,1.3736,4,2,4,1,True,0.7602,0.6006,0.0,0.0128,Astrocytes,Astrocytes,Ex_TCF7L2,Vascular,0,1,3,3,3
GABA-1-1,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,1.0,Inh_LGE_like_FOXP1_DGKH,0.2089,0.7104,high,2.8415,2.8415,4,4,4,4,True,0.6427,0.9423,1.0,0.7565,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,4,4,1,2,2
GABA-1-2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP2,0.8771,Inh_LGE_like_FOXP1_DGKH,0.0038,0.4829,moderate,1.9318,1.9318,4,3,4,3,False,0.642,0.9232,0.0,0.3667,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,2,5,3,5,2
GABA-2-1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,1.0,Inh_MGE_like_SST_ABI3BP,0.102,0.6909,high,2.7638,2.7638,4,4,4,4,True,0.7945,0.7943,0.9996,0.6752,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,4,3,2,4,2
GABA-2-2,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,1.0,Inh_MGE_like_SST_SLC24A2,0.102,0.6122,high,2.4487,2.4487,4,4,4,4,True,0.8009,0.6003,0.9995,0.5477,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,5,5,1,3,1
GABA-2-3,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,0.9731,Inh_MGE_like_SST_PVALB,0.2328,0.6682,high,2.6726,2.6726,4,3,4,4,True,0.7983,0.936,0.0023,0.9371,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_LGE_like_Pre,Inh_MGE_like_SST_SLC24A2,2,1,3,3,2
