,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.7128,0.1443,0.1601,0.0677,0.0432,0.043,0.0279,0.0504,0.0401,0.0295,0.0348,0.0193,0.0433,0.0549,0.0384,0.0456,0.077,0.0282,0.0387,0.0414,0.053,0.0296,0.1084,0.0922,0.0374,0.0349,0.0382,0.0447,0.0675,0.0347,0.0936,0.0844,0.0936,0.065,0.0694,0.0781,0.113,0.0774,0.0829,0.0793,0.0698,0.066,0.0773,0.074,0.0922,0.0924,0.1534,0.1496,0.1447,0.1699
Astro-2,0.8488,0.1467,0.0333,0.0692,0.0432,0.0419,0.0252,0.0485,0.0358,0.026,0.0306,0.0143,0.0394,0.0513,0.033,0.0398,0.0745,0.0218,0.0361,0.0379,0.0549,0.0323,0.1109,0.0952,0.0387,0.0315,0.0386,0.047,0.069,0.034,0.0934,0.0848,0.0946,0.0635,0.0692,0.0777,0.1152,0.0773,0.0829,0.0799,0.0706,0.0677,0.0786,0.0742,0.0944,0.0945,0.1584,0.153,0.1491,0.1739
Astro-3,0.7097,0.146,0.0346,0.0696,0.0461,0.0449,0.0299,0.0505,0.0348,0.0284,0.0356,0.017,0.0432,0.0532,0.0359,0.043,0.0747,0.0256,0.0385,0.036,0.0546,0.0337,0.1061,0.0927,0.04,0.0327,0.0404,0.0512,0.193,0.0379,0.0909,0.0814,0.0923,0.065,0.0729,0.0759,0.1121,0.0781,0.0821,0.0775,0.0674,0.0634,0.0772,0.0736,0.0936,0.0934,0.1565,0.1528,0.1489,0.1672
Endo,0.23,0.1493,0.0251,0.0603,0.0326,0.0308,0.0099,0.0387,0.0213,0.0129,0.0174,0.0005,0.0248,0.0444,0.0201,0.0336,0.0655,0.0,0.0232,0.0215,0.0447,0.0257,0.1131,0.0934,0.0301,0.0191,0.0273,0.0395,0.0626,0.0267,0.0872,0.0775,0.0881,0.0575,0.0632,0.0776,0.1291,0.0684,0.0742,0.0784,0.0616,0.0661,0.0776,0.0648,0.0937,0.0921,0.1891,0.1426,0.1641,0.7771
Epen,0.3347,0.1396,0.055,0.0762,0.0674,0.0614,0.0458,0.075,0.0361,0.0281,0.0361,0.0117,0.0602,0.0916,0.0464,0.0304,0.0575,0.035,0.0388,0.0233,0.0497,0.045,0.1128,0.1058,0.0365,0.048,0.0407,0.0519,0.0834,0.0369,0.0882,0.0879,0.0919,0.062,0.0838,0.0823,0.1205,0.0734,0.0822,0.0779,0.0637,0.0698,0.0736,0.0693,0.1113,0.1054,0.1515,0.1452,0.1473,0.3229
GABA-1-1,0.0398,0.0666,0.0851,0.0894,0.0876,0.0947,0.0932,0.084,0.097,0.0843,0.095,0.0841,0.0992,0.1003,0.1051,0.1081,0.0799,0.0879,0.0864,0.0806,0.0895,0.0746,0.0755,0.0819,0.0984,0.1013,0.1062,0.0979,0.0802,0.0834,0.0968,0.0965,0.0887,0.1784,0.1333,0.7082,0.1042,0.0849,0.0895,0.0931,0.0837,0.093,0.0857,0.0832,0.1107,0.1055,0.0604,0.0624,0.0585,0.0447
GABA-1-2,0.0414,0.0713,0.0749,0.0874,0.085,0.0942,0.0837,0.0834,0.0749,0.0677,0.0782,0.0675,0.0865,0.0945,0.0882,0.0871,0.0627,0.0776,0.0786,0.0597,0.0796,0.0637,0.0897,0.0951,0.0831,0.0826,0.0902,0.0859,0.0843,0.0726,0.099,0.103,0.0924,0.2168,0.1238,0.485,0.2988,0.0809,0.0866,0.096,0.0746,0.0899,0.0853,0.0728,0.1255,0.1083,0.0637,0.0732,0.0578,0.0497
GABA-2-1,0.0416,0.0674,0.084,0.0766,0.0644,0.0572,0.057,0.0607,0.057,0.0591,0.0517,0.0583,0.0593,0.0666,0.0535,0.0602,0.0886,0.0546,0.0627,0.0643,0.0901,0.0786,0.0991,0.0987,0.0655,0.0615,0.0724,0.0793,0.1143,0.0703,0.1385,0.1455,0.1401,0.0862,0.0914,0.1099,0.1204,0.1516,0.1343,0.2385,0.2126,0.6604,0.1752,0.1549,0.099,0.0972,0.0933,0.0666,0.0767,0.0708
GABA-2-2,0.039,0.0633,0.0828,0.0748,0.0721,0.0652,0.0614,0.0663,0.0423,0.0496,0.0473,0.0503,0.0561,0.0651,0.0471,0.0415,0.0721,0.0571,0.058,0.0523,0.0792,0.0682,0.1039,0.1061,0.0554,0.0473,0.0619,0.068,0.1123,0.066,0.1403,0.159,0.1467,0.0729,0.082,0.0993,0.1164,0.1538,0.1308,0.62,0.2194,0.3675,0.1729,0.1444,0.0954,0.0976,0.07,0.0724,0.0617,0.0549
GABA-2-3,0.0343,0.0614,0.0849,0.0914,0.0859,0.0764,0.0732,0.0766,0.0515,0.0593,0.0554,0.056,0.0667,0.0737,0.0589,0.053,0.0867,0.0667,0.0658,0.0613,0.0852,0.0713,0.0907,0.0942,0.0651,0.0551,0.0686,0.0825,0.1221,0.0737,0.1389,0.2623,0.1433,0.0878,0.091,0.0973,0.1046,0.154,0.1397,0.1856,0.1841,0.6721,0.1648,0.1567,0.0927,0.0927,0.0743,0.0642,0.0618,0.05
