,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,2.8514,0.577,0.6405,0.2708,0.1729,0.172,0.1117,0.2018,0.1606,0.1182,0.1391,0.0774,0.1733,0.2195,0.1536,0.1824,0.308,0.1127,0.1548,0.1654,0.212,0.1184,0.4336,0.3686,0.1495,0.1394,0.1527,0.1789,0.2699,0.139,0.3746,0.3374,0.3744,0.2599,0.2777,0.3125,0.4519,0.3095,0.3317,0.3171,0.279,0.264,0.309,0.296,0.3689,0.3695,0.6137,0.5986,0.5788,0.6795
Astro-2,3.395,0.5867,0.1332,0.2769,0.1726,0.1675,0.1007,0.1939,0.143,0.1039,0.1223,0.0573,0.1576,0.2051,0.132,0.1594,0.2978,0.0871,0.1446,0.1518,0.2197,0.1291,0.4436,0.3807,0.1549,0.1258,0.1543,0.1879,0.276,0.1361,0.3734,0.3392,0.3785,0.2542,0.2768,0.3108,0.461,0.3091,0.3316,0.3196,0.2824,0.2707,0.3145,0.2969,0.3775,0.3779,0.6337,0.6122,0.5964,0.6956
Astro-3,2.8386,0.584,0.1385,0.2783,0.1843,0.1795,0.1196,0.2022,0.1391,0.1135,0.1424,0.0678,0.1728,0.2129,0.1438,0.172,0.2989,0.1025,0.1542,0.1441,0.2184,0.1347,0.4243,0.371,0.1601,0.1307,0.1616,0.205,0.7718,0.1516,0.3637,0.3257,0.3691,0.2602,0.2915,0.3034,0.4484,0.3123,0.3282,0.3101,0.2697,0.2537,0.3086,0.2945,0.3745,0.3737,0.6261,0.6111,0.5955,0.6686
Endo,0.9201,0.5972,0.1003,0.2411,0.1302,0.1231,0.0397,0.1549,0.0854,0.0518,0.0695,0.0021,0.0994,0.1775,0.0806,0.1345,0.2618,0.0,0.0927,0.0861,0.1789,0.1027,0.4524,0.3737,0.1205,0.0764,0.1092,0.1578,0.2505,0.1069,0.3488,0.3099,0.3523,0.2301,0.2527,0.3104,0.5164,0.2735,0.2966,0.3135,0.2463,0.2642,0.3104,0.2594,0.3747,0.3685,0.7564,0.5705,0.6563,3.1083
Epen,1.3388,0.5585,0.2199,0.3047,0.2696,0.2455,0.1833,0.2999,0.1443,0.1124,0.1446,0.0468,0.2409,0.3665,0.1856,0.1214,0.2301,0.1398,0.1554,0.0934,0.1987,0.1801,0.4514,0.4232,0.1461,0.1921,0.1627,0.2075,0.3338,0.1474,0.3526,0.3517,0.3676,0.2479,0.3353,0.3291,0.4821,0.2935,0.3288,0.3116,0.2546,0.2793,0.2945,0.2771,0.4453,0.4218,0.6059,0.581,0.5892,1.2915
GABA-1-1,0.1591,0.2663,0.3403,0.3575,0.3503,0.3786,0.3729,0.3361,0.388,0.3371,0.3799,0.3362,0.3969,0.401,0.4205,0.4325,0.3196,0.3517,0.3455,0.3225,0.358,0.2986,0.3019,0.3274,0.3935,0.405,0.425,0.3917,0.3207,0.3335,0.3872,0.386,0.3548,0.7136,0.5331,2.8329,0.4168,0.3394,0.3578,0.3722,0.3348,0.3721,0.3428,0.3329,0.4427,0.4221,0.2418,0.2496,0.2339,0.179
GABA-1-2,0.1658,0.2852,0.2994,0.3496,0.34,0.3767,0.3346,0.3335,0.2996,0.2707,0.3127,0.27,0.3458,0.3779,0.353,0.3486,0.2507,0.3104,0.3145,0.2387,0.3182,0.2546,0.3589,0.3805,0.3326,0.3304,0.3607,0.3435,0.3374,0.2903,0.3961,0.4119,0.3694,0.8671,0.4954,1.9398,1.1951,0.3237,0.3462,0.3839,0.2982,0.3598,0.341,0.2913,0.5021,0.4332,0.2546,0.2929,0.2312,0.1986
GABA-2-1,0.1662,0.2697,0.336,0.3064,0.2575,0.2288,0.2281,0.2427,0.2279,0.2364,0.2067,0.2331,0.2373,0.2664,0.2141,0.2409,0.3543,0.2183,0.2506,0.2571,0.3605,0.3144,0.3963,0.3946,0.2619,0.246,0.2895,0.3172,0.4574,0.281,0.5539,0.5821,0.5603,0.3449,0.3654,0.4396,0.4816,0.6062,0.5373,0.9539,0.8505,2.6415,0.701,0.6198,0.396,0.3889,0.3733,0.2663,0.3069,0.2831
GABA-2-2,0.1561,0.2533,0.3311,0.2993,0.2884,0.2609,0.2457,0.2651,0.1694,0.1983,0.1892,0.2012,0.2242,0.2606,0.1884,0.166,0.2886,0.2286,0.2319,0.2091,0.3169,0.2728,0.4158,0.4244,0.2216,0.1893,0.2478,0.2721,0.4492,0.264,0.5613,0.6359,0.5868,0.2915,0.3282,0.3971,0.4658,0.6151,0.5234,2.4801,0.8778,1.4698,0.6918,0.5776,0.3816,0.3904,0.2798,0.2898,0.2468,0.2195
GABA-2-3,0.1372,0.2456,0.3397,0.3655,0.3435,0.3057,0.2928,0.3064,0.2059,0.237,0.2217,0.2242,0.2667,0.2948,0.2356,0.2118,0.347,0.2668,0.2633,0.2454,0.3407,0.2853,0.363,0.3768,0.2604,0.2205,0.2744,0.3302,0.4884,0.2947,0.5556,1.0494,0.5733,0.3511,0.3641,0.389,0.4185,0.616,0.5587,0.7426,0.7366,2.6885,0.659,0.6269,0.371,0.3708,0.2971,0.2566,0.2471,0.2001
GABA-3,0.1981,0.2782,0.33,0.3368,0.2789,0.252,0.233,0.2679,0.2416,0.2216,0.2152,0.2216,0.2468,0.26,0.2252,0.2141,0.3844,0.2158,0.2474,0.2581,0.3552,0.2688,0.3532,0.3484,0.259,0.214,0.2949,0.3056,0.4443,0.2725,0.563,0.6148,0.5597,0.3422,0.3427,0.3808,0.3893,0.6906,0.5512,0.8657,3.1732,0.72,0.7163,0.7159,0.373,0.3748,0.3602,0.2917,0.3136,0.2505
GABA-4-1,0.2048,0.3155,0.3393,0.3382,0.26,0.2322,0.2397,0.2523,0.2892,0.2553,0.2255,0.2502,0.276,0.2676,0.2614,0.2697,0.4258,0.2166,0.2613,0.285,0.3865,0.2998,0.3788,0.3653,0.288,0.2632,0.3303,0.3334,0.4478,0.2921,0.56,0.5791,0.5526,0.3649,0.3595,0.4175,0.4236,0.6887,0.5668,0.7615,2.6218,1.2247,0.6755,0.741,0.3971,0.3886,0.4151,0.3047,0.3652,0.3007
GABA-4-2,0.2329,0.3025,0.3495,0.8762,0.338,0.314,0.2899,0.3303,0.2923,0.2655,0.2506,0.2503,0.3022,0.308,0.2776,0.248,0.4294,0.2472,0.282,0.2921,0.3838,0.2983,0.342,0.3364,0.2924,0.2542,0.3256,0.3483,0.481,0.304,0.5223,0.542,0.5261,0.3862,0.3736,0.3735,0.363,0.6566,0.5646,0.5984,2.0002,0.6168,0.6061,1.2809,0.3785,0.3721,0.3978,0.3149,0.3523,0.2765
GABA-5-1,0.2072,0.2847,0.3405,0.3215,0.306,0.2639,0.2432,0.3059,0.2333,0.2248,0.203,0.21,0.2685,0.3033,0.2438,0.2108,0.2907,0.2485,0.2734,0.2354,0.2994,0.2454,0.4077,0.4032,0.2174,0.2143,0.2695,0.2816,0.4498,0.2223,0.6801,0.9856,2.9292,0.3161,0.3433,0.4414,0.4659,0.5414,0.4813,0.58,0.5054,0.5583,0.5847,0.4595,0.4365,0.3986,0.2851,0.3687,0.2726,0.2198
GABA-5-2,0.2543,0.3306,0.3044,0.3332,0.2726,0.2239,0.1899,0.2928,0.1658,0.1887,0.1697,0.1611,0.2047,0.2455,0.1641,0.1737,0.303,0.1796,0.2356,0.1857,0.3108,0.2361,0.4519,0.4483,0.1877,0.1644,0.2376,0.2913,0.4251,0.2004,2.7324,0.9576,1.5555,0.3073,0.3539,0.4535,0.5232,0.5622,0.4692,0.6034,0.5009,0.5628,0.6045,0.4555,0.4907,0.4484,0.3442,0.4099,0.3212,0.2641
GABA-6,0.2793,0.3226,0.3726,0.3404,0.3151,0.2682,0.2588,0.3432,0.2715,0.2063,0.2492,0.2229,0.335,0.3583,0.2986,0.2644,0.3491,0.2367,0.2691,0.2308,0.3258,0.2521,0.3941,0.3892,0.264,0.2673,0.3122,0.3453,0.4036,0.2441,0.631,0.598,0.6232,0.3617,0.3848,0.4255,0.4423,3.2832,0.4989,0.642,0.6704,0.595,0.6296,0.5916,0.4702,0.4336,0.3955,0.3387,0.3458,0.3025
GABA-7,0.2017,0.3025,0.3491,0.3238,0.2842,0.2505,0.2296,0.28,0.2284,0.2378,0.1996,0.2279,0.2383,0.2452,0.2093,0.1992,0.3661,0.2362,0.2883,0.2748,0.3943,0.2955,0.4056,0.4362,0.2684,0.2202,0.3029,0.3405,0.4667,0.2595,0.5909,0.6032,0.618,0.2987,0.3373,0.416,0.475,0.6036,0.5129,0.6672,0.6632,0.6405,3.1383,0.6282,0.3974,0.3867,0.3167,0.3266,0.2985,0.2441
GABA-8,0.2268,0.309,0.4155,0.3371,0.3057,0.2702,0.2798,0.3121,0.2772,0.3009,0.233,0.2603,0.2944,0.304,0.2759,0.2541,0.3777,0.2799,0.3071,0.2986,0.3687,0.3131,0.4322,0.4492,0.2722,0.2784,0.29,0.3149,0.5869,0.2667,0.5123,0.5719,0.5584,0.3306,0.3643,0.442,0.4836,0.5425,3.0338,0.5973,0.5509,0.5958,0.5882,0.5039,0.4228,0.3988,0.3688,0.345,0.3099,0.2929
GABA-Im,0.1234,0.2651,0.3131,0.3236,0.2653,0.2286,0.2136,0.2596,0.1708,0.1888,0.1663,0.1657,0.1988,0.2345,0.1735,0.1718,0.3026,0.1979,0.2221,0.1872,0.3137,0.2637,0.4698,0.4693,0.211,0.1996,0.2529,0.2985,0.4507,0.2141,0.5897,0.6577,0.6026,0.3495,0.3817,0.5131,1.0029,0.5802,0.5205,0.8329,1.0654,1.2202,1.5755,0.7152,0.4857,0.4201,0.3301,0.3193,0.2504,0.2159
Glut-CACNA1H-1,0.1042,0.1631,0.5392,0.603,1.3982,1.6651,0.6609,0.5073,0.5069,0.5904,0.5245,0.6248,0.4727,0.4344,0.4983,0.5552,0.4399,0.5397,0.5143,0.5473,0.6045,0.7184,0.354,0.3718,0.6129,0.5405,0.5628,0.5513,0.3853,1.4021,0.2511,0.2542,0.2593,0.4147,0.395,0.3866,0.2874,0.2861,0.3584,0.2297,0.3004,0.2856,0.2467,0.3258,0.3276,0.3177,0.2561,0.1863,0.1775,0.1668
Glut-CACNA1H-2,0.0894,0.1406,0.6615,0.7266,1.7445,1.2875,0.9928,1.4201,0.4895,0.5642,0.5547,0.6229,0.5382,0.5177,0.5213,0.5641,0.3456,0.5807,0.5152,0.4997,0.558,0.7238,0.3647,0.4,0.5985,0.6098,0.5597,0.5346,0.3308,0.8503,0.2345,0.2281,0.2356,0.4023,0.4112,0.3896,0.3007,0.2488,0.2813,0.2319,0.2444,0.2683,0.2236,0.2323,0.3461,0.35,0.2431,0.175,0.1524,0.1572
Glut-CACNA1H-3,0.1415,0.1834,0.53,0.5562,0.8409,1.2609,1.0477,0.4751,0.5144,0.5821,0.5187,0.6282,0.4722,0.4269,0.5004,0.5767,0.4304,0.525,0.5068,0.5496,0.5848,0.6401,0.3682,0.3857,0.6044,0.5541,0.5667,0.5362,0.3534,0.9023,0.2633,0.2602,0.2776,0.4096,0.4057,0.4151,0.3177,0.2881,0.3453,0.2513,0.2937,0.2821,0.2605,0.3077,0.3444,0.3359,0.2866,0.2242,0.2135,0.2012
Glut-CACNA1H-4,0.0814,0.1525,0.5957,0.5482,0.9736,1.4988,0.7733,0.6377,0.5095,0.5456,0.5918,0.616,0.6178,1.1979,0.6029,0.5621,0.3432,0.6909,0.5297,0.4744,0.5171,0.6127,0.3412,0.4032,0.5867,0.606,0.5763,0.5509,0.3348,0.6334,0.2171,0.225,0.2168,0.4642,0.4459,0.3912,0.2815,0.2536,0.3039,0.1973,0.2195,0.2471,0.1795,0.2277,0.341,0.3415,0.2514,0.1717,0.1483,0.1418
Glut-CACNA1H-RA,0.1579,0.2047,0.4824,0.5632,0.5817,0.5985,0.5435,0.4739,0.4663,0.5147,0.4718,0.5401,0.4222,0.4019,0.4614,0.4657,0.4695,0.4637,0.475,0.4993,1.1614,0.6286,0.3436,0.362,0.5848,0.4786,0.5333,0.5397,0.6347,0.6752,0.3124,0.3163,0.3127,0.4563,0.4061,0.3742,0.2977,0.3388,0.4058,0.2731,0.375,0.3346,0.3158,0.4373,0.3515,0.348,0.2874,0.1992,0.2289,0.2004
Glut-DACH2-1,0.1142,0.1382,0.6357,0.36,0.4922,0.508,0.7966,0.5472,1.1733,0.6477,1.1014,1.0853,1.2889,1.2944,2.3012,1.6314,0.4052,0.8803,0.6508,0.6408,0.422,0.4734,0.2978,0.3297,0.624,1.1119,0.6378,0.5523,0.2234,0.5011,0.186,0.1769,0.1882,0.5287,0.481,0.3772,0.2524,0.2354,0.2031,0.1668,0.2114,0.1917,0.1314,0.2133,0.3367,0.3396,0.2558,0.1302,0.167,0.1367
Glut-DACH2-2,0.1305,0.1686,0.511,0.3708,0.4596,0.4792,0.6259,0.4994,1.0009,0.6042,0.7618,0.7184,1.4369,0.7824,1.6499,0.8972,0.4297,0.6521,0.5921,0.6047,0.4429,0.4521,0.2694,0.3007,0.6296,0.7921,0.6366,0.5483,0.245,0.496,0.221,0.2007,0.2189,0.5278,0.4797,0.3988,0.2535,0.254,0.2502,0.1909,0.2486,0.2054,0.1727,0.2406,0.3322,0.3184,0.26,0.1576,0.209,0.1497
Glut-DACH2-3,0.1052,0.1471,0.8168,0.3601,0.4456,0.4859,0.6643,0.4662,0.7133,0.8933,0.6274,0.996,0.6704,0.5816,0.722,0.678,0.571,2.4784,0.845,1.2198,0.5011,0.5603,0.3628,0.3725,0.5976,0.6851,0.596,0.5358,0.3267,0.4944,0.2135,0.2035,0.2327,0.4163,0.3689,0.3571,0.2732,0.2726,0.253,0.1974,0.2372,0.234,0.2085,0.2575,0.2905,0.3108,0.2766,0.1618,0.1592,0.1692
Glut-DACH2-4,0.0909,0.1361,0.5912,0.4154,0.5056,0.5001,0.6264,0.4687,0.7512,0.7128,0.6405,1.9658,0.6255,0.5297,0.7728,0.7496,0.5129,0.8693,0.6676,0.8399,0.6138,0.6554,0.3216,0.3585,0.7311,0.7201,0.7074,0.5982,0.2786,0.6041,0.1969,0.1921,0.2232,0.4263,0.3819,0.3662,0.2592,0.2864,0.2632,0.2081,0.2588,0.2535,0.2175,0.2901,0.3033,0.3152,0.2979,0.1403,0.1721,0.178
Glut-DACH2-5,0.1238,0.1608,0.4944,0.3519,0.4269,0.456,0.6144,0.5043,2.0372,0.6011,0.7234,0.6998,1.0581,0.6567,1.1531,0.8044,0.4625,0.6548,0.6137,0.6196,0.3946,0.4006,0.2608,0.2945,0.5821,0.7576,0.5908,0.5086,0.2669,0.4615,0.2181,0.2152,0.2237,0.4928,0.4429,0.358,0.2291,0.2543,0.2831,0.1901,0.2585,0.2134,0.1882,0.2598,0.3061,0.2952,0.207,0.1495,0.1973,0.1286
