,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.955359324038886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001120075087823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010132494861863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001794667373171,0.0,0.0,0.0,0.0,0.0,0.0007675408752165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031356204668176
Astro-2,0.977347907428822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002618891640349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002907523562267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012483046612596
Astro-3,0.990831898209163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006182765390805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002808506688357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endo,0.0806511952709856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091531482125166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135135135135135,0.0053663166711056,0.0,0.780951990170631
Epen,0.0092229992621303,0.0,0.0,0.0,0.0,0.0,0.0,0.0018709472244816,0.0,0.0,0.0,0.0,0.0061669289396027,0.0690679002324467,0.0,0.0,0.0,0.0,0.0084565313821324,0.0,0.0,0.0,0.0,0.0,0.0,0.0290187873433549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026405512743198,0.001306976037784,0.0,0.0,0.0036567183253956,0.256438568955728
GABA-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007907491024391,0.0,0.0,0.0,0.0,0.0,0.0,0.0003369549719963,0.0,0.0,0.0,0.0002188410825281,0.0,0.0,0.0,0.0,0.0,0.0,0.0886490385793286,0.0028638415416322,0.722642698518498,0.0009471631987369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABA-1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015059082106442,0.0,0.0,0.0,0.0,0.001856322879497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270319562920654,0.0052520145875132,0.351752899972184,0.0255510817466706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211117821058368,0.0,0.015063586742083,0.0,0.0,0.0016
GABA-2-1,0.0,0.0,0.0004608031103321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024175944067158,0.0005593663413901,0.0002364149700937,0.0,0.0,0.0004615316590594,0.0,0.0,0.0,0.0,0.0,0.0010941630672253,0.0,0.0003401671288548,0.0100738820210816,0.0006538194645147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005787758707159,0.0,0.0,0.0553429804981347,0.0177579842588284,0.571885142244906,0.0032131243892228,0.0,0.0,0.0,0.0029476319877245,0.0,0.0,0.0
GABA-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004915051813461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036226622082382,0.0,0.0,0.561785609149218,0.0,0.178178695594279,0.0,0.0,0.0,0.0,0.0,0.0011160602655193,0.0,0.0019801980198019
GABA-2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017411422801989,0.0046024931429889,0.932768887125183,0.0,0.0,0.0,0.0,0.0045939464138445,0.002293534151572,0.0,0.0
