,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.60611,0.25505,-0.15269,-0.03093,-0.12239,-0.12324,-0.17958,-0.09543,-0.13388,-0.17348,-0.15399,-0.21164,-0.12199,-0.07987,-0.14049,-0.11351,0.00292,-0.17863,-0.1393,-0.12934,-0.08583,-0.17325,0.12018,0.06041,-0.14423,-0.15365,-0.14136,-0.11674,-0.03179,-0.15406,0.06596,0.03125,0.06583,-0.04279,-0.02447,0.00797,0.13818,0.00519,0.02588,0.01156,-0.02325,-0.03726,0.00475,-0.00742,0.06067,0.06118,0.28807,0.27498,0.2567,0.3426
Astro-2,0.62038,0.26408,-0.15995,-0.02528,-0.12263,-0.12743,-0.18979,-0.10274,-0.15027,-0.18679,-0.16964,-0.23033,-0.13664,-0.09251,-0.16061,-0.13502,-0.00571,-0.20249,-0.14883,-0.1421,-0.07865,-0.16327,0.1304,0.07172,-0.1392,-0.16635,-0.13979,-0.10841,-0.02635,-0.15678,0.06484,0.03294,0.06964,-0.04675,-0.0253,0.00643,0.14667,0.00479,0.0258,0.01465,-0.02007,-0.03106,0.00989,-0.0066,0.06868,0.06905,0.30799,0.28784,0.27309,0.36389
Astro-3,0.59795,0.26156,-0.15454,-0.02396,-0.11171,-0.11619,-0.17211,-0.09504,-0.15393,-0.17789,-0.15089,-0.22051,-0.12246,-0.08561,-0.14958,-0.12321,-0.00474,-0.18809,-0.13985,-0.14931,-0.0799,-0.1581,0.11239,0.0626,-0.13429,-0.16175,-0.13289,-0.09244,-0.03,-0.1423,0.05585,0.02033,0.06084,-0.04087,-0.01162,-0.00048,0.13491,0.00785,0.0227,0.0055,-0.03199,-0.04689,0.00439,-0.00879,0.06593,0.06512,0.30086,0.2869,0.27228,0.34048
Endo,0.41417,0.27385,-0.19019,-0.05873,-0.16221,-0.16892,-0.24681,-0.1392,-0.20413,-0.23551,-0.21897,-0.28207,-0.19104,-0.12673,-0.2086,-0.15823,-0.03932,-0.28385,-0.19724,-0.20347,-0.11682,-0.18794,0.1386,0.06517,-0.17136,-0.21248,-0.18185,-0.13646,-0.06821,-0.18404,0.04193,0.00558,0.04502,-0.06897,-0.04786,0.00604,0.19837,-0.02847,-0.00682,0.00895,-0.05381,-0.0371,0.00604,-0.04161,0.0661,0.06025,0.40856,0.24257,0.31659,0.5878
Epen,0.43137,0.23775,-0.07848,0.00073,-0.0321,-0.05461,-0.11271,-0.00558,-0.14906,-0.17886,-0.14883,-0.24013,-0.06467,-0.00667,-0.11054,-0.17043,-0.06897,-0.15329,-0.1467,-0.19666,-0.09832,-0.11568,0.1377,0.11141,-0.14743,-0.1318,-0.13186,-0.09003,0.02788,-0.14618,0.04545,0.04463,0.05945,-0.05232,0.02924,0.02348,0.16641,-0.00971,0.02324,0.00712,-0.04606,-0.02303,-0.00885,-0.02509,0.12612,0.10854,0.27888,0.25848,0.25661,0.30327
GABA-1-1,-0.13523,-0.03513,0.03397,0.05005,0.04328,0.06976,0.06442,0.03,0.07821,0.03097,0.07097,0.03016,0.0868,0.09065,0.10865,0.11927,0.01465,0.04459,0.03883,0.01734,0.05049,-0.005,-0.0022,0.02193,0.08366,0.09442,0.11269,0.08195,0.01396,0.02757,0.07777,0.07659,0.04752,0.24182,0.17565,0.33155,0.10159,0.03312,0.05031,0.06376,0.02848,0.06291,0.03626,0.02702,0.12938,0.11036,-0.05815,-0.05078,-0.06544,-0.11678
GABA-1-2,-0.12903,-0.0175,-0.00421,0.04264,0.03368,0.06794,0.02864,0.02765,-0.00408,-0.03106,0.00817,-0.03167,0.0391,0.0691,0.04455,0.0416,-0.04971,0.00464,0.00986,-0.06096,0.01335,-0.04604,0.04848,0.07151,0.02675,0.02474,0.05302,0.03691,0.02444,-0.01276,0.08608,0.10087,0.06116,0.20633,0.16637,0.3306,0.15005,0.0185,0.03949,0.07467,-0.00536,0.05214,0.03463,-0.01183,0.16204,0.12068,-0.0615,-0.01034,-0.06796,-0.09988
GABA-2-1,-0.12859,-0.03195,0.02952,0.00228,-0.04341,-0.07015,-0.07083,-0.05717,-0.07099,-0.06303,-0.09077,-0.06844,-0.06277,-0.03528,-0.0839,-0.05889,0.04662,-0.07997,-0.04977,-0.04374,0.05282,0.00875,0.08523,0.0847,-0.03957,-0.06356,-0.01408,0.01238,0.13969,-0.02139,0.23343,0.25815,0.23929,0.03809,0.05741,0.12663,0.16523,0.28229,0.21794,0.41241,0.38696,0.45331,0.34747,0.28823,0.08599,0.07936,0.06202,-0.03516,0.00278,-0.01948
GABA-2-2,-0.13805,-0.04732,0.02536,-0.00436,-0.01455,-0.04017,-0.05442,-0.03628,-0.12566,-0.09866,-0.10717,-0.09598,-0.07445,-0.04051,-0.10793,-0.12883,-0.01437,-0.07037,-0.06729,-0.08854,0.0121,-0.02992,0.10398,0.11251,-0.07694,-0.10708,-0.05246,-0.02972,0.13563,-0.03734,0.23975,0.30853,0.26376,-0.01166,0.02262,0.08695,0.14676,0.29063,0.20494,0.46522,0.38839,0.46031,0.34498,0.25559,0.07254,0.08076,-0.0225,-0.01426,-0.0534,-0.08073
GABA-2-3,-0.15571,-0.0545,0.03341,0.05753,0.03697,0.00167,-0.01039,0.0023,-0.09153,-0.06247,-0.07677,-0.07448,-0.03482,-0.00849,-0.06382,-0.08602,0.04019,-0.03473,-0.03795,-0.05469,0.03432,-0.01789,0.05514,0.06804,-0.04069,-0.07793,-0.02755,0.0245,0.17173,-0.0086,0.22727,0.26425,0.24964,0.04398,0.0562,0.07947,0.10695,0.29144,0.2364,0.38595,0.3808,0.47046,0.33077,0.29844,0.0626,0.06242,-0.01068,-0.04633,-0.05306,-0.09693
