,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.9290921885553044,0.0,6.275262274671137e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.287085220103415e-05,0.0,0.0,8.855141369244789e-05,0.0,0.0008913873758915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001684041326574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013212432682855,0.0002140003340304,0.0,0.0055462464100041
Astro-2,0.9361087385186844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1290341196910732e-05,0.0,0.0,0.0,7.613795331214932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007574097676998
Astro-3,0.8895039550779776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.953251070631816e-05
Endo,0.0867373367628256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001585597654325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.184417972499347e-06,0.0,0.0,0.0,0.0,0.0,0.0001511615788021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010951362646044,0.00144074422044,0.0132598409434999,0.9201818573580958
Epen,0.5570250664632735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000277459139559,0.0067869997673179,7.413512363010967e-05
GABA-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002872873806462,0.0,0.0,0.0,0.0,0.0,0.0002343057452502,1.2383608271349805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001337920367725,0.0,0.0017873348306297,0.0,0.0,0.0,0.0,0.0609045677905278,0.0380037206545256,0.9394703961939032,0.003085200574435,0.0,0.0,0.0,0.0003481085106385,0.0007521422065831,0.0,0.0,0.0002209163367329,0.0,0.0001156693463556,0.0,5.175947561310205e-05,6.722676520358604e-05
GABA-1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013244468930495,6.859915826276228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0011297277654405,0.0,0.0,0.0,0.0,0.0,0.0072233024339874,0.0,0.0,0.0,0.0,0.0688969239639076,0.0067194320135557,0.9218075761739412,0.2050106024278983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033551729548118,0.0,0.0013140838803593,0.0,0.0,0.0
GABA-2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010679938682566,0.0,0.0,0.0,0.0,0.0,0.0,0.003836991288315,0.0,0.0,0.0005788467880719,0.0001658393034493,0.0001656083899206,1.7101507733930055e-05,4.5849398640596906e-05,0.0001919117024138,0.0,0.0,0.1489901653981173,0.113614358261592,0.7745607623255514,0.0216240878209352,0.0071614951842923,0.0,0.0,0.0,0.0,0.0,0.0
GABA-2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009019822281762,0.0,0.0,0.0,0.0,0.0,0.0,3.2886182824373814e-05,0.0,0.0002891627845245,0.0012554589417234,0.0004281445443678,0.0,0.0,1.3514686402995313e-05,0.0010203149819499,0.0,0.0,0.6090404699025498,0.156797768573794,0.4900909571265262,0.0183407408190111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABA-2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005209156069288,0.0,0.0,0.0,0.0,0.0,0.0,0.0006021941183479,0.0,0.0,0.0,0.0,2.234690743410121e-05,0.0,0.0,0.0,0.0,0.0,0.0173359920786187,0.0201482144767521,0.928281862779898,0.0001617149375462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
