,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4
Glut-Arco-2,2,2,3,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Glut-Arco-3,2,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,2
Glut-Arco-4,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,3,0,2,2,0,1
Glut-Arco-5,0,1,2,4,2,3,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Glut-HVC-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,2,0
Glut-HVC-1a,0,0,0,0,0,0,0,0,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0
Glut-HVC-2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,4,0,0,1,0,2,1,0
Glut-LMAN-1,0,0,0,0,0,0,4,0,0,0,2,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
Glut-LMAN-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,1,0,1,0,0,0,0,0,0
Glut-NC-1,0,0,0,0,0,0,0,0,3,0,3,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Glut-NC-2,0,0,0,0,0,0,2,0,3,0,4,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Glut-NC-3,2,0,0,0,0,0,0,1,0,3,0,0,0,0,1,4,3,4,0,0,0,0,0,0,0,0,0
Glut-NC-4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3,2,2,0,2,0,0,0,0,1,0,0
Glut-NR-1,0,0,0,0,0,0,4,0,2,0,3,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Glut-NR-2,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,3,4,0,1,0,0,0,0,0,0,0
Glut-NR-3,0,0,0,0,0,0,4,0,3,0,1,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0
Glut-NR-4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,4,1,2,4,0,0,0,0,0,0,0,0,0
Glut-NR-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,4,0
Glut-RA,1,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,2
