,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0.6538,0.8846,0.9231,0.9396,0.7967,0.5714,0.1264,0.2363,0.2747,0.5385,0.1593,0.3462,0.1868,0.5055,0.2912,0.2912,0.2692,0.3077,0.7253,0.7802,0.6703,0.544,0.4835,0.3846,0.3846,0.2582,0.967
Glut-Arco-2,0.7857,0.7857,0.9725,0.9121,0.8901,0.9011,0.1319,0.1868,0.3571,0.2912,0.4231,0.4725,0.1758,0.478,0.1538,0.3901,0.1429,0.1758,0.467,0.6319,0.6703,0.7088,0.4231,0.5549,0.478,0.2857,0.6538
Glut-Arco-3,0.7363,0.7912,0.9505,0.9231,0.7473,0.489,0.1566,0.2445,0.2665,0.5549,0.1181,0.2912,0.25,0.5852,0.2665,0.2363,0.2335,0.3049,0.5962,0.7802,0.6868,0.5934,0.4863,0.4863,0.5412,0.2995,0.8846
Glut-Arco-4,0.5275,0.5742,0.7033,0.8297,0.467,0.6374,0.3104,0.2335,0.3104,0.5412,0.2335,0.1621,0.4753,0.5192,0.3544,0.1758,0.2885,0.283,0.5962,0.6044,0.9121,0.8516,0.4863,0.6951,0.761,0.261,0.706
Glut-Arco-5,0.7527,0.4286,0.7802,0.9835,0.7912,0.8626,0.1868,0.2198,0.5495,0.4176,0.5165,0.8571,0.3297,0.4066,0.1813,0.7692,0.2033,0.1374,0.4945,0.4835,0.5165,0.5604,0.5275,0.4066,0.3626,0.3901,0.3846
Glut-HVC-1,0.3874,0.3544,0.2335,0.2555,0.1896,0.3104,0.761,0.1566,0.6401,0.3984,0.5742,0.739,0.717,0.4753,0.6181,0.2225,0.6841,0.4313,0.3324,0.3104,0.8049,0.6731,0.5742,0.75,0.9231,0.8379,0.1456
Glut-HVC-1a,0.3434,0.3764,0.25,0.239,0.3324,0.4533,0.739,0.25,0.9231,0.6703,0.7253,0.8846,0.9038,0.8407,0.2115,0.4863,0.4313,0.3654,0.2555,0.1456,0.3874,0.3654,0.6401,0.75,0.794,0.5962,0.1401
Glut-HVC-2,0.5,0.3462,0.467,0.2033,0.4121,0.3571,0.3462,0.3462,0.2912,0.7527,0.4231,0.3462,0.4231,0.1923,0.3791,0.489,0.8462,0.544,0.989,0.9396,0.5,0.4011,0.7857,0.478,0.8077,0.6538,0.2802
Glut-LMAN-1,0.294,0.217,0.1951,0.206,0.3819,0.3599,0.9945,0.4258,0.7445,0.6126,0.7775,0.5687,0.7775,0.8901,0.7775,0.3379,0.6126,0.8242,0.1841,0.1621,0.5687,0.3819,0.4808,0.7775,0.4258,0.3489,0.1731
Glut-LMAN-2,0.5824,0.4121,0.2692,0.2912,0.3132,0.3681,0.5934,0.8681,0.3187,0.6374,0.2473,0.3352,0.2857,0.3626,0.989,0.4231,0.7582,0.9615,0.7363,0.5385,0.5659,0.4231,0.3791,0.2143,0.6813,0.5989,0.3462
Glut-NC-1,0.5934,0.1484,0.2033,0.2143,0.5385,0.4945,0.7363,0.3132,0.8791,0.6923,0.8242,0.8242,0.989,0.8956,0.3516,0.6484,0.5385,0.4176,0.1978,0.2033,0.5714,0.3736,0.2802,0.7363,0.4835,0.2363,0.1154
Glut-NC-2,0.3159,0.206,0.217,0.228,0.4698,0.4368,0.8324,0.272,0.8681,0.6566,0.956,0.7995,0.8764,0.8736,0.3929,0.4368,0.4368,0.4258,0.3379,0.1731,0.5357,0.3379,0.5027,0.7445,0.5577,0.4258,0.1841
Glut-NC-3,0.7665,0.1896,0.1786,0.1676,0.5027,0.2885,0.5577,0.7445,0.4368,0.8956,0.5797,0.5797,0.4313,0.6346,0.7335,1.0,0.8104,0.9451,0.2555,0.3654,0.6126,0.4093,0.2115,0.4588,0.2665,0.3214,0.1566
