query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner,group
Glut-Arco-1,Ex_TSHZ2_NR4A2,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,0.9062,Ex_CACNA1H_LHX9,0.0707,0.4169,moderate,1.6676,2.0105,4,2,4,4,False,0.8318,0.7684,0.0518,0.0415,Ex_TSHZ2_NR4A2,Ex_TSHZ2_NR4A2,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,5,5,5,4,1,non-song
Glut-Arco-2,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_PROX1,0.9365,Ex_CACNA1H_LHX9,0.1742,0.47,moderate,1.88,1.9409,4,3,4,3,False,0.8189,0.7601,0.0012,0.3004,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_PROX1,Ex_CACNA1H_KIT,5,5,5,5,2,non-song
Glut-Arco-3,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,0.8527,Ex_CACNA1H_LHX9,0.0329,0.2116,low,0.8462,1.3503,4,2,4,4,False,0.6556,0.0423,0.1544,0.0712,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_LHX9,5,4,5,5,2,non-song
Glut-Arco-4,Ex_Pre_KCNH7,Ex_Pre_KCNH7,Ex_Pre_KCNH7,0.7706,Ex_Pre_SATB2,0.1266,0.3029,moderate,1.2118,1.2118,4,1,4,4,True,0.6039,0.0549,0.9733,0.0664,Ex_TSHZ2_NR4A2,Ex_SATB2_SOX6,Ex_Pre_KCNH7,Ex_SATB2_OVOA,5,4,5,5,1,non-song
Glut-Arco-5,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,0.9492,Ex_CACNA1H_PROX1,0.2604,0.5152,high,2.0607,2.0607,4,2,4,4,True,0.839,0.5856,0.0183,0.6269,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_DACH2_LUZP2,Ex_CACNA1H_LHX9,5,5,5,3,1,non-song
Glut-HVC-1,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_SOX6,0.8044,Ex_SATB2_ZNF385B,0.1277,0.3979,moderate,1.5914,1.5914,4,2,4,4,True,0.5001,0.5074,1.0,0.0839,Ex_DACH2_MGAT4C,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_DACH2_ADAMTS5,1,3,1,5,1,song
Glut-HVC-1a,Ex_DACH2_MGAT4C,Ex_DACH2_GRIK4,Ex_DACH2_MGAT4C,0.8472,Ex_DACH2_GRIK4,0.0527,0.409,moderate,1.6358,1.6358,4,2,4,3,False,0.8733,0.5981,0.0,0.1644,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_LHX2,Ex_DACH2_GRIK4,5,2,5,4,3,song
Glut-HVC-2,Ex_KIAA1217,Ex_KIAA1217,Ex_KIAA1217,0.9661,Ex_KIAA1217_BCL6,0.138,0.3826,moderate,1.5302,1.5302,4,3,4,4,True,0.6643,0.1904,0.9925,0.1791,Ex_KIAA1217,Ex_SATB2_SOX6,Ex_KIAA1217,Ex_KIAA1217,5,4,4,5,2,song
Glut-LMAN-1,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,0.9831,Ex_DACH2_NR4A3,0.2651,0.4662,moderate,1.8649,1.8649,4,3,4,4,True,0.8089,0.8207,0.0273,0.2217,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ZMAT4,Ex_DACH2_ADAMTS5,2,3,3,4,2,non-song
Glut-LMAN-2,Ex_DACH2_RORB,Ex_DACH2_RORB,Ex_DACH2_RORB,0.9661,Ex_DACH2_ZMAT4,0.0795,0.5108,high,2.0432,2.0432,4,3,4,4,True,0.7744,0.4865,0.9998,0.2824,Ex_DACH2_RORB,Ex_DACH2_ZMAT4,Ex_DACH2_RORB,Ex_DACH2_RORB,3,3,2,5,1,song
Glut-NC-1,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,0.9661,Ex_DACH2_GRIK4,0.2051,0.6106,high,2.4424,2.4424,4,3,4,4,True,0.9909,0.7713,0.9953,0.1825,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_GRIK4,5,5,2,5,3,non-song
Glut-NC-2,Ex_DACH2_LHX2,Ex_DACH2_LHX2,Ex_DACH2_MGAT4C,0.8723,Ex_DACH2_MGAT4C,0.0963,0.3075,moderate,1.2301,1.7137,4,2,4,4,False,0.9322,0.096,0.002,0.2009,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_GRIK4,Ex_DACH2_LHX2,5,5,3,5,1,non-song
Glut-NC-3,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,1.0,Ex_DACH2_ZMAT4,0.1616,0.701,high,2.8039,2.8039,4,4,4,4,True,0.7561,0.7024,0.9968,0.847,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,5,5,3,5,1,non-song
Glut-NC-4,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,1.0,Ex_DACH2_ZMAT4,0.2738,0.4779,moderate,1.9114,1.9114,4,4,4,4,True,0.5952,0.4277,0.9394,0.4189,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,4,3,5,3,1,non-song
Glut-NR-1,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,0.9036,Ex_DACH2_MGAT4C,0.1138,0.5432,high,2.1729,2.1729,4,2,4,4,True,0.8606,0.6493,0.9999,0.1631,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_LHX2,5,5,2,5,2,non-song
Glut-NR-2,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,1.0,Ex_DACH2_ZMAT4,0.1186,0.6655,high,2.6618,2.6618,4,4,4,4,True,0.8425,0.6711,0.9987,0.6489,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,5,4,4,5,1,non-song
Glut-NR-3,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,0.8844,Ex_DACH2_ADAMTS5,0.0603,0.3612,moderate,1.4448,1.4448,4,3,4,3,False,0.8181,0.451,0.0,0.1757,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_SATB2_OVOA,Ex_DACH2_MGAT4C,4,4,3,5,3,non-song
Glut-NR-4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,1.0,Ex_DACH2_CEMIP,0.1862,0.8575,high,3.43,3.43,4,4,4,4,True,0.9311,1.0,0.9977,1.0,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,5,5,4,3,1,non-song
Glut-NR-5,Ex_SATB2_ZNF385B,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,0.8866,Ex_SATB2_SOX6,0.0344,0.4335,moderate,1.7341,2.1732,4,2,4,4,False,0.6059,0.8641,0.1215,0.2033,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_SATB2_FOXP2,Ex_SATB2_SOX6,3,5,2,3,1,non-song
Glut-RA,Ex_KIAA1217,Ex_KIAA1217,Ex_KIAA1217,0.8218,Ex_CACNA1H_CPA6,0.0556,0.4087,moderate,1.6346,1.6346,4,2,4,3,True,0.6226,0.7373,0.0,0.2748,Ex_CACNA1H_CPA6,Ex_KIAA1217,Ex_CACNA1H_CPA6,Ex_KIAA1217,5,4,2,5,2,song
