,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0.1161,0.2366,0.3343,0.5026,0.1555,0.1236,0.0044,0.0795,0.0391,0.0574,0.0266,0.0581,0.0024,0.0558,0.0882,0.0431,0.052,0.0556,0.1649,0.233,0.1337,0.1257,0.1021,0.0266,0.0786,0.1031,0.4169
Glut-Arco-2,0.182,0.252,0.47,0.3079,0.272,0.4852,0.0001,0.0584,0.0617,0.0394,0.0619,0.0936,0.0121,0.0538,0.0427,0.0599,0.0455,0.0125,0.1331,0.1659,0.1506,0.1569,0.0914,0.0742,0.0716,0.0992,0.1798
Glut-Arco-3,0.1438,0.17,0.2116,0.3376,0.1909,0.1068,0.0309,0.0852,0.0563,0.0713,0.0367,0.0608,0.0137,0.0852,0.0854,0.0459,0.0609,0.065,0.1589,0.1675,0.1503,0.1413,0.114,0.0644,0.1003,0.1082,0.2491
Glut-Arco-4,0.1169,0.1474,0.1451,0.1634,0.0955,0.1015,0.0555,0.0858,0.0578,0.0816,0.0487,0.0658,0.0491,0.0921,0.105,0.0354,0.0741,0.0714,0.1646,0.16,0.3029,0.1703,0.123,0.1355,0.2075,0.1172,0.1906
Glut-Arco-5,0.1244,0.1655,0.2266,0.5152,0.1844,0.2117,0.0026,0.0461,0.0795,0.0277,0.1007,0.2882,0.0572,0.0399,0.0427,0.1048,0.0487,0.0016,0.1094,0.1265,0.1373,0.1471,0.0795,0.0598,0.0709,0.1018,0.1206
Glut-HVC-1,0.0846,0.1144,0.0972,0.0903,0.0843,0.1127,0.1552,0.0814,0.1153,0.0952,0.1308,0.1373,0.1629,0.1039,0.1176,0.0822,0.1358,0.1024,0.0767,0.0706,0.1623,0.125,0.0987,0.138,0.3979,0.1999,0.075
Glut-HVC-1a,0.0668,0.0841,0.0863,0.0854,0.0961,0.1211,0.1789,0.0702,0.228,0.1099,0.3049,0.2,0.409,0.1765,0.0657,0.1122,0.0821,0.0731,0.0474,0.037,0.0696,0.0712,0.1064,0.1773,0.1485,0.0972,0.0461
Glut-HVC-2,0.1061,0.1267,0.1184,0.0804,0.0832,0.0898,0.077,0.1109,0.0538,0.122,0.0717,0.075,0.0788,0.0649,0.1169,0.0903,0.1522,0.115,0.3826,0.1952,0.124,0.1244,0.1779,0.0767,0.2308,0.145,0.109
Glut-LMAN-1,0.0738,0.0507,0.0375,0.0475,0.1009,0.0851,0.4662,0.1126,0.1675,0.1299,0.1919,0.1448,0.2058,0.1795,0.161,0.1261,0.1159,0.2792,0.0366,0.0126,0.0938,0.0688,0.1017,0.1738,0.1011,0.0845,0.0332
Glut-LMAN-2,0.1009,0.1088,0.071,0.0828,0.0915,0.076,0.096,0.2149,0.0614,0.102,0.0627,0.0688,0.0535,0.0615,0.5108,0.0981,0.131,0.3377,0.1372,0.107,0.1116,0.1097,0.1022,0.0554,0.1083,0.1278,0.1007
