,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0.4644,0.9466,1.3373,2.0105,0.6222,0.4944,0.0178,0.318,0.1566,0.2295,0.1065,0.2325,0.0094,0.2232,0.3529,0.1725,0.2078,0.2223,0.6595,0.9319,0.5348,0.5026,0.4083,0.1064,0.3143,0.4125,1.6676
Glut-Arco-2,0.7279,1.008,1.88,1.2318,1.0879,1.9409,0.0004,0.2336,0.2469,0.1575,0.2477,0.3742,0.0484,0.2153,0.171,0.2396,0.182,0.0501,0.5324,0.6636,0.6023,0.6275,0.3654,0.2967,0.2866,0.3967,0.7193
Glut-Arco-3,0.5753,0.68,0.8462,1.3503,0.7638,0.427,0.1234,0.3406,0.2252,0.2854,0.1466,0.243,0.055,0.3408,0.3417,0.1835,0.2438,0.2601,0.6356,0.6702,0.6012,0.5652,0.4561,0.2575,0.4013,0.4329,0.9965
Glut-Arco-4,0.4675,0.5894,0.5802,0.6535,0.3821,0.4059,0.2221,0.3431,0.2313,0.3266,0.1949,0.2631,0.1966,0.3683,0.4199,0.1418,0.2965,0.2858,0.6585,0.64,1.2118,0.6811,0.4921,0.542,0.8299,0.4687,0.7625
Glut-Arco-5,0.4975,0.662,0.9062,2.0607,0.7378,0.8469,0.0103,0.1843,0.3178,0.1108,0.4028,1.1528,0.2287,0.1596,0.171,0.4191,0.1947,0.0066,0.4376,0.5058,0.5492,0.5885,0.3182,0.2394,0.2834,0.4074,0.4823
Glut-HVC-1,0.3385,0.4578,0.3889,0.3611,0.3374,0.4508,0.6209,0.3256,0.4613,0.3808,0.523,0.5494,0.6517,0.4155,0.4703,0.329,0.5431,0.4097,0.3068,0.2824,0.6491,0.4999,0.3946,0.5521,1.5914,0.7995,0.2999
Glut-HVC-1a,0.2674,0.3364,0.3451,0.3416,0.3845,0.4843,0.7156,0.2808,0.9121,0.4396,1.2195,0.8001,1.6358,0.7058,0.2627,0.4489,0.3285,0.2922,0.1896,0.1481,0.2782,0.2848,0.4258,0.7094,0.5939,0.389,0.1843
Glut-HVC-2,0.4246,0.5066,0.4735,0.3216,0.3329,0.3594,0.3079,0.4438,0.2151,0.4879,0.2868,0.3,0.3151,0.2595,0.4674,0.3613,0.6087,0.4601,1.5302,0.7809,0.4962,0.4977,0.7117,0.3069,0.9231,0.5799,0.4361
Glut-LMAN-1,0.2952,0.203,0.1502,0.1898,0.4034,0.3402,1.8649,0.4503,0.67,0.5198,0.7676,0.5791,0.823,0.718,0.6439,0.5042,0.4635,1.1166,0.1466,0.0504,0.3751,0.2752,0.407,0.6954,0.4044,0.338,0.133
Glut-LMAN-2,0.4037,0.4352,0.2842,0.3312,0.3662,0.3041,0.3841,0.8596,0.2457,0.4082,0.2509,0.2753,0.2142,0.2459,2.0432,0.3923,0.5241,1.3509,0.5487,0.4281,0.4466,0.4387,0.4087,0.2216,0.4333,0.5111,0.4026
Glut-NC-1,0.4408,0.1482,0.2405,0.2146,0.529,0.5139,1.008,0.318,1.6734,0.7317,1.4464,1.4578,2.4424,1.6757,0.2219,0.7089,0.3922,0.3046,0.0634,0.0553,0.3941,0.3591,0.3185,1.0211,0.3861,0.3114,0.0191
Glut-NC-2,0.2939,0.1841,0.212,0.2275,0.4143,0.4164,1.1829,0.3063,1.4821,0.5092,1.2301,0.9868,1.7137,0.9588,0.3254,0.4986,0.3238,0.3336,0.1459,0.0695,0.306,0.3025,0.4071,0.8617,0.4459,0.3366,0.1205
Glut-NC-3,0.7674,0.2547,0.226,0.2223,0.3412,0.3408,0.4815,0.7842,0.3594,0.8031,0.4269,0.4156,0.4115,0.4401,0.5425,2.8039,0.7843,1.0932,0.3611,0.3889,0.5257,0.4494,0.3056,0.3753,0.3303,0.3986,0.1463
Glut-NC-4,0.4945,0.3243,0.2646,0.1931,0.31,0.2525,0.4671,0.549,0.3276,1.9114,0.3378,0.2944,0.4397,0.5658,0.4757,0.6273,0.5898,0.8013,0.6009,0.5883,0.4394,0.4103,0.5583,0.4501,0.6086,0.513,0.3749
Glut-NR-1,0.2985,0.1975,0.1801,0.2237,0.4359,0.4192,2.1729,0.3538,0.8309,0.5192,1.3773,0.7385,1.2999,0.8414,0.4003,0.5536,0.4174,0.446,0.0935,0.0032,0.2784,0.2543,0.3294,0.7751,0.3568,0.288,0.0812
Glut-NR-2,0.5063,0.3428,0.2372,0.216,0.3789,0.2574,0.4175,2.6618,0.2609,0.7209,0.1873,0.1999,0.2348,0.3258,0.4407,0.664,0.6553,1.4168,0.4526,0.5356,0.2336,0.2018,0.3782,0.2253,0.355,0.3844,0.3471
Glut-NR-3,0.3118,0.2042,0.1875,0.1732,0.3664,0.376,1.1553,0.4725,0.9404,0.6588,0.6503,0.5163,1.4448,0.7415,0.2537,0.6146,0.5254,0.5369,0.1684,0.1272,0.176,0.186,0.3684,1.2025,0.3916,0.3126,0.122
Glut-NR-4,0.4284,0.2699,0.1164,0.1624,0.4447,0.1606,0.5387,0.9432,0.4249,0.9064,0.2559,0.1704,0.2514,0.4188,0.7315,0.5967,1.0775,3.43,0.4104,0.3759,0.2776,0.2606,0.4525,0.3336,0.351,0.3659,0.3188
Glut-NR-5,0.272,0.3348,0.3304,0.2313,0.3379,0.4028,0.3976,0.3444,0.4704,0.3771,0.3869,0.3502,0.4954,0.3461,0.2978,0.4107,0.4126,0.3508,0.4231,0.3385,0.2604,0.3889,2.0942,0.6248,2.1732,1.7341,0.1987
Glut-RA,0.4038,1.3037,0.7912,0.5743,0.4246,0.466,0.1561,0.2766,0.2098,0.2597,0.2266,0.3084,0.1738,0.1954,0.5566,0.1958,0.3121,0.2738,1.6346,0.6764,0.5056,0.506,0.4443,0.2005,0.3777,0.5071,0.6711
