,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0.03853,0.23101,0.22973,0.21028,0.08288,0.06657,-0.23177,-0.03783,-0.14288,-0.11966,-0.17465,-0.09461,-0.23773,-0.12171,-0.01564,-0.13531,-0.11027,-0.10105,0.13924,0.16212,0.09289,0.07882,0.01069,-0.18157,-0.0432,0.02321,0.29399
Glut-Arco-2,0.09333,0.20407,0.28568,0.22032,0.16453,0.13044,-0.2432,-0.09241,-0.08844,-0.14997,-0.0914,-0.01851,-0.21408,-0.1236,-0.13289,-0.1009,-0.12573,-0.2119,0.09767,0.13635,0.12001,0.12016,-0.01388,-0.08984,-0.07041,0.01285,0.18259
Glut-Arco-3,0.0581,0.16629,0.1802,0.15435,0.05181,0.02432,-0.16436,-0.02381,-0.10009,-0.07852,-0.14866,-0.08773,-0.21305,-0.06362,-0.0235,-0.12545,-0.08955,-0.07949,0.13876,0.15993,0.11269,0.10146,0.0446,-0.09287,-0.00361,0.03546,0.27914
Glut-Arco-4,0.04921,0.1031,0.11556,0.08047,-0.00326,-0.00733,-0.10687,-0.02226,-0.10086,-0.0695,-0.12146,-0.07393,-0.17471,-0.02872,0.02417,-0.15204,-0.05628,-0.06321,0.16786,0.16282,0.14681,0.14128,0.06653,-0.03164,0.04239,0.05943,0.22484
Glut-Arco-5,0.05346,0.18412,0.30634,0.29868,0.18757,0.24251,-0.23661,-0.12416,-0.06248,-0.17803,0.01067,0.11501,-0.09756,-0.14416,-0.13276,-0.05538,-0.11747,-0.23894,0.03634,0.07907,0.10508,0.12546,-0.04992,-0.09114,-0.06389,0.0184,0.0679
Glut-HVC-1,-0.03127,0.04867,0.00794,-0.01364,-0.0253,0.04746,0.0753,-0.03292,0.03292,0.0006,0.09027,0.09582,0.14501,0.01944,0.0506,-0.03074,0.08578,0.0152,-0.05203,-0.06623,0.06084,0.05979,-0.00772,0.06063,0.0798,0.06932,-0.04949
Glut-HVC-1a,-0.07317,-0.0342,-0.0203,-0.02259,0.00468,0.06376,0.19044,-0.06187,0.20351,0.0278,0.22914,0.20469,0.3208,0.17095,-0.07397,0.04583,-0.03414,-0.0551,-0.12537,-0.14787,-0.07521,-0.06144,0.01641,0.1935,0.07532,-0.00699,-0.1242
Glut-HVC-2,0.02727,0.08399,0.02673,-0.0355,-0.03237,-0.01556,-0.04581,0.04339,-0.10546,0.0127,-0.07684,-0.05168,-0.04236,-0.07559,0.05753,-0.01401,0.11051,0.05144,0.18587,0.1606,0.06962,0.07824,0.09024,-0.05298,0.13648,0.12448,0.03846
Glut-LMAN-1,-0.05305,-0.11211,-0.1462,-0.1206,0.01376,-0.02715,0.27924,0.04755,0.167,0.08487,0.21938,0.12504,0.26283,0.16026,0.09412,0.08245,0.04884,0.12738,-0.14854,-0.21066,-0.04831,-0.06619,0.01348,0.15848,0.01782,-0.02616,-0.15732
Glut-LMAN-2,0.01395,0.03789,-0.05965,-0.02927,-0.00669,-0.04738,-0.00745,0.13126,-0.08453,0.01787,-0.08113,-0.06595,-0.10487,-0.08444,0.25697,0.00939,0.08885,0.18128,0.08512,0.03328,0.03104,0.04011,0.02074,-0.10006,0.01775,0.07287,0.01684
