,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0.0183666404616154,0.1714008889589418,0.1061779852247674,0.7116378043740668,0.0672999663481116,0.0093276795726443,5.986246552411121e-05,5.181037106272264e-05,0.000520404837053,0.0208184337819015,0.0003308772720378,0.0022300253286449,0.0004787046574518,0.0040100210233427,0.0,0.0051063164868799,0.0,0.0017363025351293,0.039158641916089,0.275832316795733,0.0043027512736529,0.0023809890853376,0.0014060673649468,0.0062226622122459,0.0037719711430405,6.205490565249082e-06,0.7143957061941213
Glut-Arco-2,0.1415461143289547,0.2815234557779485,0.7066656574612805,0.4276216243980528,0.265002479978095,0.6640519356652848,0.0003957231091636,9.148685844037206e-05,0.0062767178444729,0.0118461186801619,0.0094405243580643,0.0232338543225818,0.0030545401975801,0.0120854036583181,0.000159455053969,0.0172588900651932,7.540195959786939e-05,0.0014973438489901,0.0009063804381451,0.0695353812198025,0.0311140979511386,0.0518804530994364,0.0086929342028144,0.0455870556083008,0.0155937435114484,0.0002173606539677,0.0538906503810879
Glut-Arco-3,0.0043107548013882,0.0208953169438854,0.0392947454243473,0.3595537366308612,0.0069939515071403,0.0019941487340537,0.0005104399253555,6.58273125877217e-05,0.0005198064922119,0.0217708873351793,0.0002048272857616,0.0003107360990336,0.0077325286322193,0.0066312414364112,5.098326794955984e-05,0.0011119704360801,0.0,0.0061190440893494,0.0006039915357457,0.0263081366061473,0.0023350437189147,0.0008271262810623,0.0014341358253579,0.0107428983370088,0.0251144337649894,2.3011945816597423e-05,0.1419487709055623
Glut-Arco-4,0.0045147367930906,0.0470541867979676,0.0070786531841078,0.1212949739346757,0.0039853410329725,0.0239357605207934,0.0052799875352242,0.0002562202523599,0.0049507976720128,0.0123752336482612,0.0051909573550645,0.0009017525730876,0.0742179302925728,0.0058129369170623,0.0011347753498762,0.0004478424177466,0.0,0.006597398467448,0.0027573408611396,0.0070750194888175,0.0510094533047768,0.0290162230350033,0.0107306025632191,0.1039597513226882,0.3105433387488112,7.33908118219012e-05,0.0253060337912541
Glut-Arco-5,0.0221267879775742,0.0002939315315931,0.0475831587774732,0.5444538204948752,0.0551725908915372,0.0117754862018498,0.0001024413705849,3.002089443426001e-05,0.0338301691753625,0.0056426170413226,0.0079513102341709,0.0978548980361916,0.0029711835538119,0.001508694862928,0.0,0.0781691012363502,0.0,0.0,0.0011282534566191,0.0063518498643954,0.0092532515797161,0.0164742280280264,0.0005576601895481,0.0022135672089292,0.005378720637466,0.0,0.0005312496927317
Glut-HVC-1,0.000294468650156,0.0,0.0,0.0,0.0,0.0,0.0013327015050337,0.0,0.0050119367788672,0.0012902089465938,0.0007066450836314,0.0026062454545015,0.0399399087620056,0.0010413378054555,0.0033299145935896,2.4509568501358577e-05,0.000559706807541,0.0001619782445736,3.750264473816634e-05,0.0001860857726186,0.085261955577845,0.0174015492239689,0.0154078636272033,0.0331001124313293,0.4717147087125351,0.2066806061162488,0.0
Glut-HVC-1a,4.119908144723188e-05,0.0,0.0,0.0,0.0,0.0,0.028638449444436,4.035318758875193e-05,0.0193377443451143,0.0072856474667554,0.0011645764684852,0.011514709488964,0.5560993450836149,0.018854559401785,0.0,0.000182238968514,0.0001035324889565,0.0003783226115569,0.0,0.0,1.626717275608713e-05,9.44536539410909e-05,0.0017834718343366,0.0077865953524957,0.0517094646436415,0.0014008336637347,0.0
Glut-HVC-2,0.000908666014154,0.0,0.0,0.0,6.206239622948087e-05,0.0,0.0021260215688785,2.28321993227843e-05,0.0001349490561778,0.0315429444074699,9.039733354433138e-05,7.29069948842142e-05,0.0015732705737445,1.815025510254323e-05,0.0,0.0009685761540253,0.0026857509695549,0.0027348374303186,0.1770519291029328,0.065499843582337,0.0,3.522115464986153e-05,0.1382824640108427,0.0026568762790308,0.3010824647278554,0.0005979486149914,0.0
Glut-LMAN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.7629894087308322,0.0001408753763709,0.0086814714611821,0.0041574929714653,0.0016716959328295,2.412419954585203e-05,0.0277185480208822,0.0399131870286397,0.0202547712484171,0.0,0.0006971252748387,0.0139596716281835,0.0,0.0,0.0001140208609297,7.760873071389273e-05,1.5967965741779594e-05,0.0318987171212948,0.0001997902018087,0.0,0.0
Glut-LMAN-2,2.5993832621935272e-05,0.0,0.0,0.0,0.0,0.0,0.0157818717220826,0.0296938425714398,1.6808990319287423e-05,0.0008644904354015,0.0,0.0,1.056782415285196e-05,5.046000632714246e-05,0.4522880378883666,0.0,0.0022991711391286,0.4794710078680787,2.502193730099034e-05,5.607250837717279e-05,0.0,0.0,0.0,0.0,0.0157412143973616,0.0,0.0
Glut-NC-1,0.0269276692424466,0.0,8.020351815313049e-05,0.0001625781163448,0.138134502152717,0.0010421143261654,0.1794674707738104,0.003785402781094,0.5891163787966163,0.1947236820693461,0.4318546811602649,0.4561801657598108,0.7170754914715736,0.687952706831086,0.0054196450362463,0.099141327187116,0.0090627450841965,0.0072371608636126,0.0,0.0018213716524849,0.0171925917469304,0.0027179768412607,0.0007825253798061,0.1968430750129137,0.0054224454218553,9.132060608708688e-05,0.0
Glut-NC-2,0.0,0.0,0.0,0.0,0.0003531283184545,0.0,0.2566816769015044,0.0,0.0597890653054278,0.0059199777354514,0.089285839342229,0.0244996025239861,0.5932087132333715,0.0463393393803302,0.0,0.0,2.790835024043355e-05,0.0001726543419827,0.0,0.0,0.0003453647041311,2.0998456634990445e-05,0.0,0.0603655295666858,0.0001442902442198,0.0,0.0
Glut-NC-3,0.1180919441916441,0.0,0.0,0.0,0.0397421503615156,4.8430170359532615e-05,0.005041903735688,0.0935848163943047,0.0058794788294408,0.1950390705599669,0.027991453929297,0.0137350171596447,0.0267323806519875,0.0077203967661856,0.0443287246860432,0.6529880026484827,0.1194184117140942,0.342749427577786,0.0,0.0002194095771907,0.000518094960222,0.000175104971496,0.0,0.0018303211882091,4.464002602330188e-05,0.0,0.0
Glut-NC-4,0.0042139148314592,0.0,0.0,0.0,0.0009867490669833,8.92951169836e-05,0.0286981008218279,0.0014404343654272,0.0033071189574214,0.3976183288588405,0.001445186743472,2.525748288292824e-05,0.0444730448337566,0.0199229242587529,0.0,0.0453091754521033,0.0023398974621311,0.1724530811800671,0.0,0.0058796833871317,1.5659839596764732e-05,0.0,0.0028533793547343,0.0027700695482272,0.0290283156612922,0.0,0.0
Glut-NR-1,0.0,0.0,0.0,0.0,3.587734551526387e-05,0.0,0.6036438639609893,0.0,0.0573543879117426,0.0013263087439335,0.1294328041631371,0.0001645375380413,0.2471222337572238,0.0578124648906099,0.0,0.0,2.8260302982215763e-05,0.0003443087187244,0.0,0.0,0.0004467984851785,0.0011641014926977,0.0,0.0675542907204336,1.0044699099364848e-05,0.0,0.0
Glut-NR-2,0.0,0.0,0.0,0.0,0.0023321408433192,0.0,0.0421312776697853,0.6238800905168947,0.0005707446944442,0.0574736824867871,0.0,0.0,0.0013721286236595,0.0028430252035575,0.0,0.0020378709939973,0.0397871491435697,0.4690919332786777,1.792155110008788e-05,0.0009583938824754,0.0005239108544756,0.0,0.0002840683323934,0.0004264776187885,0.0029360524706755,0.0,0.0
Glut-NR-3,0.0,0.0,0.0,0.0,0.0011955092325029,0.0,0.282129477513857,0.0011903970352757,0.0279576809922807,0.0117128752777211,0.0012059281457483,0.0,0.4192784391969713,0.0321850897286417,0.0,0.0002680831184504,0.0069567497303186,0.0258700167132504,0.0,0.0,1.0208915970181046e-05,7.847578190092761e-05,0.0001787583954924,0.0318687985062723,0.0076632521665934,0.0,0.0
Glut-NR-4,0.0001308577794207,0.0,0.0,0.0,0.0044276627647653,0.0,0.0240567674331433,0.082841085704831,0.0010343089974962,0.1855585193667367,0.0,0.0,0.0005061525525309,0.002067622001944,0.0270319721958405,0.0007068297005491,0.3965659073913098,0.9296998236378928,0.0,0.0007886402590681,1.256088980673899e-05,0.0,0.0001939281038785,0.0001957166282085,0.0017642833564694,0.0,0.0
Glut-NR-5,0.0006212386437463,0.0,0.0,0.0,0.0,0.0,8.59197720746374e-05,0.0,0.0013611183557207,0.0,0.000482529030297,2.407441280040914e-05,3.3980521058461985e-05,0.000216030969634,1.2584577748354736e-05,0.0,0.0,9.138482228383837e-06,0.0,0.0,0.0032261143374265,0.0247056547618769,0.6102177909932262,0.0981696040706933,0.6512038706463721,0.8033505833831912,0.0
Glut-RA,0.0058192334047158,0.0045029085927915,0.0213734091855887,0.0017712444991684,0.0,0.0,3.434818845084364e-05,2.315264502116656e-05,0.0054385626809019,0.0237711853571109,0.0002674906386716,2.428481922844432e-05,0.0051284074517519,4.637564826492009e-05,1.4751268911683446e-05,0.0,0.0,0.0,0.6854318749986243,0.1160419040424319,0.0020818252940354,0.0012283560032438,0.0008068738948249,0.0017581873135063,0.0030439157661347,0.0,0.021489202691135
