finch_cluster,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,2.2845566e-05,0.0008783385,0.8644604,0.02393447,0.054943837,0.0,0.0,0.0,0.0,0.0,0.0,6.8653484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00085392554,0.0028312576,0.00024966462,0.0,0.0,0.0,0.0,0.051756606
Glut-Arco-2,0.012627126,0.0,0.0012107011,0.0013521344,0.00977137,0.9713796,0.0,0.0,0.0,0.0,0.0,0.0027192095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008239674,0.00011592796,0.0,0.0,0.0,0.0,0.0
Glut-Arco-3,0.110163696,0.00048174037,0.15439081,0.0196012,0.54835707,0.017353714,0.0,0.0,0.0,4.877245e-05,0.0,0.0019898787,0.0,0.0,0.0,3.5272184e-05,0.0,0.0,0.0,0.01104054,0.062991664,0.038892135,0.0,0.0,0.0,0.0,0.034653533
Glut-Arco-4,0.0075087952,0.0,0.00019575043,0.0024825945,0.00011682392,0.0021099767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033692212,0.0,0.0,0.0,4.6676887e-05,0.9733241,0.013878348,0.0,0.0,0.0,0.0,0.0
Glut-Arco-5,0.0011252362,0.0,0.0,0.018280586,0.0,0.0021613822,0.0,0.0,0.0,0.0,0.002394745,0.97447973,0.0,0.0,0.0,0.0015583074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-HVC-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Glut-HVC-1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018256426,0.0001368652,0.9624922,0.00037709245,0.0,0.018737432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-HVC-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008941557,0.0,0.0,0.0,0.0,0.0,0.0,0.0027327384,0.0,0.9925324,0.0038407396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-LMAN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.027268099,0.0,0.0,0.0,0.0,0.0,0.0,0.0030193739,0.0,0.0,0.0,0.9697125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-LMAN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998056,0.0,0.0,0.00019432273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NC-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99531436,0.0046856697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NC-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98317564,0.0,0.001955211,0.0,0.0,0.014869183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NC-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023052255,0.0,0.0,0.0,0.0,0.0,0.9967858,0.0,0.00090888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NC-4,0.0,0.0,0.0,0.0,0.000100645724,0.0,0.0,0.0,0.0,0.939367,0.0,0.0,0.0,0.0,0.0,0.0119402,0.045052625,0.0,0.0,0.0035395243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NR-1,0.0,0.0,0.0,0.0,0.0,0.0,0.99990916,0.0,9.0861264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NR-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987345,0.0,0.00026358143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006693418,0.0,0.000332598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NR-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0001468994,0.0,0.0,0.0,0.00014430845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997088,0.0,0.0,0.0
Glut-NR-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000566799,0.0,0.00012735967,0.0,0.0,0.0,0.0,0.00038310318,0.0012389839,0.0,0.99768376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-NR-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784919,0.0,0.0,0.12150812,0.0
Glut-RA,0.0,0.9973177,0.0,3.9814302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026425535,0.0,0.0,0.0,0.0,0.0,0.0
