,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_TAC1,Ex_DACH2_LHX2,Ex_DACH2_ADAMTS5,Ex_DACH2_ZMAT4,Ex_DACH2_NR4A3,Ex_DACH2_MGAT4C,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,COPs+NFOLs,Oligodendrocytes,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
GABA-8,0.0443,-0.01113,0.1231,0.09956,-0.04951,-0.00406,-0.04134,0.00962,-0.04078,-0.02705,-0.05367,-0.06694,0.00467,0.00568,-0.03235,-0.01086,-0.05985,-0.02292,-0.01089,0.01219,0.25237,0.09917,0.08365,0.13932,0.21852,0.18532,0.23022,0.26607,0.23372,0.26954,0.11048,0.02523,0.03914,0.04245,-0.07766,0.03952,0.00475,-0.00477,-0.03042,0.09988,0.05938,-0.01441,0.17822,0.05152,0.37456,0.20048,0.18804,0.25285,-0.01861,0.03161,0.11028,0.04919,0.01888
Glut-Arco-1,0.24796,0.27853,0.0523,0.02752,0.38314,0.31795,0.2711,0.22004,0.20302,0.22188,0.27677,0.20007,0.1959,0.16505,0.1793,0.22176,0.20579,0.18767,0.26647,0.1337,-0.06309,0.01198,0.00537,-0.04185,-0.02248,-0.05136,-0.04335,-0.00907,0.00032,-0.06556,0.06177,0.09668,-0.07166,-0.04455,-0.19732,-0.10714,-0.13437,-0.13167,-0.15682,0.21018,0.11212,0.22737,0.00247,0.08405,0.04843,0.08755,0.03009,-0.03655,0.33494,0.212,0.06232,0.26215,0.33167
Astro-1,-0.09442,-0.18038,0.05738,0.11777,-0.16095,-0.1755,-0.14635,-0.11395,-0.15496,-0.14525,-0.21661,-0.15248,-0.13915,-0.11432,-0.13449,-0.13153,-0.11808,-0.13549,-0.17421,-0.06913,0.00046,0.05428,0.05816,0.13167,0.00534,0.06196,0.06003,-0.03862,-0.02576,0.00885,0.00454,-0.03671,0.28659,0.19456,0.5957,0.27459,0.25286,0.25264,0.33407,-0.15266,-0.00037,-0.17504,0.00011,-0.02253,0.02826,-0.03109,0.00395,0.02606,-0.11781,-0.08866,-0.01233,-0.03405,-0.11866
Glut-Arco-5,0.18175,0.25847,0.07147,0.01818,0.28505,0.39156,0.24941,0.21842,0.26158,0.23402,0.27084,0.25398,0.2059,0.28434,0.17895,0.15236,0.21667,0.27029,0.22159,0.27263,-0.1216,0.02708,0.02684,-0.03861,-0.0491,-0.08757,-0.08032,-0.04867,-0.07176,-0.09495,0.06599,0.14222,-0.07495,-0.05994,-0.20944,-0.11987,-0.14352,-0.15557,-0.17401,0.25124,0.02312,0.28406,-0.08226,0.12614,-0.00068,0.03228,-0.0144,-0.0663,0.4043,0.31366,0.07277,0.23713,0.37348
GABA-2-1,0.03819,-0.00665,0.0904,0.08668,-0.03678,-0.08774,-0.05633,0.00393,-0.08226,-0.03017,-0.0926,-0.10931,-0.06285,-0.07713,-0.08977,-0.06186,-0.08136,-0.10206,-0.07922,-0.04167,0.35488,0.08814,0.08447,0.16782,0.28093,0.24197,0.24539,0.45393,0.3815,0.41349,0.1264,0.02977,0.06939,0.07264,-0.11966,-0.02259,-0.01543,0.01193,-0.01043,0.02347,0.03293,-0.09334,0.28003,0.05426,0.21913,0.13861,0.19191,0.26502,-0.08304,-0.06946,0.10335,-0.00472,-0.05131
GABA-5-1,-0.02139,-0.07397,0.08627,0.08615,-0.09453,-0.04535,-0.09318,-0.02832,-0.10043,-0.04854,-0.10279,-0.09613,-0.02704,-0.02527,-0.07105,-0.06887,-0.09885,-0.05536,-0.07665,0.00833,0.25074,0.12007,0.08666,0.13294,0.2212,0.3053,0.35886,0.23351,0.18977,0.25528,0.11395,0.00645,-0.03707,-0.01454,-0.09462,0.05997,-0.01158,-0.03843,-0.09517,0.03611,-0.02264,-0.04297,0.13515,0.03019,0.16167,0.14161,0.15649,0.33232,-0.02625,0.01944,0.08819,0.02549,0.01208
GABA-4-2,0.06155,-0.01805,0.01824,0.01813,-0.00942,-0.00197,-0.02116,0.03716,-0.06185,0.0053,-0.0626,-0.05536,-0.02394,0.00323,-0.02024,-0.01563,-0.06585,-0.02537,-0.03799,0.01145,0.26892,0.05904,0.05625,0.03485,0.31874,0.19364,0.20066,0.28651,0.43842,0.27112,0.04932,0.07549,0.07035,0.05613,-0.07361,0.00776,-0.0038,0.03395,-0.04559,0.04032,0.10363,-0.04769,0.38396,0.05904,0.23785,0.16911,0.15913,0.22342,0.01986,0.03663,0.0527,0.0916,0.04649
GABA-4-1,0.06613,-0.01839,0.04689,0.05305,-0.02462,-0.0563,-0.02836,0.02306,-0.06007,0.00657,-0.07041,-0.08733,-0.04111,-0.03004,-0.02921,-0.02674,-0.05628,-0.049,-0.05269,-0.02976,0.33617,0.08186,0.07762,0.09455,0.36064,0.24087,0.23837,0.37407,0.5169,0.38053,0.0953,0.05282,0.09382,0.077,-0.09635,0.00246,0.01055,0.04795,-0.01821,0.03188,0.10496,-0.08476,0.39054,0.04769,0.24921,0.1454,0.18025,0.26537,-0.06269,-0.04084,0.07357,0.03998,-0.03109
Glut-RA,0.24604,0.21526,0.0441,0.02203,0.28328,0.22818,0.23736,0.20875,0.14945,0.1992,0.19977,0.1462,0.15444,0.11598,0.14078,0.17308,0.13254,0.14769,0.1917,0.09917,0.00458,0.0426,0.03504,-0.01685,0.03037,0.00702,0.01537,0.0349,0.06956,-0.02235,0.06327,0.13457,-0.02941,-0.0028,-0.13133,-0.08861,-0.08362,-0.06885,-0.1097,0.15044,0.13845,0.1505,0.11176,0.09507,0.09838,0.11354,0.03362,0.02009,0.25768,0.16618,0.07613,0.24592,0.26238
OPC,-0.14914,-0.1874,0.10075,0.12525,-0.19374,-0.16122,-0.20133,-0.12384,-0.21941,-0.17733,-0.28595,-0.20316,-0.18466,-0.12736,-0.19724,-0.21471,-0.20805,-0.18365,-0.23353,-0.07411,0.00251,0.03,0.04485,0.13375,-0.0042,0.05566,0.07752,-0.01949,-0.04083,0.04041,-0.00424,-0.09683,0.13603,0.09242,0.28129,0.49211,0.36492,0.21172,0.15071,-0.14836,-0.08428,-0.19532,-0.04155,-0.04741,0.03592,0.00424,0.01428,0.08332,-0.09683,-0.05391,-0.02457,9e-05,-0.08302
