,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
GABA-8,0.06841,0.00055,0.07888,0.06164,-0.00712,0.013,-0.0186,0.01423,-0.00032,-0.01896,-0.00556,-0.03323,0.02173,0.02777,-0.00864,-0.03068,-0.00701,0.00479,0.03392,-0.01124,0.3341,0.07432,0.04546,0.08611,0.23076,0.19452,0.25747,0.30345,0.26065,0.29008,0.12189,0.06597,-0.15458,-0.06891,-0.19366,-0.02624,-0.10046,-0.05331,-0.18879,0.11914,0.07103,0.02723,0.23445,0.06265,0.42817,0.19654,0.23203,0.2629,0.00097,0.0206,0.13572,0.05242,0.02732
Oligo-1,-0.15943,-0.19657,-0.04142,0.01969,-0.17635,-0.20144,-0.16857,-0.12694,-0.18364,-0.17128,-0.2347,-0.17048,-0.18361,-0.18186,-0.15362,-0.16728,-0.17514,-0.13902,-0.21613,-0.11272,-0.07543,-0.02048,-0.01268,0.02948,-0.07175,-0.05726,-0.06347,-0.10854,-0.0811,-0.06787,-0.08483,-0.09809,0.26642,0.16408,0.17684,0.21281,0.53151,0.39903,0.27906,-0.23095,-0.00856,-0.22322,-0.04212,-0.07304,-0.09084,-0.11287,-0.10747,-0.07866,-0.16033,-0.12256,-0.10429,-0.11582,-0.15538
Glut-CACNA1H-1,0.2948,0.37083,0.04461,0.00987,0.52909,0.39755,0.32604,0.23575,0.28333,0.29923,0.37136,0.26583,0.27332,0.23706,0.22724,0.24744,0.29137,0.22513,0.32882,0.19243,-0.05784,0.00348,-0.0299,-0.12032,-0.01677,-0.06814,-0.06405,-0.0287,-0.01594,-0.07436,0.06676,0.09892,-0.17176,-0.06971,-0.28442,-0.17906,-0.20282,-0.20221,-0.27396,0.29721,0.12461,0.30063,-0.00897,0.08028,0.06301,0.08696,0.03579,-0.02237,0.4445,0.26759,0.10222,0.3429,0.41473
Astro-1,-0.11984,-0.20531,0.01821,0.06994,-0.21409,-0.24273,-0.20615,-0.17423,-0.21528,-0.24859,-0.28656,-0.23147,-0.20471,-0.21291,-0.22714,-0.2295,-0.23299,-0.20164,-0.25123,-0.14431,-0.07745,-0.00629,-0.00571,0.09734,-0.05776,-0.00203,-0.01804,-0.10696,-0.10357,-0.0618,-0.05462,-0.11919,0.28134,0.12254,0.64965,0.30649,0.22673,0.24057,0.37884,-0.24894,-0.04612,-0.24419,-0.05117,-0.10032,-0.05157,-0.07542,-0.07879,-0.07313,-0.16186,-0.11679,-0.076,-0.0755,-0.18209
Glut-CACNA1H-4,0.23767,0.33974,0.07045,-0.00511,0.41897,0.49161,0.32428,0.24626,0.31364,0.37026,0.38111,0.36386,0.20529,0.26288,0.25545,0.35206,0.32892,0.36896,0.30415,0.35557,-0.10851,0.02098,0.0018,-0.1282,-0.05688,-0.09221,-0.0943,-0.06999,-0.0818,-0.11513,0.06821,0.1763,-0.1801,-0.08548,-0.31515,-0.21275,-0.22472,-0.206,-0.3142,0.35137,0.0441,0.37467,-0.09876,0.16233,0.01549,0.04146,-0.0048,-0.05524,0.51334,0.35895,0.10156,0.30161,0.44798
GABA-2-1,0.04103,-0.0089,0.00989,-0.00537,0.00244,-0.04366,-0.06316,-0.03252,-0.04118,-0.09686,-0.07629,-0.08397,-0.05904,-0.05913,-0.09307,-0.0946,-0.07808,-0.05832,-0.0621,-0.05315,0.41553,0.0663,0.0759,0.09707,0.28617,0.24998,0.27197,0.53134,0.45771,0.46721,0.1157,0.05377,-0.11306,-0.01447,-0.26475,-0.10736,-0.08144,-0.09234,-0.16325,0.04178,0.02536,-0.06213,0.32324,0.0677,0.26818,0.16983,0.22156,0.31018,-0.05811,-0.05492,0.08271,-0.01545,0.00427
GABA-5-1,-0.00682,-0.06559,0.06288,0.05984,-0.05916,-0.08931,-0.09798,-0.03299,-0.06001,-0.11754,-0.08671,-0.11027,-0.05804,-0.03507,-0.08243,-0.08841,-0.07988,-0.07676,-0.07245,-0.0449,0.35492,0.14848,0.11926,0.1452,0.30522,0.38345,0.46763,0.33747,0.26482,0.33731,0.16681,0.0578,-0.15899,-0.08158,-0.15086,0.05009,-0.07243,-0.01556,-0.17146,0.04757,0.00182,-0.05551,0.21506,0.04422,0.21361,0.19356,0.22858,0.41564,-0.04596,-0.02174,0.1056,0.0226,-0.00352
GABA-1-1,0.10739,0.01174,0.05299,0.01626,0.0534,0.04499,0.11932,0.1282,0.14566,0.09728,0.05886,0.09319,0.03239,0.05265,0.10835,0.12323,0.14009,0.08678,0.05424,0.08076,0.08806,0.21616,0.15259,0.17357,0.08672,0.10627,0.11088,0.13018,0.07997,0.09895,0.47243,0.33724,-0.14449,0.0096,-0.19791,-0.08409,-0.08041,-0.05716,-0.18812,0.0827,0.02307,0.05298,0.06884,0.22814,0.10148,0.07626,0.16,0.1281,0.06733,0.01909,0.2262,0.04402,0.0375
GABA-4-2,0.06968,-0.00895,-0.06299,-0.04421,0.01834,-0.01475,-0.05508,-0.03204,-0.01976,-0.08763,-0.05955,-0.06395,-0.00841,-0.03614,-0.01506,-0.04176,-0.0438,-0.02262,-0.04572,0.00376,0.33136,0.05613,0.03762,-0.01705,0.35839,0.2273,0.23217,0.36321,0.51937,0.3287,0.08274,0.07224,-0.06813,-0.00536,-0.17803,-0.05552,-0.03181,-0.04979,-0.17298,0.05407,0.09984,-0.04193,0.44852,0.07199,0.26036,0.1636,0.19395,0.25066,0.01702,0.04033,0.04923,0.07815,0.05873
GABA-4-1,0.06725,-0.01988,-0.03481,-0.01822,-0.00066,-0.03905,-0.05635,-0.04909,-0.01702,-0.08728,-0.05732,-0.08304,-0.01225,-0.03237,-0.01885,-0.05687,-0.03144,-0.03732,-0.04836,-0.04136,0.39898,0.06031,0.04162,0.01822,0.38473,0.2722,0.26934,0.46098,0.5976,0.43016,0.09335,0.04978,-0.05623,0.00998,-0.21296,-0.06395,-0.02928,-0.05523,-0.15979,0.04677,0.09823,-0.06919,0.45184,0.03617,0.26768,0.1385,0.20821,0.31082,-0.04382,-0.02818,0.04334,0.02859,-0.00327
