,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
GABA-8,0.04994,0.01794,0.06881,0.06296,0.03753,0.01758,0.02268,0.02178,0.00767,-0.0025,0.01683,0.00708,0.03722,0.03117,0.00317,-0.00342,0.01811,0.02376,0.03812,0.01836,0.24301,0.06298,0.06894,0.07412,0.18031,0.15987,0.21284,0.23728,0.21446,0.21822,0.11783,0.0688,-0.1259,0.01318,-0.128,-0.01849,-0.06235,-0.02808,-0.13731,0.09961,0.08458,0.05134,0.17569,0.03608,0.27396,0.14249,0.18346,0.19768,0.01639,0.01245,0.10854,0.05283,0.02266
Oligo-1,-0.09679,-0.15865,-0.04551,0.018,-0.14342,-0.13959,-0.13019,-0.11309,-0.15149,-0.13593,-0.1831,-0.11943,-0.13786,-0.14228,-0.10431,-0.11193,-0.12218,-0.08877,-0.15856,-0.0759,-0.06893,0.00563,0.00486,-0.02765,-0.01852,-0.01157,-0.03686,-0.07447,-0.04555,-0.06022,-0.04707,-0.047,0.19309,0.10034,0.14901,0.17394,0.4221,0.28535,0.17692,-0.14169,0.00793,-0.14452,-0.00452,-0.03773,-0.0646,-0.1178,-0.08323,-0.06587,-0.13092,-0.08183,-0.06269,-0.04625,-0.12451
Glut-CACNA1H-1,0.21519,0.27761,0.02621,-0.02068,0.37405,0.27429,0.24391,0.19438,0.20919,0.20536,0.28092,0.17948,0.22763,0.19332,0.16352,0.17322,0.21129,0.16026,0.25812,0.12592,-0.01505,-0.00716,-0.02842,-0.09295,0.01382,-0.03969,-0.02335,-0.01358,0.00145,-0.03833,0.02791,0.06835,-0.14676,0.0075,-0.21461,-0.12364,-0.16348,-0.13464,-0.22499,0.21332,0.10667,0.22817,-0.00958,0.07255,0.03726,0.10202,0.03693,0.02608,0.30639,0.19677,0.07987,0.2562,0.29756
Astro-1,-0.0542,-0.14596,0.00015,0.0922,-0.15233,-0.14669,-0.10981,-0.10132,-0.11895,-0.15718,-0.20791,-0.15798,-0.13747,-0.15283,-0.13304,-0.15312,-0.14825,-0.13718,-0.16778,-0.09048,-0.06664,-0.00105,-0.00048,0.02724,-0.00663,0.03333,0.0167,-0.02675,-0.03413,-0.02022,-0.00605,-0.07812,0.22884,0.05541,0.54651,0.24785,0.22122,0.16848,0.25979,-0.17825,0.02045,-0.15535,0.0028,-0.0591,-0.0137,-0.06868,-0.02553,-0.04083,-0.08982,-0.03367,-0.05993,0.00535,-0.10676
Glut-CACNA1H-4,0.16157,0.2488,0.06433,-0.01735,0.28639,0.34124,0.23975,0.18969,0.23632,0.25647,0.28242,0.26994,0.15661,0.19803,0.18545,0.25502,0.24108,0.26801,0.2319,0.25595,-0.0609,0.01352,0.00202,-0.07072,-0.06065,-0.06645,-0.06043,-0.04772,-0.06374,-0.06106,0.04575,0.11652,-0.14725,-0.00748,-0.24754,-0.1642,-0.18203,-0.15247,-0.22563,0.24642,0.02653,0.26533,-0.09723,0.12771,-0.00345,0.07842,-0.00151,0.01213,0.36993,0.24618,0.08897,0.21003,0.32402
GABA-2-1,0.04031,-0.0095,0.00347,-0.01363,0.02204,-0.05809,-0.07498,-0.03435,-0.04899,-0.08706,-0.0467,-0.06706,-0.02819,-0.02343,-0.06403,-0.05879,-0.04844,-0.05628,-0.03521,-0.0436,0.30918,0.05679,0.07114,0.10199,0.22302,0.1935,0.20695,0.40954,0.34845,0.36094,0.10621,0.07286,-0.09629,0.03755,-0.21647,-0.06409,-0.06822,-0.0372,-0.09258,0.00509,0.03017,-0.03644,0.21149,0.032,0.18776,0.14229,0.16023,0.21456,-0.02275,-0.05831,0.05568,-0.01589,-0.01177
GABA-5-1,0.00448,-0.03501,0.03754,0.05977,0.00331,-0.06048,-0.09001,-0.00457,-0.04966,-0.09685,-0.03543,-0.07035,-0.01839,-0.00582,-0.05801,-0.05542,-0.03372,-0.05116,-0.00372,-0.02728,0.25686,0.0983,0.09156,0.1091,0.25106,0.28639,0.35845,0.26116,0.23035,0.26921,0.14211,0.08429,-0.12017,0.00192,-0.08254,0.02104,-0.04112,0.01625,-0.09708,0.04311,0.02896,-0.01371,0.14812,0.03219,0.13719,0.13658,0.17383,0.30876,-0.02899,-0.04231,0.09476,0.01458,-0.00176
GABA-1-1,0.10407,0.01493,0.0448,0.04165,0.06237,0.01168,0.07555,0.10048,0.08735,0.03635,0.04274,0.05028,0.03046,0.02212,0.08267,0.08741,0.10693,0.05364,0.06546,0.04637,0.11148,0.1669,0.14911,0.12462,0.09625,0.1226,0.14235,0.14038,0.11445,0.11886,0.37,0.27692,-0.11591,0.06304,-0.16982,-0.06722,-0.04796,-0.05458,-0.12431,0.0787,0.03424,0.0441,0.08338,0.194,0.08764,0.08755,0.14628,0.14931,0.05593,-0.00059,0.19135,0.03154,0.00892
GABA-4-2,0.07485,0.00349,-0.03765,-0.03034,0.03842,-0.0093,-0.0566,-0.00933,-0.01758,-0.07853,-0.03116,-0.05558,0.01282,-0.00355,-0.01983,-0.02569,-0.04055,-0.03312,-0.0219,-0.00066,0.27521,0.04402,0.05962,-0.00848,0.29373,0.23167,0.2139,0.31393,0.4378,0.26985,0.08613,0.08223,-0.08061,0.02714,-0.13347,-0.04146,-0.02709,-0.02663,-0.14418,0.04089,0.11646,-0.0056,0.3346,0.06456,0.20159,0.14716,0.15835,0.22816,0.03562,0.03596,0.03928,0.08959,0.05995
GABA-4-1,0.06357,-0.00869,-0.02636,-0.02389,0.01963,-0.05633,-0.05542,-0.03278,-0.01729,-0.08765,-0.03366,-0.08681,0.00317,-0.01641,-0.02382,-0.04053,-0.02853,-0.04825,-0.02676,-0.04481,0.32462,0.06344,0.05524,0.02807,0.31901,0.2521,0.23322,0.39109,0.49388,0.36036,0.09473,0.07339,-0.07486,0.06393,-0.15509,-0.02353,-0.02244,-0.00545,-0.13343,0.02714,0.08876,-0.03342,0.3334,0.02834,0.18988,0.11732,0.16559,0.26092,-0.01688,-0.03476,0.045,0.02489,-0.01336
Glut-CACNA1H-RA,0.21053,0.18923,-0.03771,-0.05638,0.25954,0.18506,0.20756,0.16725,0.15351,0.14046,0.18221,0.10056,0.13523,0.11073,0.09563,0.10089,0.11966,0.1008,0.16398,0.0841,0.02125,-0.01652,-0.00079,-0.0985,0.03295,0.01575,0.01437,0.01293,0.04627,-0.02742,0.01813,0.0634,-0.09835,0.0342,-0.13988,-0.07445,-0.08935,-0.0798,-0.14186,0.11925,0.11588,0.13002,0.07565,0.07056,0.054,0.09271,0.02924,0.03872,0.20657,0.11555,0.0783,0.20021,0.21205
