,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
GABA-8,0.09871,0.02321,0.04417,-0.03172,0.06592,-0.0592,0.03087,0.0057,0.02817,0.03268,-0.01931,-0.03166,0.02907,-0.00799,0.07402,0.02439,0.01787,0.03585,-0.0418,0.01474,0.19506,0.04989,0.05547,0.03535,0.11155,0.0478,0.11718,0.23239,0.19151,0.1841,0.08357,0.10026,0.03612,-0.01167,-0.09872,-0.01856,0.03183,0.00366,-0.20531,0.00604,0.01952,0.03246,0.17796,0.07056,0.25732,0.08634,0.11528,0.15332,-0.01353,0.05059,0.16368,0.02394,-0.01209
Oligo-1,-0.06559,-0.18744,-0.06461,0.01858,-0.14047,-0.15545,-0.10867,-0.02488,-0.09643,-0.14656,-0.17985,-0.04592,-0.12697,-0.08843,-0.088,-0.1179,-0.14891,-0.05761,-0.08022,-0.09116,-0.04739,-0.01341,-0.10212,6e-05,-0.05942,-0.03064,-0.06124,-0.11083,-0.14217,-0.07564,-0.00665,-0.00048,0.26789,0.10088,0.01234,0.19439,0.37298,0.22081,0.18692,-0.16024,0.08618,-0.18676,-0.05303,-0.0321,-0.08088,-0.07975,-0.11367,-0.08112,-0.13097,-0.09949,-0.14676,-0.08433,-0.08058
Glut-CACNA1H-1,0.26537,0.30368,0.01459,-0.05317,0.38718,0.34635,0.27534,0.18544,0.30081,0.30176,0.30585,0.25173,0.22376,0.19778,0.2412,0.32327,0.31606,0.25002,0.21623,0.29834,0.01016,0.08338,0.09044,-0.18983,-0.00077,-0.03174,-0.0667,0.09653,0.04575,-0.00139,0.00869,0.03496,-0.11781,0.02166,-0.2618,-0.16848,-0.28004,-0.10669,-0.17598,0.22842,0.07866,0.29033,0.08588,0.01705,0.12484,0.02316,0.15232,0.03046,0.42959,0.24322,-0.00999,0.32441,0.29833
Astro-1,-0.01374,-0.05318,0.05556,0.11016,-0.07242,-0.13545,-0.09839,-0.01001,-0.12797,-0.11676,-0.0959,-0.05018,-0.11819,-0.11034,-0.09371,-0.01225,-0.06072,-0.03614,-0.08616,0.01754,-0.00771,0.07233,0.01251,0.10734,0.10494,0.06153,0.06648,-0.11662,-0.06686,-0.07737,-0.06192,-0.03364,0.08146,0.07475,0.5989,0.24735,0.18819,0.23617,0.13132,-0.09291,0.01911,-0.1675,-0.02775,-0.04334,-0.02686,-0.00358,0.04257,-0.03821,-0.07269,-0.00062,0.02679,-0.00696,-0.0401
Glut-CACNA1H-4,0.16509,0.22924,0.03448,-0.06657,0.30295,0.35544,0.18709,0.21631,0.19013,0.33888,0.31576,0.24119,0.15707,0.18783,0.21221,0.3078,0.28885,0.22284,0.15975,0.22605,-0.044,0.042,0.06302,-0.13042,-0.02737,-0.02236,-0.06557,-0.00917,-0.03389,-0.05339,-0.01956,0.11151,-0.10001,0.04859,-0.18133,-0.12885,-0.21449,-0.05632,-0.16893,0.24053,-0.04164,0.34129,0.0165,0.07644,0.09,0.03023,0.11252,0.01866,0.31772,0.1889,0.01721,0.27955,0.27879
GABA-2-1,0.00841,0.0316,-0.02248,-0.05741,0.03039,-0.01847,-0.02571,-0.03241,0.01571,-0.03284,-0.03809,-0.06893,-0.03559,-0.00389,-0.0411,-0.09167,-0.05239,-0.03393,-0.02902,-0.00435,0.2841,0.0827,0.10557,0.03137,0.21415,0.12895,0.17838,0.45831,0.47471,0.37681,0.07621,0.01249,-0.02782,-0.02863,-0.132,0.01181,-0.04788,0.06919,-0.13557,0.04184,-0.01638,-0.04797,0.35481,0.04789,0.219,0.15882,0.17353,0.23866,0.00269,0.03456,0.1363,-0.01312,0.00391
GABA-5-1,-0.03074,-0.09245,-0.00922,-0.0718,0.06569,-0.12837,-0.08583,-0.10741,-0.0986,-0.11457,-0.11672,-0.25016,-0.04697,-0.08459,-0.12894,-0.18465,-0.1588,-0.19129,-0.14437,-0.15728,0.21116,0.11944,0.2014,0.09166,0.22515,0.29748,0.32982,0.27842,0.18622,0.23139,0.05194,0.06616,-0.03297,-0.013,-0.04544,0.06017,-0.02506,0.07336,-0.05361,-0.06833,-0.03185,-0.11985,0.16348,-0.07085,0.09707,0.20579,0.20808,0.24934,-0.09091,-0.07329,0.16009,-0.03426,-0.11712
GABA-1-1,-0.06793,-0.05052,-0.03644,-0.06952,0.01207,-0.05603,0.04001,-0.0394,0.07709,-0.03497,-0.03388,-0.01487,0.03066,0.04175,0.04125,-0.01528,0.0715,-0.06591,0.00555,-0.11309,0.04186,0.10367,0.09793,0.07416,0.08512,0.10662,0.18433,0.04984,0.04837,0.00938,0.37092,0.25864,-0.07332,0.04349,-0.15474,-0.02858,-0.03894,0.05793,0.03054,-0.01247,-0.02028,-0.01413,0.09595,0.18894,0.04699,0.04715,0.08593,0.11469,-0.04982,-0.01733,0.21316,-0.07513,0.0117
GABA-4-2,0.02742,-0.03508,-0.15245,-0.13987,0.01246,-0.09564,-0.09747,-0.03835,-0.0299,-0.07316,-0.09139,-0.07144,-0.03131,-0.08586,0.01654,0.0073,-0.02527,0.02592,-0.04095,0.04046,0.26715,-0.00179,-0.0357,0.01924,0.29018,0.03763,0.08289,0.36499,0.39587,0.21174,0.03037,0.02794,-0.01065,0.02378,-0.08519,-0.00455,-0.03761,0.0666,-0.1803,-0.05371,0.00146,-0.14248,0.39354,0.1026,0.28875,0.08506,0.14336,0.14008,-0.00809,0.03479,0.14114,-0.07172,-0.03352
GABA-4-1,-0.05903,-0.04491,-0.07052,-0.09143,0.04241,-0.06168,-0.07164,-0.05483,-0.01126,-0.08909,-0.036,-0.05783,-0.01866,-0.04471,-0.00946,-0.04372,-0.04699,-0.0101,-0.0082,0.00692,0.24993,0.05446,0.06726,0.05324,0.31752,0.09639,0.16256,0.41777,0.46008,0.31949,0.01543,-0.00712,-0.03364,-0.03951,-0.02375,0.01526,-0.02533,0.04202,-0.11531,-0.02067,0.01452,-0.08109,0.43148,0.03228,0.23266,0.07872,0.1834,0.21888,-0.01858,0.03326,0.14708,-0.04456,-0.00745
Glut-CACNA1H-RA,0.24752,0.27599,0.0233,-0.02344,0.28893,0.23468,0.19982,0.14978,0.25834,0.18627,0.26165,0.21121,0.1885,0.14106,0.22306,0.29318,0.23849,0.24491,0.18964,0.23929,-0.02741,-0.03849,0.02411,-0.16768,-0.03996,-0.08413,-0.055,0.07344,0.05944,-0.03194,-0.05478,-0.02678,-0.05324,0.02719,-0.19278,-0.17028,-0.23072,-0.06705,-0.15561,0.21201,0.15912,0.21521,0.0666,-0.01956,0.08836,-0.01297,0.10017,0.01109,0.29856,0.16145,-0.03867,0.30735,0.30849
OPC,-0.11744,-0.12709,0.12063,0.24375,-0.14864,-0.18818,-0.18288,-0.02317,-0.19978,-0.22988,-0.29347,-0.20126,-0.1826,-0.16822,-0.19631,-0.18259,-0.25988,-0.20583,-0.214,-0.18363,-0.01072,0.03371,0.03716,0.18745,-0.06577,0.07894,0.02489,-0.17229,-0.08154,-0.04588,0.053,-0.07104,0.23607,0.11268,0.34153,0.48211,0.37077,0.33109,0.06836,-0.17149,0.03218,-0.23501,-0.09473,-0.0434,-0.1082,0.03932,0.0002,-0.01232,-0.11289,-0.02998,-0.04544,-0.02119,-0.12947
