,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0.5694,0.7361,0.7361,0.9583,0.6528,0.5972,0.1944,0.3056,0.3194,0.6528,0.2361,0.3889,0.2222,0.5556,0.375,0.3889,0.2639,0.3611,0.6389,0.7222,0.4722,0.375,0.4444,0.3611,0.9722
Glut-CACNA1H-2,0.5833,0.9028,0.9722,0.9583,0.8056,0.875,0.1389,0.2778,0.3611,0.4306,0.3611,0.4861,0.2222,0.4722,0.2222,0.3889,0.1667,0.1944,0.3889,0.75,0.4028,0.6111,0.4167,0.3194,0.7917
Glut-CACNA1H-3,0.5694,0.7222,0.7778,0.7639,0.625,0.5139,0.25,0.3611,0.3194,0.5556,0.25,0.2917,0.3056,0.4861,0.3472,0.3056,0.2153,0.4861,0.7222,0.7222,0.5,0.6667,0.5694,0.3681,0.8056
Glut-CACNA1H-4,0.6319,0.4931,0.9028,1.0,0.7014,0.6597,0.1875,0.2292,0.5208,0.3542,0.5486,0.8472,0.4097,0.4583,0.2708,0.7639,0.2153,0.1875,0.4653,0.6042,0.3958,0.3958,0.4514,0.3403,0.4653
Glut-CACNA1H-RA,0.5417,0.7361,0.7083,0.5972,0.4306,0.4861,0.2917,0.3125,0.4583,0.5417,0.3472,0.3194,0.3889,0.2778,0.4444,0.2014,0.2986,0.3333,0.9722,0.8889,0.5139,0.5694,0.5,0.4097,0.9306
Glut-DACH2-1,0.4514,0.1458,0.2014,0.2153,0.5694,0.3958,0.7639,0.3125,0.9167,0.6806,0.8889,0.8194,1.0,0.9306,0.3264,0.6944,0.4514,0.3681,0.1319,0.2014,0.4306,0.7917,0.4236,0.2708,0.1181
Glut-DACH2-2,0.2569,0.2292,0.2153,0.2431,0.4931,0.3403,0.9167,0.2708,0.8611,0.6944,0.9444,0.8194,0.9722,0.8056,0.3819,0.4931,0.3264,0.4653,0.3472,0.1736,0.4792,0.7778,0.5069,0.2847,0.2014
Glut-DACH2-3,0.6875,0.1875,0.1736,0.2014,0.4097,0.2986,0.6528,0.8889,0.4514,0.8611,0.5347,0.4792,0.6111,0.5069,0.6042,1.0,0.8472,0.9444,0.2708,0.3542,0.2292,0.4653,0.3403,0.3403,0.1597
Glut-DACH2-4,0.4931,0.2222,0.1528,0.125,0.2569,0.2014,0.5972,0.7361,0.5,1.0,0.3681,0.2153,0.6528,0.5208,0.2917,0.8056,0.4653,0.9306,0.5208,0.8194,0.625,0.6389,0.7361,0.375,0.25
Glut-DACH2-5,0.2847,0.2708,0.2431,0.2569,0.3542,0.3403,0.9861,0.3125,0.8194,0.5972,0.9306,0.7361,0.9583,0.8472,0.4861,0.4236,0.3958,0.5556,0.3542,0.2014,0.3264,0.8056,0.4861,0.2986,0.2292
Glut-DACH2-6,0.4722,0.2708,0.2014,0.1597,0.4444,0.3681,0.7778,1.0,0.375,0.9028,0.3889,0.1875,0.4028,0.6667,0.3819,0.6528,0.6667,0.9583,0.4722,0.7083,0.4306,0.4028,0.5417,0.3681,0.2986
Glut-DACH2-7,0.3264,0.2361,0.2083,0.1944,0.4097,0.3056,0.9306,0.4792,0.9306,0.75,0.6944,0.3889,0.9583,0.9028,0.2778,0.4931,0.5486,0.6944,0.2222,0.1667,0.4236,0.8611,0.6528,0.2639,0.1806
Glut-DACH2-8,0.4861,0.2292,0.1597,0.1875,0.5278,0.1736,0.7778,0.9167,0.625,0.9167,0.2431,0.2014,0.3472,0.5417,0.8472,0.5972,0.7083,1.0,0.6111,0.4028,0.625,0.4028,0.4167,0.2986,0.2569
Glut-DACH2-HVCra,0.5417,0.3056,0.2361,0.2222,0.1528,0.2917,0.5833,0.2639,0.7083,0.5278,0.4861,0.7222,0.8889,0.6111,0.5694,0.1667,0.5,0.3472,0.3889,0.4167,0.6528,0.8472,0.9583,0.9028,0.2083
Glut-DACH2-HVCra-Pre,0.3125,0.2639,0.2778,0.2222,0.2917,0.3472,0.7153,0.2708,0.875,0.7361,0.7917,0.8472,1.0,0.8056,0.3403,0.4653,0.4097,0.3264,0.3125,0.2847,0.5347,0.75,0.6597,0.4792,0.1806
Glut-DACH2-HVCx,0.6389,0.4375,0.3264,0.2708,0.5139,0.2847,0.3819,0.6389,0.2431,0.5486,0.3125,0.2014,0.4097,0.2292,0.3681,0.4375,0.6458,0.5486,0.9722,0.9444,0.6736,0.5833,0.875,0.6181,0.3958
Glut-DACH2-LMANco,0.6042,0.4236,0.3125,0.3403,0.3681,0.3264,0.5486,0.9167,0.2431,0.5486,0.2847,0.2986,0.3264,0.3681,0.7986,0.4097,0.6736,0.7986,0.8472,0.6042,0.4375,0.2708,0.6181,0.6667,0.4653
Glut-DACH2-LMANsh,0.2778,0.2639,0.2083,0.2222,0.3194,0.2917,0.7917,0.4444,0.8194,0.7778,0.6528,0.5278,0.875,0.875,0.8056,0.3611,0.5,0.8194,0.2361,0.1944,0.4444,0.7083,0.5278,0.3056,0.25
Glut-SATB2-1,0.3611,0.2917,0.2778,0.2083,0.2639,0.3611,0.5694,0.25,0.7917,0.4167,0.5833,0.375,0.5833,0.5417,0.4861,0.3472,0.4306,0.4583,0.4444,0.4861,0.9444,0.875,0.9861,0.9444,0.2222
