,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0.1643,0.3,0.2843,0.6318,0.1975,0.1727,0.0186,0.1202,0.0663,0.0828,0.0467,0.0812,0.0176,0.0754,0.1218,0.0682,0.0704,0.077,0.2161,0.3136,0.1381,0.0552,0.1087,0.1477,0.5586
Glut-CACNA1H-2,0.2261,0.376,0.6151,0.5428,0.3299,0.4715,0.0138,0.0929,0.0949,0.0625,0.0958,0.1237,0.0326,0.0801,0.0645,0.0899,0.0662,0.0306,0.1774,0.2323,0.1265,0.1181,0.0998,0.1373,0.2596
Glut-CACNA1H-3,0.1581,0.2242,0.2378,0.3565,0.1659,0.151,0.0499,0.1266,0.0847,0.1081,0.0626,0.0854,0.0349,0.1032,0.1153,0.0737,0.0841,0.0965,0.198,0.2217,0.1518,0.0957,0.1292,0.1501,0.3163
Glut-CACNA1H-4,0.1908,0.2184,0.3064,0.7974,0.2414,0.2484,0.0119,0.0729,0.1103,0.0409,0.1339,0.2171,0.077,0.0585,0.0651,0.1911,0.0685,0.0067,0.1582,0.1874,0.105,0.0938,0.1022,0.1427,0.171
Glut-CACNA1H-RA,0.1316,0.2343,0.2159,0.1998,0.1374,0.1556,0.0581,0.105,0.0788,0.0969,0.075,0.0973,0.0604,0.0663,0.1647,0.0721,0.0993,0.0935,0.4729,0.2368,0.1471,0.0774,0.1221,0.1693,0.2442
Glut-DACH2-1,0.1393,0.0534,0.0709,0.0645,0.1653,0.1538,0.351,0.0941,0.5846,0.2515,0.4972,0.455,0.7513,0.6271,0.079,0.2288,0.1376,0.0998,0.0234,0.0197,0.1222,0.3674,0.1465,0.1033,0.0217
Glut-DACH2-2,0.0792,0.0598,0.0575,0.0625,0.1235,0.1213,0.4082,0.0867,0.3347,0.1784,0.4671,0.334,0.609,0.3039,0.1126,0.1475,0.1166,0.115,0.0502,0.0207,0.1475,0.2856,0.1597,0.0968,0.0517
Glut-DACH2-3,0.2659,0.0836,0.0781,0.0849,0.1119,0.1133,0.1698,0.2999,0.1342,0.2992,0.1539,0.1404,0.1426,0.1527,0.1718,0.8062,0.2657,0.4352,0.1259,0.1277,0.108,0.1438,0.1159,0.139,0.0589
Glut-DACH2-4,0.1827,0.1156,0.093,0.0811,0.1036,0.0915,0.1515,0.1999,0.1116,0.4122,0.1116,0.0949,0.14,0.168,0.1518,0.1948,0.1682,0.2687,0.1935,0.2042,0.1762,0.1591,0.1835,0.1777,0.1365
Glut-DACH2-5,0.0829,0.0606,0.0496,0.0599,0.1328,0.1241,0.657,0.1017,0.2731,0.1773,0.373,0.2406,0.4042,0.2903,0.1332,0.1657,0.141,0.1413,0.0326,0.0,0.123,0.2623,0.1366,0.0864,0.0388
Glut-DACH2-6,0.1512,0.1021,0.0696,0.0611,0.1076,0.0782,0.1493,0.8313,0.0822,0.2434,0.0658,0.067,0.0773,0.1216,0.1487,0.2144,0.2108,0.4584,0.1584,0.1726,0.1238,0.0866,0.1277,0.135,0.1116
Glut-DACH2-7,0.0872,0.0614,0.0508,0.0408,0.1041,0.1121,0.4145,0.1347,0.331,0.2263,0.2122,0.1811,0.4793,0.3002,0.0949,0.1841,0.1726,0.1743,0.0533,0.0357,0.1338,0.2443,0.1504,0.0949,0.0393
Glut-DACH2-8,0.1474,0.0789,0.03,0.0477,0.1353,0.0426,0.1825,0.3121,0.1349,0.3127,0.0797,0.0516,0.0753,0.1406,0.2392,0.1908,0.3355,0.8724,0.1494,0.1244,0.1507,0.1167,0.1156,0.1218,0.1052
Glut-DACH2-HVCra,0.1309,0.1471,0.1313,0.1175,0.1063,0.1452,0.1786,0.1153,0.1591,0.136,0.1718,0.1784,0.2273,0.1512,0.1567,0.109,0.1754,0.1361,0.1153,0.1135,0.1428,0.1981,0.3663,0.2783,0.1156
Glut-DACH2-HVCra-Int,0.0714,0.0988,0.0997,0.0935,0.1084,0.1427,0.2459,0.0735,0.2531,0.1514,0.239,0.2462,0.5199,0.2399,0.0961,0.127,0.1211,0.0969,0.0575,0.0462,0.1494,0.2378,0.2047,0.1165,0.0638
Glut-DACH2-HVCx,0.1621,0.1721,0.1412,0.1171,0.1104,0.1179,0.1023,0.1768,0.075,0.1431,0.0886,0.0932,0.1024,0.0884,0.1573,0.1279,0.174,0.1551,0.328,0.2816,0.1964,0.1046,0.3153,0.1975,0.1637
Glut-DACH2-LMANco,0.1456,0.1406,0.0965,0.1145,0.1217,0.0979,0.1277,0.2118,0.0785,0.1298,0.0855,0.0899,0.067,0.0808,0.4066,0.1327,0.1653,0.3895,0.1928,0.1536,0.1425,0.0849,0.1462,0.1695,0.1454
