,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0.0,0.0,0.0,0.2525452212761121,0.0,0.0,0.0,0.0,0.0,0.0013103437345988683,0.0,0.0,0.0,0.00961373351477473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04862395867521217
Glut-CACNA1H-2,0.0,0.0626198371094397,0.18426144484158744,0.26039782044472176,0.015378775577844415,0.046572750959790424,0.0,0.0,0.0,0.0008431410000566813,0.0,0.0,0.0,0.0044754666602273676,0.0,0.0,0.0,0.0,0.0,0.005200872612868254,0.0,0.020108109868261285,0.0,0.0,0.01804785831954655
Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005781924025120544,0.0,0.0,0.010988091888247458,0.0,0.0,0.0
Glut-CACNA1H-4,0.0,0.0,0.008897269095174567,0.5910293034752093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006099681362555209,0.0,0.0015005750042208766,0.0,0.12211762324673847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033729357791627314,0.0009369411528424215,0.0,0.0009175989158419986,0.0,0.0,0.012743353297829623
Glut-DACH2-1,0.0,0.0,0.0,0.0,0.009347647892778201,0.0,0.0170728979166808,0.0,0.16003056276223995,0.013983720141822859,0.07653648317904593,0.04327769828295663,0.306828864248281,0.18942477461028806,0.0,0.029823130774465988,0.0,0.0,0.0,0.0,0.0005648599904188907,0.03340938184276616,0.0,0.0,0.0
Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.04887121158225819,0.0,0.09655932788476801,0.0030605814055806374,0.28089785496417735,0.12568944156460368,0.12234605808713507,0.012171781645682393,0.0,0.0,0.0,0.0,0.014153061138332224,0.0,0.0,0.0037776522448099304,0.0,0.0,0.0
Glut-DACH2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0013903529510094956,0.057548935615266875,0.0,0.04512952345114925,0.0,0.0,0.0017747191313439356,0.0,0.0,0.5885374897632125,0.020658006670250806,0.15030048362586707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-DACH2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0019732514232520594,0.006462882864946556,0.0021861409371376843,0.13960042308756476,0.0,0.0,0.0058796249078187516,0.0,0.0,0.015320696040130758,0.0,0.031854720309361005,0.0,0.02484046532536835,0.002377597857036022,0.012033006779661452,0.006296537896551888,0.0,0.0
Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.26432310697392586,0.0,0.03185087544006211,0.0,0.09409912821448965,0.0006071661843861339,0.03287897932809468,0.0304774650511191,0.0,0.0,0.0,0.0,0.0006194528373725517,0.0,0.0,0.0038233448446626976,0.0,0.0,0.0
Glut-DACH2-6,0.0,0.0,0.0,0.0,0.0,0.0025532223243224968,0.003920761505572804,0.6345786290001771,0.0,0.0376064099551266,0.0003501939542359499,0.0,0.0,0.0014357967486460187,0.0,0.0,0.0,0.07295165983754619,0.0,0.002725214287707803,0.0,0.0,0.0,0.0,0.0
Glut-DACH2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.12049006153553433,0.0,0.14123603758060263,0.017132229725437015,0.01020154417572579,0.0,0.11611741059760056,0.122228847168281,0.0,0.0,0.0,0.009601103005485181,0.0,0.0,0.0,0.03151070060567808,0.0004842567457453042,0.0,0.0
Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0036254774614027075,0.03908271593610053,0.0015244460041041715,0.04927709398535182,0.0,0.0,0.0,0.0,0.003696989563102292,0.0,0.0,0.43857306727669176,0.00887154021054385,0.0,0.003628450595942962,0.0,0.0,0.0,0.0
Glut-DACH2-HVCra,0.0479597206910644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007351772932118007,0.0003411523382933506,0.0,0.0005254272305723961,0.011457832439704102,0.0014291826316743161,0.0,0.0,0.0,0.0,0.0032140647545792025,0.01924130189464696,0.0022670143745076297,0.020133127159006493,0.04678805061102844,0.025778753007347964,0.0
Glut-DACH2-HVCra-Int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017806456806493526,0.0036567167762855033,0.003327439922252271,0.018312018758583893,0.04600799109400775,0.0023090314125943567,0.0,0.0,0.0,0.0,0.0021469559093747976,0.0020583825203557716,0.0,0.001089288794729068,0.0,0.0,0.0
Glut-DACH2-HVCx,0.014704435197872557,0.0,0.0,0.0,0.0031859362837172362,0.0,0.0,0.026152005162150535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045768293084652585,0.06935611570473009,0.0,0.0019951997886079468,0.0018285096516830282,0.0,0.0
Glut-DACH2-LMANco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013543460245337324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019085007444654366,0.0,0.0,0.0,0.0,0.0010305831044587863,0.0
Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008177597035590184,0.0272387791306284,0.0,0.0,0.003333156093336207,0.0019334705877279469,0.005993606884713814,0.0,0.0,0.0125015644515675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-SATB2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021123092927967007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011664408439131243,0.4681244139903952,0.053304476121102194,0.6232259876385123,0.33188840623440313,0.0
