,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-CACNA1H-1,0.0120239092314899,0.1676806069684749,0.1215648792173105,0.7215353868506955,0.0700127141370689,0.0167633874605554,7.637984218099521e-05,0.0,0.0013045873244266,0.0304006385617834,0.0003575777960637,0.0012486427832815,0.0007451762893383,0.0039074555044728,0.0003214271313468,0.0058089457333491,3.2214227547325885e-05,0.0011354095883617,0.0244013510916421,0.2648271459397153,0.0014710845698857,0.0073934400411466,0.0024707039723494,1.0743423313946574e-05,0.7168230229725872
Glut-CACNA1H-2,0.1361169304555305,0.3048739705071954,0.6800647154539072,0.4523201771145946,0.2838585682251424,0.6868674480651575,0.0004544408621358,9.39256675728628e-05,0.0062653719575699,0.0143693473610596,0.0102226632952104,0.0177840646008805,0.0023936237201211,0.0120063646942868,0.0008371941886738,0.0162073872763511,0.0,0.0015809568660591,0.0006437674990603,0.0707340626966217,0.00575558691892,0.043027477795893,0.0104050697409697,1.6966803534073606e-05,0.060162529767286
Glut-CACNA1H-3,0.0036202077013852,0.0236072315342467,0.0460589187183732,0.4061756085274382,0.0064611163899134,0.0025568543031111,0.0003074824740054,2.00522710691833e-05,0.0004269196908864,0.0397532563558916,0.000270254034548,0.0002296382235719,0.0023038974850383,0.0049060663200505,5.804646334268192e-05,0.00050259923121,0.0,0.0050413951606525,0.0012666691254859,0.0243219168309605,0.0009542866190897,0.0086117767131101,0.0116633095877642,0.0,0.1288823601166029
Glut-CACNA1H-4,0.0321600234714644,0.0002281637534838,0.0552072428965068,0.5685345496564082,0.0671208518243906,0.0097258107054401,5.4656787580073606e-05,0.0,0.0361009941934534,0.0034303389466749,0.0113362189417615,0.1027697664967851,0.0034001724596491,0.0021097483028251,0.0003620605786409,0.0751472036861547,0.0,9.236541086791954e-05,0.0010313441864176,0.005028768126632,0.0005620263846857,0.0024863273277543,0.0028358492047683,0.0,0.0006881575059709
Glut-CACNA1H-RA,0.006746928638644,0.014185768824769,0.0251035813241798,0.0015310562399995,3.495381386604418e-05,9.097690236582258e-05,9.336147703845048e-05,0.0,0.008679578066545,0.0552690251498341,0.0002519459142323,1.0866813587586531e-05,0.0099548684104763,8.518758580651728e-05,1.7022526255571825e-05,0.0,0.0,2.756009041826156e-05,0.6705282427881524,0.1117165054526832,0.0006284394698961,0.0038543032716755,0.0020362371677172,0.0,0.0445904546452331
Glut-DACH2-1,0.0286405536212301,0.0,1.6827660431838842e-05,0.0002777454847617,0.1331494383740496,0.0011981704367661,0.1848795410620195,0.0036848038815535,0.597063176582876,0.183868746389558,0.4543189370158347,0.4591987943630781,0.7128390299432199,0.686159719805856,0.0054502751312958,0.0973333498858331,0.0114104529250742,0.0062497804609003,0.0,0.0015345080583055,0.000777313622654,0.2067732480013565,0.0052661509217079,8.550587442669714e-05,0.0
Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0002794305169161,0.0,0.2464398014200522,0.0,0.0616258313861189,0.0056176802517117,0.0785797837870456,0.0334829728222391,0.6059655674013122,0.0506265712581372,1.8058423798241487e-05,0.0001658160788548,0.0,0.0003777641795675,0.0,0.0,3.1967541102295567e-05,0.0607541609397502,0.0001007422171476,0.0,0.0
Glut-DACH2-3,0.1331412785880857,0.0,0.0,0.0,0.0384220162277136,5.721593182911473e-05,0.0062118151058368,0.1092155188734982,0.0082241267792036,0.2157955460781779,0.0331302287508912,0.0168354531699778,0.0294300586863266,0.007122846167187,0.0471944446714799,0.6575393464877742,0.1363408219908986,0.3579620852655305,0.0,0.0001579386388173,0.0,0.0026346286304327,0.0001713689765964,0.0,0.0
Glut-DACH2-4,0.000523213783138,0.0,0.0,0.0,0.0004226714366175,4.418412920294049e-05,0.0286811159515507,0.0013401524816087,0.0039586411142204,0.3947647292211726,0.0023399993674875,2.0820533781529272e-05,0.0443298968744052,0.0238801482175492,0.0,0.0355275819364498,0.0018110594344019,0.1685498673275013,0.0004952596498029,0.0045869277441325,0.001551365901119,0.0027808708593363,0.0302062643208055,0.0,0.0
Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.6360563206810781,0.0,0.0547803898497221,0.0010714896618602,0.1146293410211856,0.0001985596715123,0.2165153788229188,0.058573720675473,0.0001106887057064,0.0,0.0,0.0003675795912445,0.0,0.0,0.0,0.0688928585778727,3.11044685714205e-05,0.0,0.0
