,gsi,samap,cca,n_methods_agreeing
Glut-CACNA1H-1,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,2
Glut-CACNA1H-2,Ex_CACNA1H_KIT,Ex_CACNA1H_PROX1,Ex_CACNA1H_LHX9,1
Glut-CACNA1H-3,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_SATB2_OVOA,1
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,3
Glut-CACNA1H-RA,Ex_CACNA1H_CPA6,Ex_KIAA1217,Ex_KIAA1217,2
Glut-DACH2-1,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,3
Glut-DACH2-2,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_LHX2,2
Glut-DACH2-3,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,3
Glut-DACH2-4,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,3
Glut-DACH2-5,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,2
Glut-DACH2-6,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,3
Glut-DACH2-7,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_GRIK4,2
Glut-DACH2-8,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,3
Glut-DACH2-HVCra,Ex_DACH2_MGAT4C,Ex_SATB2_SOX6,Ex_BCL6,1
Glut-DACH2-HVCra-Int,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,3
Glut-DACH2-HVCx,Ex_KIAA1217,Ex_SATB2_SOX6,Ex_KIAA1217_BCL6,1
Glut-DACH2-LMANco,Ex_DACH2_RORB,Ex_DACH2_ZMAT4,Ex_KIAA1217,1
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ITGA9,2
Glut-SATB2-1,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,2
