,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_ZNF385B,Ex_SATB2_FOXP2,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_NR4A3,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Glut-CACNA1H-1,0.15898,0.17278,0.0569,0.06282,0.31653,0.08853,0.02676,0.02599,-0.03292,-0.15739,-0.13519,-0.11475,-0.13156,-0.12789,-0.11545,-0.171,-0.23662,-0.23139,-0.0395,-0.09669,0.05012,-0.02053,-0.14212,0.23332,0.07715,0.24198,0.24218
Glut-CACNA1H-4,0.0668,0.12138,0.07585,0.05322,0.09109,0.17826,0.03011,-0.0509,-0.05431,-0.08182,-0.06888,-0.25925,-0.12508,-0.15028,-0.18783,0.0027,-0.11266,-0.24633,-0.12175,0.0966,0.09802,-0.13424,-0.0652,0.32125,0.25108,0.1931,0.32694
Glut-CACNA1H-RA,0.17594,0.12787,0.0563,0.02997,0.19511,0.02131,0.07441,0.0423,-0.00951,-0.10845,-0.11447,-0.07214,-0.06327,-0.13057,-0.10775,-0.106,-0.14917,-0.14153,-0.06292,-0.06163,-0.01039,0.08542,-0.12792,0.14172,0.06008,0.20764,0.1648
Glut-CACNA1H-2,0.09892,0.14068,0.09819,0.09134,0.20537,0.18498,0.00933,-0.01106,-0.07085,-0.08274,-0.07873,-0.21979,-0.14401,-0.12531,-0.14902,-0.07558,-0.20846,-0.24503,-0.09293,-0.02317,0.08038,-0.14456,-0.10338,0.23254,0.15083,0.21613,0.30255
Glut-DACH2-1,-0.21579,-0.22861,0.07658,0.09055,-0.23598,-0.04384,-0.05928,-0.03254,0.03045,0.2852,0.3135,-0.06266,0.00397,0.2976,0.10312,0.3245,0.40211,0.29089,-0.07939,0.27253,-0.0039,-0.10891,0.11801,-0.15417,0.0434,-0.16289,-0.13597
Glut-CACNA1H-3,0.15637,0.17449,0.04429,0.04101,0.29436,0.06767,0.04944,0.05204,-0.0017,-0.08874,-0.09738,-0.07659,-0.10656,-0.07271,-0.07592,-0.13578,-0.20495,-0.17664,-0.01039,-0.0899,0.06116,-0.02955,-0.1197,0.17406,0.04856,0.18325,0.19905
Glut-DACH2-2,-0.16702,-0.22711,0.05599,0.06279,-0.17452,-0.01944,-0.05047,0.02676,0.06365,0.26804,0.27301,-0.04117,-0.02613,0.30069,0.09411,0.33099,0.40348,0.33451,-0.09328,0.26173,-0.09724,-0.03521,0.03717,-0.14799,-0.01314,-0.14252,-0.15042
Glut-DACH2-HVCra-Pre,-0.14257,-0.16905,0.05608,0.0571,-0.14622,-0.05605,-0.0187,0.03684,0.11754,0.21033,0.21324,-0.07339,-0.02614,0.19146,0.02903,0.21111,0.32662,0.21417,-0.11641,0.20978,-0.11069,-0.06631,-0.00698,-0.07974,0.02493,-0.06063,-0.06498
Glut-DACH2-4,0.16033,0.15784,-0.05367,-0.07231,0.02865,-0.0473,0.12503,0.12177,0.11979,0.06687,-0.04283,0.1293,0.09546,0.06545,0.13143,-0.02362,-0.00114,0.02866,0.13656,-0.0662,0.12279,0.06018,0.09102,-0.09207,-0.06252,-0.01953,-0.05575
Glut-DACH2-3,0.00617,0.01664,0.00611,0.03714,-0.13751,-0.06011,0.03376,-0.02802,-0.0099,0.02938,0.00194,0.20758,0.16796,0.04532,0.13316,0.01511,0.00924,0.07724,0.21591,0.00357,0.18948,0.06212,0.27194,-0.09504,-0.02983,-0.08328,-0.10279
