,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_ZNF385B,Ex_SATB2_FOXP2,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_NR4A3,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Glut-CACNA1H-1,0.16728,0.18364,0.03192,0.02917,0.30394,0.08935,0.03414,0.01826,-0.04094,-0.15749,-0.13292,-0.10595,-0.11977,-0.12244,-0.1107,-0.16641,-0.23055,-0.22676,-0.01906,-0.09935,0.06369,-0.01575,-0.12863,0.22603,0.07895,0.22875,0.23294
Glut-CACNA1H-4,0.0605,0.11749,0.07825,0.05661,0.08718,0.17851,0.02153,-0.05356,-0.05932,-0.07656,-0.06739,-0.2517,-0.12587,-0.14728,-0.18162,0.0065,-0.10951,-0.23937,-0.12279,0.10022,0.10298,-0.13297,-0.06053,0.31443,0.24181,0.18318,0.31457
Glut-CACNA1H-RA,0.17919,0.14013,0.03928,0.01668,0.1962,0.02101,0.07759,0.03694,-0.00909,-0.11174,-0.10998,-0.07281,-0.05727,-0.1254,-0.10001,-0.10525,-0.14617,-0.14578,-0.04972,-0.0625,-0.00134,0.07603,-0.11581,0.14602,0.05832,0.20797,0.16753
Glut-CACNA1H-2,0.09842,0.14718,0.08681,0.08142,0.20193,0.17993,0.01153,-0.0163,-0.0724,-0.08424,-0.08325,-0.20856,-0.13578,-0.11815,-0.1445,-0.08054,-0.20607,-0.24008,-0.08189,-0.02503,0.09399,-0.13641,-0.09758,0.23226,0.14448,0.21367,0.29506
Glut-DACH2-1,-0.21827,-0.23146,0.07091,0.08142,-0.22977,-0.03827,-0.05379,-0.02072,0.0266,0.29796,0.31967,-0.0667,0.00498,0.30632,0.10099,0.34107,0.41534,0.29741,-0.07651,0.28333,-0.00024,-0.1074,0.09693,-0.13436,0.05145,-0.15859,-0.1234
Glut-CACNA1H-3,0.14779,0.16994,0.05126,0.05062,0.29169,0.0686,0.03885,0.04541,-0.00676,-0.0894,-0.09364,-0.06878,-0.09384,-0.06007,-0.06604,-0.13677,-0.19767,-0.16589,-0.00438,-0.0888,0.06022,-0.02699,-0.11061,0.16861,0.04248,0.18183,0.19207
Glut-DACH2-2,-0.17605,-0.22707,0.05698,0.06588,-0.16777,-0.01388,-0.05979,0.03194,0.06077,0.26949,0.27315,-0.03246,-0.027,0.30579,0.09716,0.33124,0.39989,0.33549,-0.08663,0.26342,-0.10417,-0.03109,0.03801,-0.13367,-0.01423,-0.14318,-0.14615
Glut-DACH2-HVCra-Pre,-0.1496,-0.17847,0.06189,0.06532,-0.13933,-0.04689,-0.02826,0.03866,0.10978,0.21455,0.22264,-0.06543,-0.01977,0.20501,0.0396,0.21702,0.33239,0.21739,-0.10977,0.21186,-0.11991,-0.06567,-0.00519,-0.07179,0.02659,-0.06077,-0.06113
Glut-DACH2-4,0.14747,0.14302,-0.05161,-0.06858,0.02811,-0.03937,0.11436,0.10513,0.10066,0.06108,-0.03181,0.1386,0.09575,0.07462,0.14073,-0.01389,0.00664,0.03853,0.14233,-0.0551,0.12739,0.05613,0.10468,-0.08653,-0.06213,-0.0204,-0.05755
Glut-DACH2-3,-0.00445,0.00857,0.00988,0.04207,-0.13705,-0.05809,0.02266,-0.03807,-0.02057,0.0336,0.0066,0.20308,0.16205,0.04768,0.1347,0.0319,0.01563,0.08293,0.20832,0.01842,0.19388,0.05802,0.27169,-0.08632,-0.02981,-0.08727,-0.10493
