finch_cluster,observed_max_r,null_mean,null_p95,p_value,fdr_bh
Glut-CACNA1H-1,0.3165,0.082,0.1387,0.0005,0.0006
Glut-CACNA1H-4,0.3269,0.0819,0.1401,0.0005,0.0006
Glut-CACNA1H-2,0.3026,0.0819,0.1402,0.0005,0.0006
Glut-DACH2-1,0.4021,0.0815,0.1396,0.0005,0.0006
Glut-DACH2-2,0.4035,0.0813,0.1374,0.0005,0.0006
Glut-CACNA1H-3,0.2944,0.0814,0.1383,0.0005,0.0006
Glut-DACH2-HVCra-Int,0.3266,0.0807,0.1337,0.0005,0.0006
Glut-DACH2-3,0.2719,0.0815,0.1404,0.0005,0.0006
Glut-DACH2-8,0.3728,0.081,0.1386,0.0005,0.0006
Glut-DACH2-6,0.3019,0.0817,0.1399,0.0005,0.0006
Glut-DACH2-7,0.2863,0.082,0.1401,0.0005,0.0006
Glut-DACH2-5,0.3621,0.081,0.1374,0.0005,0.0006
Glut-DACH2-LMANco,0.2681,0.0809,0.1395,0.0005,0.0006
Glut-DACH2-LMANsh,0.3005,0.0827,0.1396,0.0005,0.0006
Glut-CACNA1H-RA,0.2076,0.0816,0.1389,0.0015,0.0017
Glut-DACH2-HVCx,0.2213,0.0813,0.136,0.0015,0.0017
Glut-DACH2-4,0.1603,0.0826,0.1412,0.0205,0.0217
Glut-DACH2-HVCra,0.1516,0.0822,0.1405,0.0325,0.0325
