finch_cluster,observed_max_r,null_mean,null_p95,p_value,fdr_bh
Glut-CACNA1H-1,0.3039,0.0853,0.1433,0.0005,0.0006
Glut-CACNA1H-4,0.3146,0.0858,0.1465,0.0005,0.0006
Glut-CACNA1H-2,0.2951,0.0845,0.1428,0.0005,0.0006
Glut-DACH2-1,0.4153,0.085,0.1434,0.0005,0.0006
Glut-DACH2-2,0.3999,0.0863,0.1487,0.0005,0.0006
Glut-CACNA1H-3,0.2917,0.0854,0.1461,0.0005,0.0006
Glut-DACH2-HVCra-Pre,0.3324,0.0863,0.1474,0.0005,0.0006
Glut-DACH2-3,0.2717,0.0855,0.146,0.0005,0.0006
Glut-DACH2-6,0.3151,0.0847,0.1423,0.0005,0.0006
Glut-SATB2-1,0.254,0.0851,0.1434,0.0005,0.0006
Glut-DACH2-7,0.2901,0.0853,0.1469,0.0005,0.0006
Glut-DACH2-5,0.3625,0.0861,0.1427,0.0005,0.0006
Glut-DACH2-LMANsh,0.3115,0.0869,0.1488,0.0005,0.0006
Glut-DACH2-LMANco,0.2715,0.0857,0.1461,0.0005,0.0006
Glut-DACH2-8,0.3767,0.0848,0.144,0.0005,0.0006
Glut-CACNA1H-RA,0.208,0.0867,0.1472,0.001,0.0011
Glut-DACH2-HVCx,0.2221,0.0856,0.1457,0.001,0.0011
Glut-DACH2-HVCra,0.1534,0.0852,0.1463,0.037,0.0391
Glut-DACH2-4,0.1475,0.0857,0.1443,0.044,0.044
