finch_cluster,observed_max_r,null_mean,null_p95,p_value,fdr_bh
Glut-CACNA1H-1,0.3042,0.0857,0.1449,0.0005,0.0006
Glut-CACNA1H-4,0.3193,0.0863,0.1481,0.0005,0.0006
Glut-CACNA1H-2,0.301,0.0849,0.1441,0.0005,0.0006
Glut-DACH2-1,0.4253,0.0854,0.1445,0.0005,0.0006
Glut-DACH2-2,0.411,0.0867,0.1485,0.0005,0.0006
Glut-CACNA1H-3,0.2939,0.0858,0.1468,0.0005,0.0006
Glut-DACH2-HVCra-Pre,0.3426,0.0868,0.1483,0.0005,0.0006
Glut-DACH2-3,0.274,0.086,0.1464,0.0005,0.0006
Glut-DACH2-6,0.3063,0.0851,0.1434,0.0005,0.0006
Glut-SATB2-1,0.2689,0.0856,0.1448,0.0005,0.0006
Glut-DACH2-7,0.2985,0.0859,0.1472,0.0005,0.0006
Glut-DACH2-5,0.3749,0.0864,0.1447,0.0005,0.0006
Glut-DACH2-LMANsh,0.3181,0.0873,0.1486,0.0005,0.0006
Glut-DACH2-LMANco,0.2668,0.0862,0.1484,0.0005,0.0006
Glut-DACH2-8,0.3743,0.0854,0.1446,0.0005,0.0006
Glut-CACNA1H-RA,0.2097,0.0872,0.1485,0.001,0.0012
Glut-DACH2-HVCx,0.2223,0.086,0.1475,0.002,0.0022
Glut-DACH2-HVCra,0.1648,0.0857,0.1472,0.0245,0.0259
Glut-DACH2-4,0.1423,0.0863,0.1453,0.059,0.059
