"","finch|Glut-CACNA1H-1","finch|Glut-CACNA1H-2","finch|Glut-CACNA1H-3","finch|Glut-CACNA1H-4","finch|Glut-CACNA1H-RA","finch|Glut-DACH2-1","finch|Glut-DACH2-2","finch|Glut-DACH2-3","finch|Glut-DACH2-4","finch|Glut-DACH2-5","finch|Glut-DACH2-6","finch|Glut-DACH2-7","finch|Glut-DACH2-8","finch|Glut-DACH2-HVCra","finch|Glut-DACH2-HVCra-Pre","finch|Glut-DACH2-HVCx","finch|Glut-DACH2-LMANco","finch|Glut-DACH2-LMANsh","finch|Glut-SATB2-1","chicken|Ex_BCL6","chicken|Ex_CACNA1H_CPA6","chicken|Ex_CACNA1H_KIT","chicken|Ex_CACNA1H_LHX9","chicken|Ex_CACNA1H_MCTP2","chicken|Ex_CACNA1H_PROX1","chicken|Ex_DACH2_ADAMTS5","chicken|Ex_DACH2_CEMIP","chicken|Ex_DACH2_GRIK4","chicken|Ex_DACH2_ITGA9","chicken|Ex_DACH2_LHX2","chicken|Ex_DACH2_LUZP2","chicken|Ex_DACH2_MGAT4C","chicken|Ex_DACH2_NR4A3","chicken|Ex_DACH2_RORB","chicken|Ex_DACH2_SLIT2","chicken|Ex_DACH2_TAC1","chicken|Ex_DACH2_ZMAT4","chicken|Ex_KIAA1217","chicken|Ex_KIAA1217_BCL6","chicken|Ex_SATB2_FOXP2","chicken|Ex_SATB2_OVOA","chicken|Ex_SATB2_SOX6","chicken|Ex_SATB2_ZNF385B","chicken|Ex_TSHZ2_NR4A2"
"finch|Glut-CACNA1H-1",0.599359781634578,NA,0.349756623302074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449697405887089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601260871556489
"finch|Glut-CACNA1H-2",NA,0.679243569993498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588212929413829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-CACNA1H-3",0.349756623302074,NA,0.701126971761274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433247083252091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515794639304331
"finch|Glut-CACNA1H-4",NA,NA,NA,0.92238595928692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446244542463216,0.624544646437104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-CACNA1H-RA",NA,NA,NA,NA,0.991358455832972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676534058128897,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-1",NA,NA,NA,NA,NA,0.702473274412857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.581243274526356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-2",NA,NA,NA,NA,NA,NA,0.658176877365573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506821005518386,NA,0.44170228296243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-3",NA,NA,NA,NA,NA,NA,NA,0.977601880877743,0.0589054336468128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668584950240601,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-4",NA,NA,NA,NA,NA,NA,NA,0.0589054336468128,0.904587251828631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finch|Glut-DACH2-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80607990317851,NA,NA,NA,NA,NA,NA,NA,0.184161599138108,NA,NA,NA,NA,NA,NA,NA,0.536230958805679,NA,NA,NA,0.514395312789345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
