"finch_cluster","metaneighbor_top","metaneighbor_auroc"
"Glut-DACH2-LMANco","Ex_DACH2_RORB",0.8041
"Glut-DACH2-6","Ex_DACH2_CEMIP",0.7309
"Glut-SATB2-1","Ex_SATB2_SOX6",0.6898
"Glut-CACNA1H-RA","Ex_KIAA1217",0.6765
"Glut-DACH2-3","Ex_DACH2_SLIT2",0.6686
"Glut-DACH2-8","Ex_DACH2_ZMAT4",0.6616
"Glut-CACNA1H-4","Ex_CACNA1H_LHX9",0.6245
"Glut-CACNA1H-1","Ex_TSHZ2_NR4A2",0.6013
"Glut-CACNA1H-2","Ex_CACNA1H_KIT",0.5882
"Glut-DACH2-1","Ex_DACH2_GRIK4",0.5812
"Glut-DACH2-HVCra","Ex_SATB2_ZNF385B",0.5461
"Glut-DACH2-5","Ex_DACH2_ADAMTS5",0.5362
"Glut-CACNA1H-3","Ex_TSHZ2_NR4A2",0.5158
"Glut-DACH2-2","Ex_DACH2_LHX2",0.5068
"Glut-DACH2-LMANsh","Ex_DACH2_ADAMTS5",0.4486
"Glut-DACH2-4",NA,-Inf
"Glut-DACH2-7",NA,-Inf
"Glut-DACH2-HVCra-Int",NA,-Inf
"Glut-DACH2-HVCx",NA,-Inf
