"","Ex_Pre_SATB2","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_DACH2_ITGA9","Ex_Pre_KCNH7","Ex_CACNA1H_LHX9","Ex_CACNA1H_MCTP2","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_CACNA1H_CPA6","Ex_BCL6","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_DACH2_RORB","Ex_DACH2_CEMIP"
"Glut-CACNA1H-1",0.000302998068329935,0.013921753008743,0.040763628186007,0.00141974947999508,0.000465916497959433,0.00359575522766446,0.769237188101443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0309881031096119,0.00810316591923093,0.0489854533152584,0.00867112906088286,0.000644721042757987,0.0194633278749857,0.462705776196292,0.00149157971006865,0.00219124680734514,0.00270134974527763,0.000711002332055291,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00473204865896599,0.00960252519610534,0.0603091473592596,0,0.000865239314152651,0.0354726028737438,0.623559627855154,0,0.00128232323090778,0,0,0.000921361011089047,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0,0,0,0.683070959076323,0.0014876505962618,0.16933483373116,0,0,0,0.000936541184943564,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.0324123521708886,0,0.0161378868483731,0,0.00242129311918313,0.512847119796964,0,0.000299986528792667,0,0,0.000713492441585461,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.000631370790166765,0,0.110968101044686,0,0.00608820179034836,0.00139949767527819,0,0.00160189711372285,0.013190200788745,0,0,0.000512362292265637,0.100017556658893,0.000941267725570711,0.0234730747030328,0.0297706169279411,0.0123120905502297,0.292234392542354,0,0,0
"Glut-DACH2-2",0,0.000361124909443656,0.0272431486193698,0,0.00512398295064151,0,0,0,0.000330365619612751,0,0,0,0.0541645967250783,0,0.028067120196587,0.161131251970748,0.0261904615387473,0.20166665185873,0,0,0
"Glut-DACH2-3",0,0,0.00785812026521575,0,0.00861494380326487,0,0,0.00110201530272811,0.594801294184371,0,0,0,0.000932389766793967,0.0661537848664589,0.00105165031973921,0,0,0.0033047403064031,0.00102761649104072,0.000340222577412796,0.0395469327492018
"Glut-DACH2-4",0.00190155733280113,0,0.0523837125942088,0,0.329156908602838,0.00340027576115845,0,0,0.0418684424444301,0,0,0.00388238744333688,0.00286727201747805,0.0498413048314017,0.00223939397183823,0.00106528683610833,0,0.0058596095330221,0,0,0.00139394855851962
"Glut-DACH2-5",0,0.000389227564998022,0.0159312408571843,0,0.00246164896969037,0.00157848739047677,0,0,0,0,0,0,0.0665499611151287,0,0.247589724052524,0.169558211132838,0,0.0389108514898007,0,0,0
"Glut-DACH2-6",0,0,0.00194049183353842,0,0.0480041990509511,0,0,0,0,0,0,0,0,0.0922322245429845,0.00245475869538423,0,0,0.000515676967418787,0.000542033723052046,0,0.610462602416374
"Glut-DACH2-7",0.000618315063829094,0,0.0838433560399822,0,0.00785726012837219,0,0,0,0.0011472607456367,0,0,0.000597293053042805,0.179187572737185,0.00307429200731266,0.078927981000811,0.0207045695791216,0,0.122894107258251,0,0,0.00176144175384964
"Glut-DACH2-8",0,0,0,0,0.00951529729437712,0.00108823562245462,0,0,0.0021898737877121,0.00118006581030514,0,0,0.00227209985340012,0.503593982482883,0.00104953537446829,0.000490194623322808,0,0,0.000487512774623778,0.000740196048827812,0.13801424265769
"Glut-DACH2-HVCra",0.00026648129719959,0,0.00228417144555205,0.000226167368044963,0,0.0101213540384014,0,0,0,0,0,0.569348847322972,0.0299227243647741,0,0.00372688023099289,0.0048011305469403,0.00424604765623021,0.00818054479703886,0.00123034126381809,0,0
"Glut-DACH2-HVCra-Int",0.000676158248292423,0,0.0220757466652254,0.000441659862803685,0.00920771468447185,0,0,0,0.00295410953705265,0,0,0.0198319090258821,0.150335553630859,0,0.002082903058579,0.0747894978375717,0.0451117607496114,0.140953133969739,0.000902667834966424,0,0
"Glut-DACH2-HVCx",0,0,0,0,0.0725987819117498,0.350426139141445,0,0,0,0,0,0.170231389432742,0,0.00392350981796703,0.00107068763566613,0,0,0,0,0,0
"Glut-DACH2-LMANco",0,0,0,0,0.00549462828291595,0.0337878914157559,0.000945168349683899,0,0,0,0,0.0322169830469369,0,0.0595459900309847,0,0,0,0,0.0186184704792912,0.0238129014784385,0.38820808184705
"Glut-DACH2-LMANsh",0,0,0.0108707025197225,0,0.053357908977128,0.0121885063986622,0,0,0,0,0,0,0.13749527103535,0.00656708365968405,0.100116418758459,0.0925981496253824,0,0.00464252925566559,0.000342782215733978,0.0104529486221708,0.000571513921206365
