"","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_Pre_KCNH7","Ex_CACNA1H_KIT","Ex_DACH2_ITGA9","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_Pre_SATB2","Ex_DACH2_SLIT2","Ex_CACNA1H_MCTP2","Ex_CACNA1H_PROX1","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_DACH2_LHX2","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.042047216403684,0.0131089718239857,0.773647529877351,0.00548471339020585,0.00359373450594768,0.000477536609891506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0528828032331176,0.00613543983696001,0.430845485326144,0.0215581248279778,0.0146338988657933,0.00128297426703,0.000441612829407875,0.00161080015467036,0.0528267210419851,0.00236565600037562,0.00191463382059153,0.00519877104763182,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0594101350433047,0.00882689022604332,0.613677260767066,0.0548317643933955,0,0,0.00129730322161625,0,0.0050940922721692,0.000903375203372636,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.0036456851940684,0,0.679788004613713,0.00143616058771106,0,0,0,0,0,0.147606034532144,0.00156431565841101,0,0.0010390028590775,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.0298002969132632,0.398679690265961,0.00252450832713397,0.11631176216005,0,0.00109142798755388,0,0,0,0,0,0.000231191330684934,0.000456650565930144,0,0,0,0,0,0,0
"Glut-DACH2-1",0.110376165805355,0,0,0.00126404563076578,0,0.00719283018505459,0.000641481055431824,0,0.000982796458577633,0.0141307429294707,0.00161986536645509,0,0.110531149094389,0.0168079309169841,0.000359948084769622,0.000414716514835484,0.0306991797675967,0.291635733923419,0.0256413023959507,0,0
"Glut-DACH2-2",0.0255651383485048,0.000362981422349661,0,0,0,0.00553791776707547,0,0,0,0,0.000302465996650392,0,0.074420412223515,0.0292744054253696,0,0,0.15596514383521,0.197091191936119,0.0292032741721698,0,0
"Glut-DACH2-3",0.0118124329546891,0,0,0,0,0.0133999081079093,0,0,0,0.605512885664096,0.00163862554990461,0,0.00102737626599359,0,0.0586342695119853,0.00118618496813383,0.000854277975071649,0.00139958953467359,0.00146322587428019,0.0373351662626031,0
"Glut-DACH2-4",0.0540154875484501,0,0,0.00367477683911054,0,0.299945762322302,0.00479923433880269,0,0.00313723274429508,0.0411239954901093,0.00148712313729883,0,0.00512535896283517,0,0.0720195464315083,0,0.00112604785104419,0.00932683131690378,0.00365098607089314,0.00149105167446359,0
"Glut-DACH2-5",0.0183338774903343,0.000351416306277674,0,0.00211165229351308,0,0.00250127536250926,0,0,0,0,0,0,0.0786249267952054,0.000318103667134532,0,0,0.165648827528927,0.0438385053357016,0.25002444126211,0,0
"Glut-DACH2-6",0.00104436283570264,0,0,0,0,0.0371406672483868,0,0,0.000943013758158045,0,0,0,0.00122162114913568,0,0.10204352207533,0.000564782181555416,0.000341684977976976,0.000438192882596997,0.00268885420880955,0.628252242499417,0
"Glut-DACH2-7",0.086257438093727,0,0,0,0,0.0073150138949254,0.000918695858424309,0,0.00110021527868504,0.000691383268714695,0,0,0.187833154889918,0.0011816918135813,0.00291575739400042,0,0.0154889343317951,0.128137621622989,0.0959184847870753,0.00113206520136026,0
"Glut-DACH2-8",0,0,0,0.00416784663302604,0,0.0140959681308994,0,0,0,0.00333062584198991,0,0.00113898713907068,0.00296387961387505,0,0.503735884026618,0.000552870848474831,0.000869322428488228,0,0.00180147168381131,0.134174164936953,0.0010236098820121
"Glut-DACH2-HVCra",0.00477301577384091,0,0,0.0120272650107637,0,0,0.524938118799456,0,0.000326752210615947,0,0,0,0.0354579713016664,0.0093954314182416,0,0.00626150080795161,0.00210184305563551,0.0149697220221591,0.0089015156525001,0,0
"Glut-DACH2-HVCra-Int",0.0216743039276698,0,0,0.000477294084941015,0.000784158754467155,0.0122005870143938,0.0165002296722508,0,0.00130250986245422,0.00223349812431868,0,0,0.178896074817056,0.0373241393131639,0,0.0019243609487106,0.057079884907613,0.16760502431465,0.00242740306352764,0,0
"Glut-DACH2-HVCx",0.001204608978675,0,0,0.323848354340015,0,0.0722991740005707,0.171010754034474,0,0,0,0.00815265075584853,0,0,0,0.00466104151245171,0,0,0,0.00286415153122721,0.00263987425440065,0.00128266134274865
"Glut-DACH2-LMANco",0,0,0.00072842374812262,0.00753271337373212,0,0.0101764968265744,0.109879695625208,0,0,0,0,0,0,0,0.0680092116317464,0.0151656303793588,0,0,0,0.364446486790124,0.0322128756293283
"Glut-DACH2-LMANsh",0.0101894479346454,0,0,0.0168206898029428,0,0.0575196848865883,0.00036692375303907,0,0,0,0.000695112992554438,0,0.146894210115769,0,0.00535038774873684,0,0.0981225605269406,0.00816911498593966,0.123678128835282,0.000614147522167281,0.00608944333260406
