"","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-2","Glut-CACNA1H-2","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-DACH2-6","Glut-DACH2-HVCra-Int","Glut-CACNA1H-3","Glut-DACH2-3","Glut-DACH2-4","Glut-DACH2-8","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-7","Glut-CACNA1H-RA","Glut-DACH2-LMANco"
"Ex_BCL6",0.0263097843644527,0.0147260983104306,0.00090479517866318,0.00395246103202729,0.00754420744615162,0.104163151467447,0.0699521673973337,0.0991332896213868,0.00139990742985523,0.00209456722279205,0.193969796920288,0.00471545593609373,0.00171391095019097,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0319555155932323,0,0,0,0.775583373621213,0,0,0.0013092720010332,0,0,0,0,0,0.0207701023473345,0,0,0,0
"Ex_CACNA1H_KIT",0.0692121569015017,0.000736555476908864,0,0.00543571153865597,0.540278683873085,0,0.0034402411372666,0,0,0,0,0.00083873665160231,0,0.0923876703029094,0,0,0,0
"Ex_CACNA1H_LHX9",0.497805837157445,0.00432618036114023,0,0.00328837415794718,0.170452891475683,0,0.00177031113463347,0,0,0,0.00344049495958375,0,0,0.0853830192881804,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0694944925299546,0.0266351964246042,0.00111663761263281,0.201740640901587,0.153570287115043,0,0.00359812467596838,0,0,0,0.0350361624756233,0.00239401781534177,0,0.00764411728793079,0.0026090042214084,0.000693139317039057,0,0
"Ex_CACNA1H_PROX1",0.0983471019591303,0.00866782298637315,0,0.0691954790723378,0.51731098815686,0,0,0,0,0,0.00320701408663942,0,0,0,0,0,0.000459521089019643,0
"Ex_DACH2_ADAMTS5",0,0.0274474367612242,0.237641637392834,0.0556470421194904,0,0,0.00264922674394025,0.0207558530214768,0.00131885634768384,0,0.00171053347623,0.00189104250114311,0.00261510744359886,0,0.000787719458462091,0.154497734675027,0,0
"Ex_DACH2_CEMIP",0,0.00620127394737631,0,0.00116001836359312,0,0.00101277295268915,0,0.597086851042316,0,0,0.0974717496039066,0.00376133506291252,0.0155897415225666,0,0,0.0041285094591791,0,0
"Ex_DACH2_GRIK4",0.00266312417707173,0.381799522234972,0.017620522410001,0.110356496162159,0,0.000441097225972515,0.004293476055121,0.000459107137468707,0,0.00044886024191433,0,0,0,0,0,0.0794411346886706,0,0
"Ex_DACH2_ITGA9",0.000711058428994224,0.0699757076123808,0.000775344854065684,0.0522785304636174,0.00145821286496999,0.00295214437723071,0.00149369427406725,0.0196466668162819,0.00689523078518764,0,0.119347026814112,0.0988048173420365,0.09407082260183,0.00157952939329517,0.00330189491943432,0.029847744863987,0.000350216044039827,0.000622471404623721
"Ex_DACH2_LHX2",0,0.170803021959017,0.0152870232594371,0.385175128822309,0.00125550095000374,0,0.000579530205694837,0.000710102692645915,0.00060364082660683,0.000590759644186664,0.00619939292707457,0.00155523338210541,0,0,0,0.0029009278219976,0,0
"Ex_DACH2_LUZP2",0.0368186820291108,0.240871249293517,0,0.246813579159234,0.0062974720606319,0.000871078666076695,0.00235444491559923,0,0,0,0.0104006646566635,0.00078132834103953,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.338048598912404,0.0294164570707869,0.108895348022662,0.00100210918117769,0.0080179541414786,0.000675019074375075,0,0.0121158428460251,0,0.000390075640384715,0.00249644744417173,0,0,0.00058218041419345,0.0452991743953871,0,0
"Ex_DACH2_NR4A3",0.00128820031820061,0.387038437110494,0.015890023300899,0.0235926598210847,0.00210059434151706,0.00379290553909149,0,0,0.00289968388704567,0.000426222600136501,0,0.00179640747518547,0,0,0,0.156850497724154,0.000551009196664387,0
"Ex_DACH2_RORB",0,0.000601495854990768,0.00151280215997972,0.000657879317391673,0.00125167636119721,0.000817472535526863,0.000887470815447521,0.000531775231948653,0.000382502215030438,0.0035152343172145,0.452494398074751,0.00298537620647033,0.0242152566990535,0,0.00571851252223359,0.001687379558332,0,0.00210934822846327
"Ex_DACH2_SLIT2",0.0780072336843316,0.0965831618483921,0,0.00875390116948839,0.000498735922411509,0.000720317107092332,0,0.004534432226048,0,0,0.555693154297651,0.0153413716168993,0.00150016671027273,0,0,0,0,0
"Ex_DACH2_TAC1",0.000375812492810927,0,0,0.0022746915191733,0.000738575139857052,0.00114602643695603,0,0.0377730601002409,0.00123673928567773,0,0.246182762031793,0.0039518686743376,0.213074022898365,0,0.000412037037304232,0.00496861834936008,0,0.0347518445671556
"Ex_DACH2_ZMAT4",0,0.00390990889560711,0.00103062908956869,0.00117972612954233,0,0.000492241761727288,0,0.0729712659339074,0,0,0.240955786765688,0.0109049972893255,0.325551559350811,0,0.00054999310667805,0.00515872324770521,0,0
"Ex_Pre_KCNH7",0.00837916965250643,0.0548204197602297,0.000969366960354127,0.00922018854919964,0.0221172493906297,0.00668422949938366,0.118886661031562,0.0382370672029935,0.0158145135106497,0.0731955307899906,0.0129037227932346,0.0240587376025861,0,0,0.000436124694367724,0,0,0
"Ex_Pre_SATB2",0.012572830528617,0.0168773525350935,0,0.044123953541493,0.0681509747233266,0.00753825676824748,0.0163567478672959,0.00516935860586696,0.0118040733096802,0.153978579565527,0.00210772909915674,0.00976525714123895,0.00100961037407299,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00898225708262654,0,0,0.0140339978613873,0.0283223406798646,0,0.00320945618830557,0,0.00294870374290589,0,0.00717336116140568,0,0,0.607494838541757,0,0,0,0
