"","Glut-CACNA1H-3","Glut-DACH2-2","Glut-DACH2-8","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-7","Glut-DACH2-1","Glut-DACH2-LMANco","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Int","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-CACNA1H-RA"
"Ex_BCL6",0.000925114778097172,0.00160709121770567,0.00222095252566846,0.0175895933983354,0.0212887726253106,0.140517100731321,0.00310027904092961,0.000547538676774743,0.0101943324436613,0.000510604649190503,0.209644411557682,0.000820320236937807,0.0711181894610801,0.100251499189631,0.000975506459785153,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0.854405142006094,0.0115384797882305,0,0,0,0,0,0,0,0.00111818475659232,0,0,0.0059600372903745,0,0
"Ex_CACNA1H_KIT",0,0.0033127064138937,0,0.620579373509771,0.0554317427204005,0,0,0,0.000439183057858989,0,0,0,0,0.00360093875803925,0,0.080702895572253,0,0
"Ex_CACNA1H_LHX9",0,0.00224571357952436,0,0.201021592559772,0.479862158200177,0,0,0,0.00348240255187323,0,0.00294492283560414,0,0,0.00221090097236255,0.00248307279682164,0.0711273260289252,0,0
"Ex_CACNA1H_MCTP2",0.0013161240247821,0.145371984122128,0.00173748016638561,0.223491852249368,0.0528833198854557,0,0,0,0.024462745523199,0,0.0285409575896743,0.00100986871164766,0,0.00374533053244156,0,0.00414337458214452,0.0234253139782498,0
"Ex_CACNA1H_PROX1",0,0.0674595293803791,0.00110773451440778,0.552162745449421,0.108445724396936,0,0,0,0.00493027910154862,0,0.00119530724922459,0,0,0,0,0,0,0.000486772115284139
"Ex_DACH2_ADAMTS5",0.000335690822872248,0.0364105106935601,0.00491219500259009,0,0,0.00112197663317291,0.00194818049005567,0.150570793869859,0.0248312708044543,0,0.00422899548186378,0.3178191689726,0.0136854458367387,0.00245480241050757,0,0,0.00417514466504075,0
"Ex_DACH2_CEMIP",0,0.00065910026965275,0.0220716711484938,0.000464265894241945,0,0.00105439479429546,0.00379060011262264,0.00321357582681396,0.00551649665062685,0.00149865819993356,0.10951196546296,0,0.596633876430908,0.000726762869118798,0,0,0,0
"Ex_DACH2_GRIK4",0.000584758130450824,0.106303776625666,0.00154061921850629,0,0.00295398626521687,0.000930708062297434,0,0.10177130033867,0.354249565998937,0,0,0.0277032644900976,0,0.00412126152017499,0.00100646677211483,0,0.000607929177840065,0
"Ex_DACH2_ITGA9",0.000498020539536019,0.0476087498931273,0.122066870730918,0.00293401454594031,0.000546272665207392,0.00702763834281022,0.105478815672015,0.0298654003995007,0.0604626030469343,0.000847935505427838,0.111846532711978,0.00208948812937529,0.0183942932029028,0.00274282676162452,0.00311294897315632,0.0013182585374886,0.00993621011195455,0.0012281477924448
"Ex_DACH2_LHX2",0.000661008946703447,0.432309236901021,0.000695429768848888,0.00153513697595754,0,0.000948138352622744,0.000971247460133002,0.00409183851060609,0.14063785799537,0,0.0101110899100324,0.0234341999091935,0,0.0036437155420296,0.00147865384102449,0,0,0
"Ex_DACH2_LUZP2",0,0.326019452811877,0.000459640713562018,0.00544927874817249,0.0299901989419679,0.000766641368207604,0.000917151352141131,0,0.166930362888184,0,0.0141893508852938,0.000607788858515092,0,0.0036011182712274,0.0215305235708282,0.000447407094749173,0,0
"Ex_DACH2_MGAT4C",0,0.173841468321149,0,0.00148726154185386,0,0.0144974814858457,0.00221657745129907,0.0495928274772286,0.276012382463492,0,0.000785513896835957,0.0480398023495064,0,0.00118635903590914,0.0105619189596687,0,0.000804994147857991,0
"Ex_DACH2_NR4A3",0.000614440642717305,0.0220816661458615,0.000420163097211818,0.00284587887459705,0.00143428803324219,0.00807443527697017,0.00352040564283404,0.155777822339304,0.349342015208161,0,0.000760365230076463,0.0252265004648764,0,0,0.000566185834596478,0.00120089222671564,0.000594240263170141,0.00077147967158471
"Ex_DACH2_RORB",0.00407449273334834,0,0.014062051372235,0.00306840848823535,0,0.00110766195949104,0.00201488641833362,0.00184580167346076,0,0.0042327098688112,0.317687081832974,0.00201333849990637,0.000659817554099372,0.000532659345006955,0,0,0.092039062764118,0
"Ex_DACH2_SLIT2",0,0.00782477422708078,0.00147273935605782,0.00115634550907364,0.0743892223092416,0,0.0148810892840609,0,0.099916657903159,0,0.586559729112627,0,0.00429052608241884,0.00115124583201292,0,0,0,0
"Ex_DACH2_TAC1",0,0.00186241228100831,0.215079055537775,0.00109380764642694,0.000370624334518265,0.0059401792947556,0.00460989190883325,0.00588103694057312,0.00199409448619048,0.0654760922213236,0.228578864175448,0,0.0302582558750518,0.00287055314959631,0.00053665481556933,0,0,0
"Ex_DACH2_ZMAT4",0,0.0015996937610631,0.327194572791207,0.000358948129508035,0,0.000622667017214194,0.0114800318556048,0.00686556423885089,0.00274359475635983,0,0.255540890659608,0.00230591418784156,0.084914385681331,0,0,0,0.00169031632555883,0
"Ex_Pre_KCNH7",0.0427590331909935,0.00586376167240645,0.00404909753667308,0.0975989950385703,0.00595676587898287,0.0164744123199821,0.0108096284950982,0,0.0400180817271431,0.000806469203697289,0.0132275869435849,0.00178624781570929,0.041075236708311,0.0993941475864523,0.0269025637929974,0,0.00302797513033651,0
"Ex_Pre_SATB2",0.0604733634287992,0.0344182469142155,0.00355924152415985,0.204447937349126,0.0121174255957898,0.0124745473248372,0.00790931504082093,0,0.0136066894139196,0,0.000811925580550235,0,0.00448983332666852,0.00779488118625451,0.0390524643687956,0,0,0
