"","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-2","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-7","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-1","Glut-CACNA1H-2","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-CACNA1H-3"
"Ex_BCL6",0.0435380974710441,0.00171581273857785,0.31904303307522,0.0017991113612224,0.00250953414480908,0.0184688842947264,0.042745950519761,0.00110559627088858,0.0064609000560159,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0.00154663604139201,0,0.0583793854340375,0,0,0,0,0.00226592337793436,0.395333373581433,0.00124523907024351,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0.00235092026963034,0.0109819296071464,0.37283414280752,0.00169886076459798,0,0.000367032210541651,0,0.00388558961996869,0.0627982447147408,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0.0123123098503298,0.000916589554057179,0.416604711164863,0.00961697153132513,0,0,0,0.0533505248226097,0.0478136015057197,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0,0.00285131551430435,0.0538096958939334,0.186266944872477,0.113688687108789,0.0231863788623706,0.000823803846837202,0.000670892961759905,0.00346502565593635,0,0.00245702269556646,0,0.00110289623556096,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0540812061235494,0.0457789351119387,0.230225213702651,0.0167548434365731,0,0,0,0,0.0658146258177087,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.000395065626791529,0.000340241459128505,0.0167449518576585,0,0.0197115290364288,0.0233032888251515,0.0738364384366293,0.000316210983815674,0,0,0,0.252965933805095,0.000379206470175798,0.00163416749911781,0
"Ex_DACH2_CEMIP",0,0.00044293212343159,0.142409966844652,0.000291496507013724,0,0.00672929869867329,0.313340307116178,0.0021229561978606,0,0,0,0,0.000339582611541072,0,0.00729327728541,0
"Ex_DACH2_GRIK4",0.000484061333890141,0,0,0.120324988403763,0.00122390861662222,0.256036648636471,0.00203092337296569,0.031114782556885,0.000724663767115103,0,0,0,0.0319698916041201,0.000332323217588881,0,0
"Ex_DACH2_ITGA9",0.000653664664784029,0.0248397677803229,0.104436564811597,0.0608575599125287,0,0.0507134806536036,0.0455948332122265,0.0356402145834131,0.00288575943328425,0.000877480150543957,0.000647678189784864,0,0.00350890248955717,0,0.0221070562825024,0
"Ex_DACH2_LHX2",0.00146135155293639,0.000405691017562946,0.00375488085478163,0.300211409789825,0.000720189598453379,0.135979393819658,0,0.00121470360533359,0.00143189522411619,0,0,0,0.0141880732402135,0,0,0
"Ex_DACH2_LUZP2",0.000899180205068038,0,0.0253545447588915,0.0478025121571645,0.0423241425124674,0.308884391239759,0,0,0.00138158103415592,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.00562019600240295,0.000385446363728183,0.00094027538736253,0.0932726965073279,0,0.254935983605685,0,0.0251985289565733,0.00485542077210463,0,0,0,0.0241893132743046,0,0,0
"Ex_DACH2_NR4A3",0.000400830021739757,0.00122480138013354,0,0.00934696661468792,0.00187791048916016,0.300531224322335,0,0.127764612283006,0,0,0,0.000338520883759444,0.0342606184868665,0,0,0
"Ex_DACH2_RORB",0.00110386719714111,0.000820252723968298,0.352604599998458,0.00121103861514839,0,0.00150000335594648,0.000790007694270421,0.00189599574957585,0.00211888914566005,0,0,0,0.00352295473535651,0,0.0184862329637257,0
"Ex_DACH2_SLIT2",0.000596228021213293,0.00263639561306952,0.464493830855109,0.00460192833491475,0.0298665616886056,0.0899622923894443,0.00739677631853181,0.00103013711979299,0,0,0,0,0,0,0.000521882286068417,0
"Ex_DACH2_TAC1",0.000349286688024953,0.00190673003660916,0.239093572541145,0.00132065519177172,0,0.00196232576710994,0.0795654599116944,0.00240856310277284,0.000261520963503231,0,0,0,0,0,0.0461141669561452,0
"Ex_DACH2_ZMAT4",0,0.00258749100044109,0.11076210868395,0.00142568370196381,0,0.00223688761434805,0.0814986262660126,0.00322641493670026,0,0,0,0,0.00271064726002117,0,0.177308587319734,0
"Ex_Pre_KCNH7",0.00342324660753001,0.00050921297405692,0.0865280795024068,0.00486999414733259,0.00442824807033658,0.0770628281480914,0.0411036591043523,0.000296863433290143,0.0559154712124721,0,0.000439336353369889,0,0.00117007004192257,0.000756444945608934,0,0
"Ex_Pre_SATB2",0.00604230334572989,0.00391990150485358,0.0488768920693602,0.0363267203173996,0.00984916816207677,0.0330839210682832,0.00451302488925021,0,0.119449782043131,0,0.00109599060262368,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0,0,0.00566003277227787,0.064659270018134,0.0247949425041602,0,0.00353616408712467,0,0.002137323985407,0.221697822898322,0.00487734449718314,0,0,0,0,0.00404005606041278
