"","Glut-DACH2-1","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-DACH2-4","Glut-DACH2-HVCra","Glut-DACH2-6","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-2","Glut-CACNA1H-3","Glut-CACNA1H-RA","Glut-CACNA1H-1","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-7"
"Ex_BCL6",0.00833339968875569,0.0993601419271343,0.216119790548342,0.0206369138287666,0.000896226502242419,0.00171753886161909,0.00336601868685691,0.150901449669681,0.0689428441037778,0.00136803376259594,0.0220757403330847,0.00258549535835095,0.00218687706237531,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0.0104446310630423,0,0,0,0,0.00142582119108803,0,0.852879021403418,0,0,0.00413767946474777,0,0,0,0
"Ex_CACNA1H_KIT",0,0.00249408319333196,0,0.0474336296323691,0,0,0,0.00101459604056517,0,0,0.637652856369798,0.00620967449611774,0,0.000967234436886935,0.0575559982321952,0,0,0
"Ex_CACNA1H_LHX9",0.00245245233513422,0.00225032500302518,0.00312075301002927,0.469104610823152,0,0,0,0,0,0,0.219426367277233,0.00450997431297109,0,0.00113346125619241,0.0660682528080726,0.00767954850880438,0,0
"Ex_CACNA1H_MCTP2",0.022550945627056,0.0102713251047142,0.027684057366618,0.0671614681958289,0.000666046597107069,0,0.000770952475314355,0,0,0.000973484776567891,0.208134028599512,0.113469055708117,0,0.000446436896276914,0.00293666793468776,0,0.0515274596492646,0
"Ex_CACNA1H_PROX1",0.00390619673872839,0,0.00421947381812381,0.086425183168698,0,0,0,0,0,0,0.593114849785688,0.0642661853671815,0,0.000717340323738677,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0185703870050206,0.0029693960343719,0.00306204990109039,0,0.313862813041434,0.000558102600059612,0.00231823908812634,0.00344714184388222,0.0176209631344994,0.00723431190639963,0,0.0378446254813692,0.00033799217542702,0,0,0,0.00557858339531281,0.160669209809743
"Ex_DACH2_CEMIP",0.00287601903775495,0.00155495923884273,0.112212290180893,0,0,0.00220611521418618,0.00356479591281508,0.000713497095005965,0.60683562741224,0.021155066799783,0.00168548485333723,0.000886198259801139,0,0,0.000448665624436685,0,0,0.00346547817111359
"Ex_DACH2_GRIK4",0.333699596240869,0.00456649492648855,0,0.00304678752894239,0.0263886794230224,0,0,0.00064120874326731,0,0,0,0.109079389773733,0.000445810060528126,0,0,0.00507441856373095,0.00321968177903368,0.110251358667903
"Ex_DACH2_ITGA9",0.0575003700671125,0.00439133992274215,0.119898962137891,0.000490871792381607,0.0025728834936334,0.00115828946463295,0.100537692717704,0.00678504229422581,0.0212038818880012,0.128048951778322,0.00586994382859671,0.0398239822335126,0.000314901505250732,0.00197931918542722,0.00225985372227304,0.00356870371891275,0.0158600982292805,0.0285703473083898
"Ex_DACH2_LHX2",0.145045541423444,0.00289935836423541,0.01011464436653,0.00337675765149677,0.030282552668025,0.000663756298899833,0.00109492410541889,0.000899296216095562,0,0.00057522253233905,0.00226409283658801,0.398752006258416,0.00054617278737952,0,0,0.0017281123187767,0,0.00415957271720702
"Ex_DACH2_LUZP2",0.158804305229067,0.00292875727107896,0.0138108079102896,0.0289225988661854,0,0,0.00157663903723978,0.000970951093414146,0,0,0.00747108390120188,0.295915031190409,0,0,0.00129415718735975,0.0590150720141356,0,0.00128734782485992
"Ex_DACH2_MGAT4C",0.266301839891227,0.00130946786174358,0.00112610721423908,0,0.0425724318313232,0,0.00334431142726407,0.0154012534743387,0,0,0.00146137603284384,0.187005339186222,0,0,0,0.0198713172012402,0.000899298864119724,0.0593638981481924
"Ex_DACH2_NR4A3",0.326666914625389,0,0.00060209761826855,0.00121377940158635,0.0280349472460264,0,0.00283068564980365,0.0106675793725742,0.00105585431492199,0.000508555030292957,0.00556785903890223,0.0209371246528071,0.00111726505564663,0.000763196962569747,0.00179620046620766,0.00158088946972874,0.000727117092755949,0.149188974157273
"Ex_DACH2_RORB",0,0,0.257834167673786,0,0.00112082630247689,0.0380571862359462,0.00194269113913456,0.00115515357872711,0.00234684320276599,0.0276889459541334,0.00285127360905595,0.00109133726809961,0.00515637723244908,0,0,0,0.122236192577778,0.00266832261356638
"Ex_DACH2_SLIT2",0.0899957840898306,0.00191822251322113,0.597044521414743,0.0810278136497421,0.000711927144220097,0,0.0158789283082395,0,0.00329382161073612,0.00175809842427165,0.00207346943011057,0.00858678259560852,0.000447842555924562,0,0,0,0,0
