"","Glut-DACH2-5","Glut-CACNA1H-3","Glut-DACH2-2","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCra","Glut-DACH2-3","Glut-DACH2-HVCx","Glut-CACNA1H-2","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-8","Glut-DACH2-LMANsh"
"Ex_BCL6",0.000678702047585762,0.000935804076449528,0.00194074546043754,0.000885389544888735,0.00733732352322268,0.114916419430555,0.0227238404314768,0.0214665916643638,0.000914924042161087,0.0791976549941397,0.166898197188924,0.0496381655501803,0.00228038648380166,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0.000937405680606386,0,0.0370413074769071,0,0,0,0,0.685767189304726,0.0276183208453604,0.00115405416201357,0,0
"Ex_CACNA1H_KIT",0,0.000469536409390592,0.00460415640256346,0,0,0,0.0010477070558088,0.106213877654788,0,0.000888625438621657,0,0.00193923715463994,0.38803639090417,0.0764550491028729,0,0,0
"Ex_CACNA1H_LHX9",0,0,0.00098694545781824,0,0,0.000510019885274279,0.00543304319046648,0.465796855482091,0,0,0.00442580697714199,0.00116821643564,0.132946875676536,0.0809856189033901,0,0,0
"Ex_CACNA1H_MCTP2",0.00125397245655228,0.00112588260817217,0.201552227902598,0,0.00476223326130657,0.00105226897335662,0.0217616192056641,0.0879493733951497,0.000412306799024908,0.000618242685044711,0.0389674504971038,0.00338041315093203,0.0828160043808146,0.00547416243164179,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0444619264326161,0,0,0.000455745996405503,0.024046848707343,0.11002254091841,0,0,0.00591478555300922,0,0.39892121728639,0,0,0,0
"Ex_DACH2_ADAMTS5",0.271777519434395,0.000304527344293183,0.0393483487392343,0.111183295342698,0.00126169102074008,0.0232411314372629,0.0150869734388959,0,0.000411874356633922,0,0.00257466736484404,0.00216676616541924,0,0,0,0.00169548301925328,0
"Ex_DACH2_CEMIP",0,0,0.000545467004402157,0.00176758185270686,0.0023508732393221,0.548487507353845,0.00808236996866028,0.0006972573154604,0,0.000916190436234309,0.0765469923394625,0,0,0,0,0.0167974117638603,0
"Ex_DACH2_GRIK4",0.014558002115803,0,0.148576494624779,0.0934889329492483,0,0.000637646104340168,0.28188326004331,0.00221037828139594,0.000607055596192191,0.000536185974623056,0.00057824401283487,0.00360832178557288,0,0,0,0,0
"Ex_DACH2_ITGA9",0.00107056714508718,0.000401185664326888,0.0645953206723212,0.0222728132287122,0.0818971748336441,0.0381144466923887,0.0627266404789884,0.000647501088136514,0.00305084218959657,0.002896114141379,0.120979195481584,0.000485185584449152,0.00134461460269081,0.00133104156359274,0,0.0515281293215273,0
"Ex_DACH2_LHX2",0.00719647379409384,0,0.399758912759458,0.00279992078281821,0.000390268855329793,0.000678479576421452,0.155791134851288,0.000890241397857271,0.000802526021037167,0.000644955996035475,0.00701062958085439,0.000428318154291863,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.000361086226456328,0.102138884567687,0,0,0,0.344136143912466,0.0505536030894189,0,0.000734196446463292,0.0104289247986736,0.00207320065097955,0.0036365587189231,0,0,0,0
"Ex_DACH2_MGAT4C",0.0216263893922088,0,0.0952725786328809,0.0512967970943141,0.00113769921238088,0,0.332607954164353,0,0.00379004651906493,0.0056182679388036,0.000542644715901405,0.00111757125742438,0.000699398440023253,0,0,0,0
"Ex_DACH2_NR4A3",0.0187601923442764,0.000314294034578372,0.0224727549991783,0.134821631800204,0.00059960128773676,0,0.363759282968918,0.00123712159632878,0.00144432993139133,0.00216102191080887,0.00136408479566297,0,0.00136146462364522,0,0.000514954839876701,0,0
"Ex_DACH2_RORB",0.00143589495792236,0.00589969542671466,0.00050088677829927,0.00120553128805747,0.00169142138527226,0.000608636573746511,0.00115934172094962,0,0,0.00222858369671415,0.522641778603252,0.000718616582028478,0,0,0,0.00597329117451819,0.00120451099671182
"Ex_DACH2_SLIT2",0,0,0.00397523002240048,0,0.0147877281916611,0.00382463103080215,0.104618407233716,0.0644081947608396,0,0.000750178911955693,0.50991924704514,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.000440974320877399,0.00222850410849625,0.00367839651589365,0.000892661334416961,0.0848703080001252,0.00099858872880207,0,0,0.00972702328629673,0.246356671101389,0,0,0,0,0.135084026928156,0
"Ex_DACH2_ZMAT4",0.000694934040726224,0,0.000910751501152368,0.00245891949278996,0.00887493388679608,0.0734678175004123,0.00270954064611289,0,0,0.000582068852499014,0.209766899058092,0,0,0,0,0.268346336759216,0
"Ex_Pre_KCNH7",0.000732705215284978,0.103968752289017,0.00238313026316354,0,0.0145129576783815,0.0333859199791225,0.0594659955432413,0.0080874765432137,0.000770897965871615,0.00599044636087091,0.0200053659728699,0.0983491333238954,0.00484407790837707,0,0,0,0
"Ex_Pre_SATB2",0,0.172720191158813,0.0305864478418099,0.000585738403840365,0.0124885161024555,0.00341168603451293,0.0288661250502126,0.0120665412775884,0.000732496619192376,0.0105775035983445,0.00192024445276142,0.020669504759996,0.0205793627614596,0,0,0,0
"Ex_TSHZ2_NR4A2",0,0.00315076218676888,0.0149848271576511,0,0,0,0,0.014059492492035,0.00242549197660193,0,0.00613177742127662,0.00435519059983437,0.0140746662053707,0.461815451135958,0,0,0
