"","Ex_KIAA1217_BCL6","Ex_Pre_SATB2","Ex_SATB2_OVOA","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_KIAA1217","Ex_DACH2_ITGA9","Ex_DACH2_MGAT4C","Ex_DACH2_NR4A3","Ex_BCL6","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_SATB2_FOXP2","Ex_CACNA1H_MCTP2","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_DACH2_RORB","Ex_SATB2_SOX6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.00721083170065701,0.000266724480376093,0.000621034267319099,0.722157713996941,0.0102523625179384,0.000593224993487572,0.000298126984921639,0.00132319865067338,0.00137099740509015,0.00169995035521542,0.0309955347487739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00487908843161294,0.0599658275500226,0.0106142912170524,0.317310882444494,0.0123662126923812,0.0554284882332422,0.00316992459122331,0.000475093794958085,0.000246639919334223,0.00117314143217574,0.0373375400390121,0.00328577074027382,0.000312063983097762,0.000318692617830626,0.00476471444539056,0.0258974479933964,0.00208225376430943,0.0125884806410029,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00154891087582301,0.00706520067324408,0.00259904591171377,0.581910262790783,0.00824959853716217,0.00125939560268744,0,0.0018607254445468,0.00267149258253008,0.0228544207241666,0.0614979588323447,0,0.001388405776743,0,0,0.000884121069756156,0.000715575872090816,0.00107068411688135,0.000731486656889864,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.000863599439677861,0,0.625117967481993,0,0.01488665266145,0.0996869588558683,0,0,0,0.00438333412475214,0,0,0,0,0.00431353009800989,0,0.0013736376326803,0,0.00290154320470521,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0131746869921563,0,0.000323268167900541,0.426169279642313,0.0454092739081905,0.00431358691810712,0,0.0630028997118718,0.000284344262570143,0.000574574083220191,0,0,0,0.000239066794558909,0.0010491671530478,0,0,0,0,0.000359117095564875,0,0,0,0,0,0
"Glut-DACH2-1",0.000345140326348081,0.00208340013566639,0.0185275952181891,0,0,0,0.0160188734217526,0,0.00521853764122916,0.191180537042409,0.0903576421393374,0.000567540167373326,0.0569658009845546,0,0,0.000766420030868511,0.00197576388405112,0.00199623586862403,0.119476091801476,0.0285227647379364,0.0202431416379293,0.000743413767439574,0.00046211096553474,0,0,0
"Glut-DACH2-2",0,0,0.00253609261701613,0,0,0,0,0.00506628382522035,0.00353149927794595,0.0964742900778595,0.0263485668717303,0,0.203965984977917,0,0,0,0.00181913806575042,0,0.0925048604753877,0.0629018006165161,0.0514885750192874,0,0,0,0,0
"Glut-DACH2-3",0,0,0.000325190019269347,0,0,0,0.513580374719543,0.000445959811811076,0.0306618306399432,0.0004082314029342,0.0137872887692687,0.00127328850769466,0.00157099997975617,0.0509820157490069,0,0,0.000862196341138062,0.00163451341543775,0.000913617152306526,0,0.000862909976908501,0.0800719734449688,0.00202167255530411,0.00145169158006596,0,0
"Glut-DACH2-4",0.0296523370528049,0.00166214110278798,0.0140873618903077,0,0,0,0.0553379388449722,0,0.228836793008483,0.0071770440270789,0.051165724126282,0.00156214613156819,0.00123785221834013,0.0118695057539281,0,0,0.0138914442168697,0,0.00206852442894573,0,0.000947480299848532,0.0658304592442714,0.000896988303896431,0,0.00880470444789097,0
"Glut-DACH2-5",0,0,0.00126586978826589,0,0,0,0,0.000866154758150906,0.00366119371234972,0.0382439920965154,0.02788980870281,0,0.23435973816918,0,0.000326996098312959,0,0,0,0.0651713610426467,0.000409299917300111,0.240899918174124,0,0,0,0,0
"Glut-DACH2-6",0.00394447656061118,0.000351893729590882,0.000679126317133333,0,0,0.000419892185544171,0,0,0.030029836971455,0,0.00345646273075948,0,0,0.633731538802092,0,0.000918193505002881,0.00279244446156003,0,0,0,0.00256984194750262,0.111990630504518,0.000545194525261772,0.000518912140157876,0.00112075817499054,0
"Glut-DACH2-7",0.000715722581464206,0,0.0210864845729087,0,0,0,0.00307394872868747,0,0.0139290378365572,0.128574858881852,0.081745396084341,0.000501961353119305,0.00979849610963535,0.00300829146566708,0,0,0.00268387593873227,0.000415001659835842,0.17958838498483,0.000596494930492898,0.0934945507294127,0.00555143686452485,0.00117939435819171,0,0.00192025174037118,0
"Glut-DACH2-8",0,0.000942767977647932,0,0,0,0.000411981429034161,0.00077113016621548,0.00555585749852999,0.0188860770735468,0,0,0,0,0.100575836825435,0,0.00213247219919732,0.0209831391040565,0,0.0032354332714215,0,0.00246104763052696,0.54715704165949,0.00106867638726688,0.00472355558014276,0,0
"Glut-DACH2-HVCra",0.0195726990851203,0.00083441680501485,0.0861205467771156,0.00347506749564518,0,0,0,0.000989282889516258,0.000950791621916001,0.0058282374320914,0.00359136553148374,0.141613363511009,0.0011459683134669,0,0,0,0.00881327462034518,0,0.0337604490855976,0.00593271025296866,0.00112512108188696,0,0,0,0.0213686697016317,0.258260359631122
"Glut-DACH2-HVCra-Pre",0.00340215563910875,0.00140044672309466,0.0111630254728083,0.00144263568364493,0,0.000830723303731022,0.000585532285142892,0.00646805817034475,0.0180120740684053,0.133340605277638,0.0204295952523923,0.0100314954194953,0.046774996121194,0,0,0.000370565649609245,0.045714507795698,0,0.158442440661718,0.0647733791693165,0.00127100988068756,0,0,0,0.00239103793923458,0.000339573495180911
"Glut-DACH2-HVCx",0.0633708301901448,0.00294589502516501,0.00501677370257759,0,0,0,0,0.101460444397867,0.0556606379217591,0,0.000807305069356969,0.0475159551085379,0,0.119572235240934,0,0,0.00253921126176163,0.00357072081330964,0,0.00105152738974942,0.00146935699030258,0.00238506082282592,0.000623586710198669,0,0.0081433570142342,0.041226044682607
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0.028721769134778,0.00453716315678429,0,0,0.00504587657642028,0.00549848809790152,0.130968612288202,0,0.00271064847269146,0,0.00170417607871513,0,0,0.00372798078308272,0.0764762343952567,0.00143120509216461,0.0527226614728052,0.251839341296684,0
"Glut-DACH2-LMANsh",0,0,0.000322061949980078,0,0,0,0,0,0.088544410798915,0.00957510087477161,0.00892263167615291,0.000474049364331443,0.17905848059064,0.000558520047627073,0,0.000363104243315716,0,0.000565228706577564,0.0872828270334365,0,0.0968466408981078,0.0130373870111245,0,0.0264460838723339,0,0
"Glut-SATB2-1",0.00123065825232098,0.00687698288673957,0.026299329433327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203013377412351,0,0.00159398645816127,0,0,0,0,0,0.444508581311524,0.115864562107826
