"","Ex_DACH2_SLIT2","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_CACNA1H_MCTP2","Ex_Pre_SATB2","Ex_CACNA1H_KIT","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_CACNA1H_CPA6","Ex_TSHZ2_NR4A2","Ex_DACH2_LUZP2","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_SATB2_OVOA","Ex_DACH2_LHX2","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_DACH2_RORB","Ex_KIAA1217","Ex_BCL6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.00053215327308888,0.0226830722523395,0.83041921565208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00619535952502679,0.0282319610796918,0.556736939419533,0.000581613786222942,0.00144147641754842,0.00137432705115494,0.00244701063084341,0.000526014222127708,0.000748398846533233,0.00291336918376129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0.0346182826885066,0.741704893228615,0,0,0,0,0.00204101781850903,0,0.00258275227127765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.208071168838789,0,0.641483762187551,0,0,0,0,0,0,0,0.00108862230206958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.000991631230061333,0.771687926616643,0,0,0,0.000528584526606698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0100441026340052,0.0962501258622116,0,0.000488180231316554,0.0012943147878695,0,0,0.00324145099185933,0,0,0.0055766073037994,0.0969236362060244,0.0222626820759317,0.266774988847382,0.000299180278887081,0.00394814537544527,0.0345367526300489,0.000586733364608569,0,0,0,0,0,0,0
"Glut-DACH2-2",0,0.021799070986215,0,0,0,0,0,0,0,0,0.0579686355394796,0.0787016224225445,0.0538723273658564,0.101255852081322,0,0,0.154335347541387,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0.541935622237649,0.00451254880371595,0,0,0,0,0,0.00718060845711823,0,0,0.000488024018634903,0.000335018696758008,0.000428904999021082,0.0045472959915975,0.0864299490256829,0,0.000538721251027806,0,0.0404058660399667,0.000798031088547196,0,0,0,0,0
"Glut-DACH2-4",0.0237166438278047,0.0538999194344735,0,0,0,0,0.0166586258451607,0.306022568140764,0,0,0,0.00445334334968004,0.00956921608292868,0.0084247499363863,0.0195755408365652,0.00375533048147703,0,0.00208607574717527,0.012655595099247,0,0.00810145354488603,0,0,0,0
"Glut-DACH2-5",0,0.022349497686104,0,0,0,0,0,0,0,0,0,0.0620674465972761,0.268299360294769,0.0193395126505818,0,0,0.156638823796772,0,0,0,0,0,0,0,0
"Glut-DACH2-6",0,0.00076947868076438,0,0,0,0,0.00134347561921487,0.0296800361580604,0,0,0,0,0.00124378296494157,0,0.0647285292360133,0,0,0.00028273648012707,0.637680700120272,0,0.000757185858633062,0,0,0,0
"Glut-DACH2-7",0.00116570079549889,0.0689054043766555,0,0,0.000327211837823945,0,0,0.00605334709796118,0,0,0,0.132538983379819,0.099960729988202,0.146865098055654,0.00168454966384335,0.00281455611348004,0.0202927320232867,0.000288495745738241,0.00123416867242575,0,0.00224976962509014,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0.00495666891415672,0,0,0,0.00191618562543045,0.000932258598297072,0,0.666109492121808,0,0,0.00364325845821816,0.0424793314413818,0,0,0.000715934344929097,0.00199257233380071,0,0
"Glut-DACH2-HVCra",0,0.0042547258303437,0,0,0.000728478265483128,0,0.00207218253380041,0.000786733909719293,0,0,0.00691650518383265,0.0164185080099077,0.00105670280953296,0.0146284157627567,0.000598314721414192,0.0890911716435696,0.00773188642038058,0.00246398200014182,0.00189659015110481,0,0.185491635461426,0,0,0.00515669554249279,0.0190871113266671
"Glut-DACH2-HVCra-Pre",0,0.0210392972605139,0,0,0.00191778745273727,0.000357216057453501,0,0.00130994303333948,0,0,0.0952745358777286,0.130892323714726,0.00423495753070852,0.0655536683188551,0,0.00337746773443117,0.0787219832066762,0.0145319341659835,0,0,0.00613786190206841,0,0.000235391037403772,0,0
"Glut-DACH2-HVCx",0,0,0.000669351238862008,0,0.000787218874104094,0,0.0268134952260462,0.0331555024664581,0,0,0,0,0,0,0.0035722372718416,0.00158511604211159,0,0.00305333345186652,0.368216621099309,0,0.0143601959595298,0,0.00132947053076434,0.0011471917355147,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0.00254114609407505,0,0,0,0,0.000491089099235393,0,0.137591522980526,0,0,0,0.214339941863286,0,0.226866578586682,0,0,0,0
"Glut-DACH2-LMANsh",0,0.0107253269988904,0,0,0,0,0,0.0194710150646758,0,0,0,0.0411159079958841,0.0975950743573306,0.00207735706005193,0.0177556949369237,0,0.245775014627014,0,0.00105016162788892,0,0,0.00904738041061029,0,0,0
"Glut-SATB2-1",0,0,0,0,0,0,0.00111358665102768,0,0,0,0,0,0,0,0,0.0144165184845549,0,0.222480294469285,0,0,0.403503195237649,0,0,0,0.114965713917736
