"","Ex_TSHZ2_NR4A2","Ex_KIAA1217_BCL6","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_MGAT4C","Ex_CACNA1H_KIT","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_CACNA1H_MCTP2","Ex_DACH2_SLIT2","Ex_KIAA1217","Ex_DACH2_LHX2","Ex_DACH2_RORB","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_DACH2_CEMIP","Ex_SATB2_SOX6","Ex_BCL6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.000646977498242966,0.000392619000035958,0.0321715558125149,0.823365748842932,0.00112924118076814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00174242071814345,0.00239716191726948,0.0402886189695812,0.484970252044722,0.000551402964068441,0.0227970544457359,0.00344040899308076,0.0122532008605053,0.000613569981091815,0.0284015160787581,0.00142689541005603,0.00382854150230689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00277567478075856,0,0.0545418798027139,0.71471936666732,0.00219769817752791,0.00103360269372881,0,0,0.00198411660856686,0.00078310718360099,0.00055927297836785,0,0.00232614322733453,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0.655501516458491,0,0,0,0,0,0,0.0015762417879859,0.187704193506154,0,0.00105192244336785,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.000746203172395178,0.0010866964107402,0.702503985483939,0.000346542769058527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.0979824843534703,0,0.261591347731841,0,0,0,0.00438412427254643,0.00138914344640318,0.0026223618968589,0.0113877255469979,0,0.0388083652534373,0.000369565053433175,0.0148172087347079,0.0211408087381389,0.00642107925211949,0.000872586936746533,0.100174852777303,0,0,0,0,0,0
"Glut-DACH2-2",0,0,0.0251338043096886,0,0.0991483999301075,0,0,0,0.000827867814213377,0,0,0,0,0.204113880864884,0,0.058073763891085,0.0530986319941855,0,0,0.0598992941643527,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0.00698676826867466,0,0.00292200997811066,0,0,0,0.00540317764256681,0,0.000680797919884942,0.539629276315599,0,0.000947654151208326,0,0.000478746008876752,0.0004091832574391,0,0,0,0.101640004489654,0.00100317373874723,0.042826996987521,0,0,0
"Glut-DACH2-4",0,0.020532492362435,0.0506482411805276,0,0.009806412880421,0,0,0,0.279016164112011,0.00102480746640461,0,0.0309451666901814,0,0,0,0.00106370829777504,0.00461514111990358,0.00853541895431512,0.00186231451295661,0.00219060302225467,0.0488995983449305,0,0.0119993169877597,0.00400225617264903,0,0
"Glut-DACH2-5",0,0,0.018101188827326,0,0.0356037891525225,0,0,0,0,0,0,0,0.000544925103586169,0.194061796293555,0,0.00041547246932613,0.257808447709489,0.000585593054125436,0,0.0521167128138427,0,0,0,0,0,0
"Glut-DACH2-6",0,0.0018499580176329,0.000706932825746742,0,0,0,0,0.000521394188263947,0.0212587234546217,0,0,0,0,0,0,0,0.00169088497593813,0,0.000389975362016003,0.000471985388504995,0.104012434680724,0,0.632039944577115,0.00031925437204119,0,0
"Glut-DACH2-7",0,0.000385923252841939,0.0704968579233515,0,0.118458000521194,0,0,0,0.00620645470739439,0,0,0.00101952193560049,0,0.0130439287605295,0,0,0.092990790794985,0.00440681577535967,0.00043990351908285,0.191312679374984,0.00436010224538546,0,0.000712968251241997,0.00214306557181854,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0,0.00543659834887755,0,0,0,0.00247654234317551,0,0.00256485317004379,0,0.00204293942875868,0,0.00638911893214551,0.00251451504506461,0.63932150664284,0,0.060785061616794,0,0,0
"Glut-DACH2-HVCra",0,0.00725310707986927,0.00298898070863075,0.00043516333312498,0.0146042840772915,0,0,0,0.000373489353530048,0.000593077201754591,0,0,0,0.00557981637969261,0,0.00787552982267375,0.00034998883485453,0.158647086449685,0.00193307754537586,0.0197306226912541,0,0,0,0.0816364125281464,0.0788693090452437,0.0119817598793628
"Glut-DACH2-HVCra-Int",0,0.00034278252865008,0.0203053508633755,0,0.0869599149575858,0.000345983994794694,0,0,0.00192468614488086,0.00165881697682711,0,0,0.000517573686449028,0.0899067105528478,0,0.104458572447112,0.00252132227777085,0.00431310800311539,0.0178523927459063,0.11630798427767,0.000257546183022502,0,0,0.00269606075749839,0.00244818268209192,0
