"","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_DACH2_LUZP2","Ex_DACH2_CEMIP","Ex_DACH2_ZMAT4","Ex_SATB2_OVOA","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_Pre_SATB2","Ex_CACNA1H_KIT"
"Glut-CACNA1H-1",0.00367066014558514,0.770959372489219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00637280958387309,0.666606619217022,0.000664081444075834,0.00102297420484696,0.000223914860738378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0.719485694784118,0.000673557711400503,0,0,0.000472709142411113,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.625016266759235,0,0.0485774276772802,0,0,0.000709215630636854,0.00114908303493294,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.799043157698512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0778260010699564,0,0.00351920055036916,0.00383797281004102,0.034325126617059,0.1196848057315,0.0967311284529906,0.0365791635015031,0.000217947251565635,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-2",0.0161776756529384,0,0,0,0.0689583690375431,0.0723759248190282,0.0258350821914599,0.165498867295548,0,0.000614676436037179,0,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0.0116610943781623,0,0.003906278570537,0.419417696580469,0.0025695394914033,0.00123084712205961,0.00130068077516533,0,0,0,0.00523206742627845,0.114665713490344,0,0,0,0,0,0,0
"Glut-DACH2-4",0.0309428132111971,0.00295985699092608,0.182341648711481,0.0071272732759636,0.00771040929286378,0.00692092402425008,0.00552804753342743,0,0.00568058014824858,0,0.0402088070196396,0.0128906894607233,0.00197841450825139,0.00696313232817571,0.00110444197573189,0,0,0,0
"Glut-DACH2-5",0.0111233938262002,0,0,0,0.199780519072818,0.0242052832590471,0.00143720077460196,0.177862919634631,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0.00567501276102793,0,0.000537837475647293,0.000697672065682136,0,0,0,0,0.377758246253897,0.0984447920974918,0,0.000586829913521344,0,0,0,0,0
"Glut-DACH2-7",0.0321435256978393,0,0.00136050061201728,0.000292735243537832,0.118886679174246,0.160505693066337,0.00922921231005562,0.0389017721424695,0.00109109244125336,0,0.007489049241192,0.00341765794482008,0,0,0,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0.000511266637741303,0,0,0.0122629639527772,0.540261914056332,0,0.00207037867822934,0,0,0,0,0
"Glut-DACH2-HVCra",0.00236715066654052,0,0.0014134786654612,0,0.00271578814556013,0.0293449352806261,0.0346737714243869,0.0100576498210069,0.199897527956952,0,0.00807882845898179,0,0.00654080755605375,0.000448785973459307,0,0.000385566712316782,0.00045928825878934,0,0
"Glut-DACH2-HVCra-Pre",0.00899202965458318,0,0.00314976684022305,0,0.00948624725082894,0.0840555828542274,0.0912740975071612,0.131196224163464,0.00149906024095983,0,0.000728423811151197,0,0,0.00024983618217369,0,0,0,0.000386187228249652,0.000285285254513788
"Glut-DACH2-HVCx",0,0.0617547508605605,0.0197168301929162,0,0,0.000512020011162778,0,0,0.0327008642925289,0,0.149332259698475,0.00109631277382475,0.000569501523717546,0.0212205395563909,0,0,0,0,0
"Glut-DACH2-LMANco",0,0.00115691552814862,0,0,0,0,0,0.000736094656775029,0.123477895755037,0,0.0271852943803481,0.245168721703003,0,0,0,0,0,0,0
"Glut-DACH2-LMANsh",0.00149815265423821,0,0,0,0.0724613074461404,0.012922347011704,0,0.298098556572064,0,0,0.00104883965241943,0.0125810913872937,0,0,0,0,0,0,0
"Glut-SATB2-1",0,0,0,0,0,0.00352544613272514,0,0,0.247318007034361,0,0,0,0.00596483016191513,0.175546072735737,0,0,0.0775194180940364,0,0
