"","Ex_CACNA1H_LHX9","Ex_DACH2_LHX2","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_KIAA1217_BCL6","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_DACH2_SLIT2","Ex_DACH2_MGAT4C","Ex_CACNA1H_PROX1","Ex_SATB2_OVOA","Ex_CACNA1H_KIT","Ex_CACNA1H_CPA6","Ex_CACNA1H_MCTP2","Ex_BCL6","Ex_KIAA1217","Ex_DACH2_LUZP2","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_RORB","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.812056022286837,0.000329828183926013,0.000479548143528092,0.000316248833947421,0.00173904932089203,0.0336626999747084,0.00137253602615798,0.000342939854158193,0.000434213925693764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.435757685060278,0,0.000628004406745953,0.0450908659918039,0.00248583218776836,0.0464141150999626,0.00425474145493372,0.00301938079696486,0,0.0181106891560292,0.000394154980715679,0.0341618919474323,0.0012586975961265,0.00434954999139791,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.71060252139196,0.00281156682422194,0.00270707961003195,0.00189149239776831,0,0.0609554140311658,0.00211869835790938,0,0.000815009786049717,0,0,0.00123050049093985,0,0.00103954488819784,0.000583945777891436,0.00311794020394482,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.654481311852874,0,0,0,0,0.00159127169440036,0,0.172866957132743,0,0,0,0.00247486286055408,0,0.0018933174505715,0,0,0.00131444203837849,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.653811089154182,0.000384569937279089,0,0,0.000907418938298863,0.00131006751013128,0.00885879429517684,0,0,0,0,0,0,0,0,0.00102159533878878,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0485921559789881,0.00401786770614201,0.00159696633013601,0.000507234425401607,0.0972219804782972,0,0.0130943279952182,0.235160952769942,0,0.00897876584340882,0,0,0.00188354993762723,0.00037621186222279,0,0.0216041892812077,0.00143175046800909,0.105449655430885,0.000404178812245594,0.0218274209923478,0,0,0,0,0
"Glut-DACH2-2",0,0.21908453756251,0.00214021051233703,0,0,0.0286028999426998,0,0,0.0885695915802055,0,0.000301447121361534,0,0,0,0,0,0.0592452272046136,0,0.0714435545442801,0,0.0531078758840868,0,0,0,0,0
"Glut-DACH2-3",0,0.000409001591768586,0.0131896950773723,0,0,0.0109268691765432,0,0.538129842745397,0.00258789626657962,0,0,0,0,0.00164975991523476,0,0,0,0,0,0,0,0.0476559761343502,0.099077644588622,0.00165755910319209,0,0
"Glut-DACH2-4",0,0,0.305074069143954,0.00135783414074523,0.025462207682828,0.0462305281056631,0,0.0284500565837933,0.0167359583744896,0,0.0117485663509419,0,0,0,0,0,0,0.00459763280499152,0.00326899263966623,0,0.00415022341503604,0.014058241063546,0.0416367562669491,0,0.00439842070432898,0
"Glut-DACH2-5",0,0.218860627987877,0.000911533152025704,0,0,0.0245379187713337,0,0,0.0273900208036984,0,0,0,0,0,0,0.000748264877627794,0.000851627936100887,0,0.0615253278656836,0,0.251184994042188,0,0,0,0,0
