"","Ex_CACNA1H_KIT","Ex_TSHZ2_NR4A2","Ex_DACH2_ITGA9","Ex_CACNA1H_LHX9","Ex_DACH2_MGAT4C","Ex_KIAA1217","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_BCL6","Ex_SATB2_FOXP2","Ex_CACNA1H_PROX1","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_SATB2_OVOA","Ex_DACH2_SLIT2","Ex_Pre_SATB2","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_GRIK4","Ex_DACH2_RORB","Ex_DACH2_TAC1","Ex_SATB2_SOX6"
"Glut-CACNA1H-1",0.000503048585150313,0.0064988933618012,0.000450141805262334,0.755544071856619,0.00290647655581554,0.00160982913123822,0.0316777308284808,0.00762357250331988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0530620443502513,0.00945933629971113,0.000784545020193863,0.354567835945262,0.00162929781248824,0.000380914357266592,0.0365103680243542,0.00363987903989485,0.00170642652829301,0.0018188425684144,0.0248157245280734,0.0140404569380083,0.0019112811510657,0.000357066307422428,0.000315734677354424,0.00870257894976412,0.00121303149707315,0.0539624829767997,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00112576350164539,0.00664686781595024,0,0.622710510942288,0.0180006167319102,0.00330883113274723,0.0597398191571164,0.00192933255379524,0,0,0.000570116299761307,0.0011530035761316,0,0.000556490109231264,0,0.000532415667968845,0.000906089395946072,0.00384938464096981,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.0094875546562086,0,0,0.630784028906012,0,0,0.00397384289780584,0,0,0,0.00422382202797381,0.0017559204424148,0,0,0,0,0.130660496027254,0.00075468836025732,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.00134655463185681,0.0491337615758198,0.0002509825453912,0.458687013377994,0.00050610483201411,0.0484653679649819,0.000320007074552143,0.00674049695524255,0,0.000276631770474058,0,0,0.00106644847169847,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.00535154884663329,0,0.212392665490224,0,0.0916194837859071,0.000484338494642429,0.000473795365499555,0.00216238278436293,0.000615150668972522,0.00144300963778131,0,0.0540933306665893,0,0.0167310624508353,0.0163962793521528,0.00181484511978071,0.0217084311647225,0.0218981528997775,0.000316725573820247,0.00044444542180298,0.116267768532522,0,0,0
"Glut-DACH2-2",0,0,0.00264716046998838,0,0.0936123295770772,0.00445933215495884,0.0312700659829302,0,0,0.00126071456647294,0,0,0,0.21191226088396,0,0.00168762230017079,0,0,0.0603177821177965,0.0538145786629239,0,0,0.0859830960675822,0,0,0
"Glut-DACH2-3",0,0,0.0277492745985575,0,0,0,0.0122827714404515,0,0.00158237316766569,0.000791158963395785,0,0.00220237622603552,0,0.00191806779019775,0.0521771312467157,0.000666980881183397,0.528975871768444,0,0.00054682287739506,0.000693515964632015,0,0.0788226555695677,0.000444341478307872,0.00086287728199559,0.00206244076879853,0
"Glut-DACH2-4",0,0,0.24809841504984,0,0.0106048068798987,0,0.0466080594475564,0.0288616848994977,0.00176572350250092,0.0117598276453731,0,0,0,0.00108677927173837,0.0140657432975252,0.0123990430979289,0.0501120132440375,0,0,0.00165392827656796,0,0.0710364013537576,0.00300259932807865,0,0.00103663960185586,0.00452292391619541
"Glut-DACH2-5",0,0,0.00278195735794252,0,0.0344830703104764,0.000916788326518144,0.027076069108096,0,0,0,0,0,0.000368075047860116,0.235187258334227,0,0.000754732855029582,0.000392612527498931,0,0.000512850496740585,0.240090834827291,0,0,0.0654517126528723,0,0,0
"Glut-DACH2-6",0,0,0.022153685147755,0,0,0,0.00164844476376167,0.0034265628924325,0,0.00201171776246425,0.000804223346282132,0,0,0,0.645012925963717,0.00079848763511449,0.0002709779217421,0,0,0.00363785313362761,0,0.115622967963797,0,0.000463303965297118,0.000429023606661699,0.000985357217117855
"Glut-DACH2-7",0,0,0.014019819417255,0,0.126507049936746,0,0.0826647720516252,0.000785121716002528,0,0.002129386656649,0,0,0,0.00928097817064171,0.00114202693516177,0.0173965557004319,0.00170263741288862,0,0.00102025280938679,0.0960576006595417,0,0.00597853637594244,0.187690439314235,0,0.000451791276641601,0.00208596552349247
