"","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-1","Glut-DACH2-8","Glut-CACNA1H-RA","Glut-SATB2-1","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-7","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00127946083271959,0.00160954480334545,0.0568811403699504,0.00899092025026289,0.00255337335836272,0.00089365310429248,0.00459998271288415,0.219065157001354,0.0652343062670956,0.0210070502810887,0.00408603115906207,0.00342033507902588,0.00159314031159169,0.0554776323014851,0.001105080184052,0.190044973276598,0,0,0
"Ex_CACNA1H_CPA6",0.00187155061437216,0,0,0,0,0.0107833472859157,0.00136511774152518,0,0.8295643625713,0.00370788057143161,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0119097948379558,0,0.00200444233520424,0,0,0,0.00111088173656214,0,0.640266334423493,0.129002749145986,0.00398212035593759,0.00807858644792959,0.000851512772914776,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0686005417700586,0,0.00128072156586293,0.00298793666488028,0,0.0027533258928043,0,0.00211885368220177,0.189650832790067,0.49574463846682,0.00192694237002132,0.00892900990101989,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00301166780824655,0.000710627516687432,0.0131570403129564,0.0210506845895681,0.00741294807053825,0,0,0.0278044460341925,0.224583232514102,0.112272767818121,0.0657988548391192,0.00857124425031804,0.00130913585424247,0,0.00462743531948172,0.00157764672887307,0.00397803036860171,0.0035255831490233,0.0515545140541272
"Ex_CACNA1H_PROX1",0.000828278629418595,0,0,0.00954310469843131,0.000533626728136658,0,0,0.00886465457786569,0.567054636789584,0.0642643080021439,0.0370574492103031,0.0042724374235196,0,0.00284776919805988,0,0,0.00323000735383229,0.0103240011266447,0.00696030482874729
"Ex_DACH2_ADAMTS5",0.00040562548456307,0,0.00155632219603153,0.0181807448895131,0.0103954146406943,0,0,0.00265389518540395,0.00129094062348661,0,0.0681445320865716,0,0.00115808618437044,0.0152637223692829,0.209310083382518,0.000391906021882377,0.269330814420676,0.00220504185594231,0.00600019198391578
"Ex_DACH2_CEMIP",0.00246521439468533,0,0.00699144509654878,0.00128393664191255,0.040689791063209,0.00043953233494527,0,0.113884940209792,0.000675610945292021,0,0.0010604875603413,0,0.00782898963344418,0.60865813418716,0.00386416634627956,0,0,0.00379060452868146,0
"Ex_DACH2_GRIK4",0.000397317480575083,0.00121668049637361,0.000650957642825682,0.247504173468908,0,0,0.00184308844762273,0,0.00255431842532268,0.0128098069567116,0.0997687699641773,0.00849140373179551,0,0,0.195403150097986,0.00364026043606897,0.0252691911355859,0,0.0103260897638833
"Ex_DACH2_ITGA9",0.0227331898830465,0,0.0083824896223095,0.0450013013304448,0.169467814229428,0,0,0.107777478853418,0.00288420882330142,0.0016809854422195,0.0304534136146217,0.00772127756352021,0.082598811179105,0.021731699252751,0.05636293355919,0.000691176339914237,0.00149320475137099,0,0.0302340592169902
