"","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-2","Glut-SATB2-1","Glut-DACH2-3","Glut-DACH2-HVCra-Int","Glut-DACH2-4","Glut-DACH2-6","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-8","Glut-CACNA1H-3"
"Ex_BCL6",0.0353466350743271,0.0924212461482976,0.00866075638225761,0.00725057298375426,0.0179626076782459,0.00140267469122116,0.000406643962080374,0.00499583064296143,0.0126471722169094,0.221403010957798,0.000445366476675539,0.0066198254640806,0.135923140994669,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0278291710244026,0,0,0.720720595964981,0,0,0,0,0.00139357733298254,0,0,0,0.00125325785614985,0.0271694051366385,0.00189189933935286,0,0,0,0
"Ex_CACNA1H_KIT",0.0721038627107799,0,0.000980345695604508,0.60938062906811,0,0,0,0.0049431345301989,0.00118865267303843,0,0,0,0,0.00403149105431427,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.509443179731463,0,0.00109523857157934,0.143077040049574,0.00790221900656211,0,0,0.00441997543691581,0,0.00407121913202719,0,0,0,0.0803123723218303,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0881722128047235,0,0.00720902244466198,0.135481418243747,0.0546704006406305,0.0040902108548527,0,0.0864400148512168,0.00101509584457221,0.00239760955751487,0,0.00162727401414429,0.000505702624067314,0.00224817491732751,0,0.000619710690897898,0.0432116261356845,0.00660237187374994,0
"Ex_CACNA1H_PROX1",0.104507118936261,0,0,0.446076587322985,0.0275966147888366,0,0,0.0544448616460779,0,0.00311925010716987,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0,0,0.0230151337781324,0.194909830797226,0.00129742703987436,0.0542546289713671,0,0.00200243145487759,0,0.00144804766583955,0.0109230997689304,0,0,0.247770439322367,0,0.0069155592329876,0
"Ex_DACH2_CEMIP",0,0,0.00151322552773736,0,0.00865765989506824,0.00163357674542957,0.000679674969463933,0.000506827022765036,0,0.113573591238525,0,0.00142952879111886,0.563087499358217,0,0,0,0,0.0260942145970587,0
"Ex_DACH2_GRIK4",0.00720487337889585,0,0.00168905780210723,0.00045037477546699,0.243304852214494,0.169247405017872,0.00105905829537061,0.127491523158473,0.00374838396971783,0,0.000965751939387171,0.00242475129343288,0.000520442007135636,0,0,0.0165797022328499,0.000429607063136932,0,0
"Ex_DACH2_ITGA9",0.00117753467848592,0.000611700768633494,0.00255076377158198,0.000761403484776256,0.0618555814730609,0.0697827265211661,0,0.0251188932991426,0,0.145085981915344,0,0.0425258319052491,0.02097291582633,0.00141311038543554,0,0.0010608724907886,0.0180350124508204,0.138250219982009,0
