"","Glut-CACNA1H-1","Glut-DACH2-2","Glut-DACH2-4","Glut-SATB2-1","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-8","Glut-DACH2-LMANco"
"Ex_BCL6",0.000363566739551073,0.00540909159353266,0.00649779207747266,0.00821726268305143,0.000791834640261643,0.0116427005834004,0.258865393928348,0.00941794151292689,0.0391937075317928,0.000933636346711542,0.100413070263808,0.000396895662508301,0.0312244507344602,0.118934438565674,0.000531970351930345,0,0,0,0
"Ex_CACNA1H_CPA6",0.0266043014942704,0,0,0,0,0,0,0.782702917712179,0.0236939986778976,0,0,0.00153863764023439,0,0,0,0.00250268990037913,0,0,0
"Ex_CACNA1H_KIT",0.00843008340205943,0.00531777983450277,0,0,0.000401938873683337,0.000518933179992401,0,0.634825565603094,0.0915558148026188,0,0,0.00135358008801994,0.000947486789991604,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0837005238009753,0.00475485745114324,0,0,0,0.00376590099765241,0.00449959479246022,0.145287847756614,0.548953903541049,0,0.000719509280950645,0,0.00192772069144024,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0038795069251148,0.0900840828766838,0.00250715676535952,0,0,0.0514100144679892,0.022929121895158,0.150477746309669,0.0844391473489347,0.00138235093560651,0,0,0.00792451570320499,0,0.00124408654909534,0,0.0558599130037312,0.00368213113015618,0
"Ex_CACNA1H_PROX1",0.000598074600836987,0.050053955771374,0,0,0,0.0087483304244625,0.00522224953934283,0.510323767086957,0.105193799565753,0,0.00325957622638503,0,0,0,0,0,0.0071787949720986,0,0
"Ex_DACH2_ADAMTS5",0,0.0618131613591321,0.000445983293707481,0,0,0.0235110687448011,0.000694224511181096,0,0,0.201471733207444,0.0114661972640022,0,0.000504607201425391,0,0.266001654396427,0,0,0.00760937206008036,0.000511510903219269
"Ex_DACH2_CEMIP",0,0.000739811659136841,0.00379043103193908,0,0,0.0041230403572021,0.114420635247998,0,0,0.00296408737991527,0.62368271761608,0,0.00358648847227083,0,0,0,0,0.0225027364735841,0.000698358027762731
"Ex_DACH2_GRIK4",0,0.105471804752391,0.00134641170767103,0.00446571482133736,0.00185859826794062,0.25665480844626,0,0.00167081436983399,0.00835723675089986,0.186330160415497,0,0,0.00110154594419708,0.000643023789002912,0.0231974654603179,0,0.00813971297896204,0,0.000389204849163168
"Ex_DACH2_ITGA9",0.00255785079991882,0.0256339364513244,0.0721908405830196,0.000357002692827235,0.0024962171144057,0.0550295880808254,0.120127925385311,0.00134086961778702,0.00226095134063921,0.0611740124809691,0.0182847352966737,0,0.00477198982922705,0.000625926335113711,0.00132844083501042,0,0.0291830016577097,0.159541416375621,0
