"","Glut-DACH2-4","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-3","Glut-SATB2-1","Glut-DACH2-6","Glut-DACH2-1","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-CACNA1H-2","Glut-DACH2-2","Glut-CACNA1H-3","Glut-DACH2-8","Glut-DACH2-5","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-HVCra-Pre"
"Ex_BCL6",0.00334654481298581,0.0219170905000195,0.0108866834329584,0.179968042703097,0.0106492396686475,0.103291483763706,0.0381707038263836,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0.00874714249439953,0,0.0173756769333318,0,0,0.105143945150175,0.00121672735554425,0.241181920828048,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00149847370986287,0,0.28509838512555,0,0.0175305712359305,0.00105063734715361,0.0031986803482273,0.0362209301633696,0,0.0409260503042759,0.00160857925818422,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0.309255812946846,0.00313839068672059,0.0010790574194299,0.00107470063987418,0.0147260238912223,0.0932689185712064,0,0.0292691650418988,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0108719363345862,0,0.122244479835545,0.00447211716878419,0.00619205456598948,0.00237688949174403,0.078289451966802,0.00572173051379352,0,0.00119633151309523,0.0633181351952038,0.000438563825518531,0.00311874464853919,0.00162502123192548,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.185242868396015,0.00506406276202169,0.00269813987598544,0.000594016018927405,0.0803295577133625,0,0,0.0716448557217953,0.00701229458436136,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0037910808440243,0,0,0.00214813965796902,0.000436386246058676,0.00513397638908813,0.0368307946845544,0,0,0,0.12417234344678,0,0.00640677695980444,0.0358642583993194,0.107195670203652,0,0
"Ex_DACH2_CEMIP",0.0035400373422733,0,0.000503751618435548,0.044221297919937,0,0.404704730740813,0.00850504442519493,0,0,0,0,0,0.0318643972558928,0,0.000559295507860135,0,0
"Ex_DACH2_GRIK4",0,0,0.0047543980717672,0,0.00471881192332812,0.000615917147334129,0.244538580729081,0,0,0,0.105867061507606,0,0,0,0.0663204823706999,0,0
"Ex_DACH2_ITGA9",0.0527835027676455,0.000350954589456791,0.000388465162539328,0.0867994482629623,0.00230522537707329,0.0159384929463363,0.0899507561491703,0.000219468955520674,0,0,0.0134153070919487,0,0.0728196306990879,0,0.0207714197331465,0,0
"Ex_DACH2_LHX2",0.00070595638829153,0,0.000782613150602138,0.00125286324085667,0.00109386156432066,0,0.266466638047837,0,0,0,0.156853779708476,0,0,0.000412816070082103,0,0,0
"Ex_DACH2_LUZP2",0,0,0.0220421858758761,0.00399644743530584,0.00253512282081388,0.00029375534500443,0.414455822010712,0,0,0,0.00475500634349378,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.00187454937622602,0.000677723628184663,0,0.00080854720232713,0,0,0.259517963641774,0,0,0,0.0955658789083676,0,0,0.00178096278525134,0.0351227094896344,0,0
"Ex_DACH2_NR4A3",0,0,0.00109960164623557,0,0.000345059957941899,0.000405784783360863,0.450482293237576,0,0,0,0.0170818457567579,0,0.000388220379231254,0.00465272038545441,0.0457654757021149,0,0
"Ex_DACH2_RORB",0.00260538415400816,0.000807348503346537,0,0.474294693215978,0.0181573165178516,0,0.000918532732563444,0,0,0,0.00294752600001752,0,0.00405439928479985,0.000405181997644702,0,0,0
"Ex_DACH2_SLIT2",0.00841918679820147,0.000476209847685515,0.0362463307983338,0.371070123249947,0,0.0105304341478412,0.0990142134936746,0,0,0,0,0,0.000365547941285773,0,0,0,0
"Ex_DACH2_TAC1",0.000353472631434163,0.000310373133594613,0,0.278652051784355,0.00673661268013295,0.0105223136763615,0.00456561420539642,0,0,0,0.000566474152867667,0,0.120924138285601,0,0.000355696376137712,0,0
"Ex_DACH2_ZMAT4",0.00611578579036917,0,0,0.183442819032238,0.000618341036624764,0.0181739464873235,0.00404124860105939,0,0,0,0.0011078466128954,0,0.220128607136301,0,0.00327262147035226,0,0
"Ex_KIAA1217",0.000652715090955342,0.0101527860912322,0.00412572096476906,0.000501599792934514,0.437651409843178,0.00113751750050587,0,0,0,0,0,0,0,0,0,0.000324164016033568,0
"Ex_KIAA1217_BCL6",0.00075390853894668,0.0483454919395643,0.00867510215557252,0,0.243920247947947,0.00788134120351268,0.0214786608137174,0.00415693406558807,0,0,0,0,0.00604876174836355,0,0,0.00125038970542544,0
"Ex_Pre_SATB2",0.00287044329622501,0,0.00625342610934666,0,0.380186622558661,0.00340172182231557,0.044850438534491,0,0,0,0.00705674341841115,0,0,0,0,0,0
"Ex_SATB2_FOXP2",0,0,0,0,0.808955629088806,0,0.000610202883252464,0,0,0,0,0,0,0,0,0,0.000501052425478803
"Ex_SATB2_OVOA",0.000862130975963475,0.00181942220806395,0,0,0.154690883297194,0,0.151317306776413,0,0,0,0.0289576301886418,0,0,0.00114848901465462,0.0480358308501888,0,0
"Ex_SATB2_SOX6",0,0.0016092963395244,0,0,0.848039538795646,0.000257269123620407,0.00482621403923502,0,0,0,0,0,0,0,0,0.000506153283215968,0
"Ex_SATB2_ZNF385B",0,0,0,0,0.876492707777206,0,0.00279364608271392,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00393822591276452,0,0.0107502786192969,0.00237315313102001,0.0294189031400791,0,0.004077409905939,0.279407858755532,0,0.00415231432676586,0.00600487763350472,0.00401133230291413,0,0,0,0,0
