"","Ex_BCL6","Ex_DACH2_SLIT2","Ex_CACNA1H_KIT","Ex_KIAA1217","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_CACNA1H_CPA6","Ex_SATB2_SOX6","Ex_SATB2_OVOA","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_CACNA1H_PROX1","Ex_DACH2_CEMIP","Ex_CACNA1H_MCTP2","Ex_DACH2_LHX2","Ex_SATB2_FOXP2","Ex_DACH2_LUZP2","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.000536390737427907,0.000386152204516853,0.00121796948344264,0.00124605571990807,0.0420639617438339,0.688369009287951,0.0268473031332082,0.000563319029652611,0.000360059274702527,0.00651656759100816,0.00155683991581587,0.0043468878027797,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00530285644212251,0.00234448493908622,0.0870431186643006,0.00157883115514273,0.0453433745772462,0.277104729301734,0.0182243138779522,0.00397774915533053,0,0.0641422114591988,0.00067494916195301,0.0038333033369366,0.0226332473107131,0.000442945937403423,0.0182224362989753,0.00221232539858414,0.00267935144715908,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.000934219881928321,0.000683265422105968,0.00152714043777062,0.00460037130903217,0.0827509558179378,0.550075535106481,0.0154096490186428,0,0,0.0786837224776982,0.00199808678992991,0.00209506764135153,0.0006123712197078,0,0.00099130330341679,0,0.0029737996699525,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.0893687173096949,0.0183894681976143,0,0.00858520268637214,0.604308186235527,0,0,0,0.00231703850658745,0.00138609312245333,0,0.00450541692484256,0,0,0,0,0.00419815941005391,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.000781032100932887,0,0.0181242939819405,0.102576578525407,0,0.278364392717698,0.117166947408013,0.00100743357620691,0,0.00209396814326538,0,0.00417180088138211,0,0.000269942687743173,0,0,0.000903423224441837,0.00073433852372982,0.00203351388020387,0,0,0,0,0,0
"Glut-DACH2-1",0.000714904850351539,0.013025072887785,0,0,0.0901986614088974,0,0,0,0.000725479334281066,0.0236446671589778,0.00366593140291521,0,0.000509924241708067,0,0.00197841357146607,0.0472780929974728,0.00180795399160814,0.0292288032323128,0,0.00105969153458149,0.10403542343811,0.0206787145526321,0.252159932380606,0,0
"Glut-DACH2-2",0,0,0,0.00843767627194333,0.0281903636098309,0,0,0,0,0.00160433275110624,0.00269915672367564,0,0,0,0,0.217158760184663,0.000462199666063222,0.0630021706440607,0,0,0.0936466392906134,0.0500273720551227,0.100657164561451,0,0
"Glut-DACH2-3",0,0.53420574813313,0,0.000804382187624486,0.0140329527208564,0,0,0,0,0.000537587215367835,0.0252585245921394,0,0,0.0454796024498626,0.00111777830751935,0.00122081982281707,0.00100634271008397,0,0,0.0785880315437429,0,0.0017113436231705,0.00102590698237547,0.00343511065243516,0.000904450219835773
"Glut-DACH2-4",0.0013440673018776,0.0386014622110036,0,0,0.0505662616016586,0,0,0,0.0208925477446582,0.0249922884040216,0.226464959046322,0.0153946374791687,0,0.00405892072765128,0.00144752795408058,0,0.00540197207167161,0,0,0.0767932330110862,0,0.00103291365519524,0.0132947116871563,0,0
"Glut-DACH2-5",0,0.000460163128758145,0,0.00144045639008823,0.0237250021991814,0,0,0.000319585305630698,0,0.000583088510387818,0.00152127246066231,0,0,0,0,0.256012911639297,0,0,0,0,0.0579555761185501,0.241113212623304,0.0433195603549142,0,0
