"","Ex_CACNA1H_KIT","Ex_KIAA1217_BCL6","Ex_CACNA1H_LHX9","Ex_KIAA1217","Ex_TSHZ2_NR4A2","Ex_DACH2_ITGA9","Ex_DACH2_NR4A3","Ex_SATB2_OVOA","Ex_BCL6","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_SATB2_FOXP2","Ex_DACH2_LHX2","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_RORB","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.000460004899090494,0.00171701601096204,0.750800031053496,0.00155292068150813,0.0150358071820631,0.000726923380819093,0.040600685834922,0.00739696187007275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0788393192424824,0.00252387814840594,0.355264000300946,0.000468484177929325,0.00868499365114477,0.000458115350145009,0.0455273189000365,0.0506478335250195,0.00263832485723355,0.0153650412441589,0.00158673584088391,0.00700039134031913,0.000737606678644155,0.00197947471137136,0.00133170884885849,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00120863692777232,0.00230861779161866,0.604450889484097,0.00391439471324247,0.0126926701244418,0.000731375134560412,0.0782846106990335,0.0633078319296679,0,0,0,0.000851238739455375,0,0.00181612953652446,0,0.000883298560521763,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00652511629664026,0,0.637949511905247,0,0,0,0.00402318694224082,0.00228618852762935,0,0.00167653980876689,0.139793645158959,0.00168001035932398,0,0,0,0.00106478338680998,0.00114704779403221,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.000841484776377273,0.339761028006199,0.0888984437965459,0.113524044780536,0,0,0.00275654974119931,0,0,0,0,0.000430940011858148,0,0,0,0.000961302919685399,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.000500233207890424,0,0,0,0.00462932714500941,0.094893502621747,0.0175732512099287,0.000458532939815069,0,0.013739526796565,0.00144501752484907,0,0.001040901075139,0.045670153314828,0.0996613901125092,0.015482469735352,0.292357218851317,0.000947728403775597,0.000257242015105082,0.0193548718573665,0,0,0,0
"Glut-DACH2-2",0,0,0,0.00670867143917553,0,0.00113588748441774,0.0274128474404179,0.00093487744611076,0,0,0,0,0,0,0.230533403424946,0.0822864220698084,0.0580939898220772,0.0918494369802845,0,0,0.0515059122647439,0,0,0,0
"Glut-DACH2-3",0,0,0,0.000821461923073553,0,0.0211930191631774,0.0134008156123353,0.000372830385537269,0,0,0.556488358655082,0.000386581067082907,0,0,0,0,0,0.00249040299024497,0.000757478257148107,0.0838743529701166,0.00201616664975566,0.0438808056517648,0.00181240477303183,0,0
"Glut-DACH2-4",0,0.0163327244440708,0,0,0,0.251676011984629,0.0477100486280298,0.0258119724066032,0.000628314852246196,0,0.0305139647747703,0,0,0.0047938910515774,0,0.00337097255856543,0,0.0163747659209413,0,0.0666699983654019,0.000847694316371916,0.0137214725660187,0,0.0179351986981313,0
"Glut-DACH2-5",0,0,0,0.00101926356543721,0,0.00206937080213152,0.0208005130777056,0.000379842453754143,0,0,0,0,0,0,0.266941616787843,0.054719386738284,0.000480136918751248,0.0383255837111278,0,0,0.242538299614482,0,0,0,0
"Glut-DACH2-6",0,0.00277820036958411,0,0,0,0.0403586668250469,0.00136751581909137,0,0,0.000836090331324306,0.000314897854594795,0,0,0.0015042977472633,0,0,0,0,0,0.108668942100963,0.00194903509553934,0.622939880884374,0.000508202114622491,0.00071882114244371,0
"Glut-DACH2-7",0,0.000464761953509162,0,0,0,0.0116260156710695,0.086757130261562,0.0175908100876131,0,0,0.000518596746456545,0,0,0.000473706864697685,0.0102523771059327,0.161170528670172,0.000428175976160215,0.140933929250031,0,0.00880109481667234,0.0831824220432879,0,0.000230516744957701,0.00168939365118064,0
"Glut-DACH2-8",0,0,0,0.00275687634934811,0,0.0283388500614421,0,0,0,0.00114761958395014,0.00122316136702208,0,0,0.0211632331082447,0.000865107388867682,0.00378836642481668,0,0,0.00287626895905098,0.533228621793021,0.00609933770496353,0.0820227177322186,0,0,0
"Glut-DACH2-HVCra",0,0.00870838637926629,0.000849725259873753,0.00134017683295215,0,0.000394885623047755,0.00346064920386729,0.0677431696624116,0.0627607970820329,0.000349904704977126,0,0,0,0.00599915723242021,0.000458138526311542,0.0373602423476875,0.00257951568441886,0.0443164012671358,0,0,0,0,0,0.111267630729793,0.105248718996444
"Glut-DACH2-HVCra-Pre",0.000379328840025616,0.003369474382066,0,0.0143985422551742,0,0.00778825384769371,0.0179291464416081,0.00368894849541403,0.00227254718132092,0,0,0,0,0.0244097024164598,0.050030476220544,0.148808732537379,0.0585067329539366,0.173395340165588,0,0.000355872656785855,0.00360837626504339,0,0,0.00304922661012051,0.000482489374340052
"Glut-DACH2-HVCx",0.000937394963772422,0.0694395528031868,0,0.0865312768088995,0,0.0181505989406792,0,0.00480182992915113,0.0433943040229935,0,0,0.00386459513885342,0,0.0135700519586526,0,0,0,0,0,0,0,0.208437924743433,0,0.00544559892360023,0.0104870068468881
"Glut-DACH2-LMANco",0,0,0,0.0432086722236362,0,0.0105565322719831,0,0,0.0161154235158452,0.000434758532530995,0,0,0,0.000714087316879815,0.000299620788214857,0,0,0,0.00763621323642848,0.110294996332548,0.00284953635111064,0.262003135713822,0,0.066453337414489,0.000559976935542386
"Glut-DACH2-LMANsh",0,0,0,0,0,0.0743714724652149,0.00861888986573807,0.000490953699376422,0,0,0,0,0,0,0.222070150021165,0.07173132165458,0,0.00944784409578426,0.0411341038635994,0.01724900511752,0.0802710405196452,0,0,0,0
"Glut-SATB2-1",0,0.00145278790317372,0,0,0,0,0,0.0260698035819992,0,0,0,0,0,0.241155124461933,0,0,0,0,0,0,0,0,0,0.422389299010479,0.114723017339606
