"","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_CACNA1H_KIT","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_ZMAT4","Ex_SATB2_FOXP2","Ex_DACH2_LUZP2","Ex_DACH2_GRIK4","Ex_SATB2_SOX6","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_SATB2_OVOA","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_KIAA1217","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.000261747811289076,0.0152224685210571,0.765682406549184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00613973408215772,0.0228240545075383,0.523457792863013,0.000569033069114465,0.000352839979809221,0.000568047731046904,0.00363850590036504,0.000267598868153539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.000509255999989941,0.0209168176075114,0.666481671632905,0,0,0.00116854829443358,0,0,0.00065102318035772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.631332041653071,0,0,0,0.154234398141344,0,0,0.00109744197539697,0.00141300768958886,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.000484602759001034,0.745486732477389,0,0,0,0,0,0,0,0,0.000216253505974886,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0871402760746929,0,0,0,0.00322438554455691,0.00385128846047539,0.00034757849921781,0,0.00312606482454238,0.0830101612363727,0,0.0287439716357659,0.0161372154056875,0.00054882015702161,0.000482915412637362,0.300192673543455,0,0,0,0,0,0
"Glut-DACH2-2",0,0.0178044008923718,0,0,0,0,0,0,0,0.0332743250027719,0.110504797599509,0,0.072144299423777,0.0687801595314566,0.000414103321812041,0,0.0979922474060843,0,0,0,0,0,0
"Glut-DACH2-3",0,0.00927530601105795,0,0,0,0.0124983855336136,0.498215030230274,0.0810232440112526,0,0,0.000424632909800482,0,0.00157024147306095,0,0,0,0.00654707568902977,0.0289191026648292,0.000618447083094187,0,0,0,0
"Glut-DACH2-4",0,0.0569373827310274,0,0,0.00435426799291444,0.323006270322543,0.00195308077167993,0.0125311605271795,0.00382731313966749,0,0.00706074625721535,0.00524932356231922,0.00691511494407982,0,0.00421691876942486,0,0.00829971798948531,0.0234051868293989,0,0,0,0,0
"Glut-DACH2-5",0,0.0133501761303342,0,0,0,0,0,0,0,0,0.0502487641309436,0,0.247238914843575,0.15500878527623,0.00040198791051517,0,0.0258453508560486,0,0,0.000556447415369955,0,0,0
"Glut-DACH2-6",0,0.00194536174722814,0,0,0,0.0238178290223965,0,0.0297353467343164,0.000312202168384158,0,0.000405905720971021,0.000748551054259271,0.00027823945742426,0.000276664793584878,0,0,0,0.663361302565097,0,0,0,0,0
"Glut-DACH2-7",0,0.0898214727254714,0,0,0,0.00460989894766172,0.000820061399698009,0.0018879006601234,0.000381850527534171,0,0.0950783237718901,0.00083845001659858,0.0729680188547678,0.0178976682084825,0.00228337044032804,0,0.119225551710185,0.00366578654902349,0,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0.00348607541145622,0.000568753521245285,0.673028216068294,0.0013887605821283,0,0.000688376049130252,0,0,0,0,0,0,0.0361609140956842,0,0.00123630878673208,0,0,0
"Glut-DACH2-HVCra",0,0.00528273790981652,0.000252626705368016,0,0,0.0024712088365587,0,0,0.00395161285526316,0.00618532224350424,0.0260574915785192,0.095537285520219,0.00363527366725894,0,0.0231953961101233,0,0.0366449042808039,0.0108553592245834,0,0,0.0149808244421228,0.0698967500558771,0
"Glut-DACH2-HVCra-Int",0,0.0209171735727975,0,0,0,0.00344886059962211,0,0,0.00279659923364577,0.0557942540317913,0.158609326057691,0.00177987040804787,0.00508591218601395,0.00832511238372742,0.00218977191582141,0,0.113027459892708,0,0,0.000487227676086901,0,0,0
"Glut-DACH2-HVCx",0,0.000606809855746988,0.0168399992616407,0,0.000622764025878437,0.0212018775959424,0,0.000815004042497357,0.0154821377193539,0,0,0.0125489975892868,0,0,0.00585846767767384,0,0,0.325827772219752,0,0,0.000788766154073334,0.00107507516387859,0
"Glut-DACH2-LMANco",0,0,0.00160045237150137,0,0,0.000395154791281943,0,0.237964032762679,0.00194513758233202,0,0,0.00745088312888651,0,0,0,0,0,0.262174583828027,0,0.000775230156869122,0,0.000260943412677649,0
"Glut-DACH2-LMANsh",0,0.00760004475225567,0,0,0,0.00148935410938573,0,0.0255639053472787,0,0,0.133189121948888,0,0.106349910396681,0.116721858428392,0,0,0.00343236961627628,0.00100329274426799,0,0,0,0,0.000992164006742079
"Glut-SATB2-1",0,0,0,0,0,0,0,0,0.208047786409621,0,0.00170115536336393,0.408025621995224,0,0,0.0131994570872948,0,0,0,0,0,0,0.110879553172008,0
