"","Ex_SATB2_SOX6","Ex_DACH2_SLIT2","Ex_KIAA1217_BCL6","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_SATB2_OVOA","Ex_KIAA1217","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_DACH2_LHX2","Ex_CACNA1H_MCTP2","Ex_CACNA1H_PROX1","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_RORB","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_TAC1"
"Glut-CACNA1H-1",0.000371477567078078,0.000221303505042325,0.00286013477851026,0.0418445149837053,0.000738880670400419,0.0206460325270767,0.723056403388657,0.000688182335810855,0.00702642719821306,0.000824069515543398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0,0.00111760942167936,0.00321731112085593,0.0436130502618489,0.0825421889999922,0.0122777293525191,0.32161069339739,0.000249811229643514,0.0599886071588339,0.00104860672866793,0.00446776960145753,0.00347301219425576,0.0019439408277178,0.0136247945965409,0.0184378697366317,0.000240349802438096,0.00287052466402531,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0,0.00201349822455704,0.0833752341536649,0.00144206050854039,0.0122849250874147,0.575661000322682,0.000717409545552596,0.0774799741118475,0.00448285237341674,0.0010360795945438,0,0,0.000986714117543928,0,0,0.0020344201861239,0.00198490719425936,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.1123226995825,0,0.00713568104967353,0.0107807406056782,0,0.62133530587577,0,0.00240521789728783,0,0,0,0,0.00143417275776522,0.00411637613330082,0,0,0,0.00266353293644809,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.00141370977434521,0,0.00840221841601944,0.151135265373367,0.282463649739511,0,0.00226622588836868,0.0797990773998328,0.000290268738678826,0.000523803459489977,0,0,0,0,0.000505630317582375,0,0.000766670167550857,0.000610838652060766,0,0,0,0,0
"Glut-DACH2-1",0.000633008144520849,0.0125458481307658,0.000526006120168494,0.0937016818111496,0,0,0,0.00501883453753475,0.0223872024585795,0,0.0006318193365443,0,0.0443710168285131,0.00203233621607208,0.000343517044156657,0.000268895392712737,0.00101501629758603,0.103472859443886,0.021923050323011,0,0.000608541568600908,0.00041881779427972,0.269467299117494,0.0206658021019894,0
"Glut-DACH2-2",0,0,0,0.0252611964172711,0,0,0,0.00267662677768759,0.00106282283176703,0.00760209186075929,0,0,0.219733713320816,0,0,0,0,0.0936682443442918,0.0617790333873439,0,0,0,0.100342707534222,0.0514359766647751,0
"Glut-DACH2-3",0,0.550729676739383,0,0.0139268192846869,0,0,0,0.0231492236437348,0.000376250252321113,0.000764413012618513,0,0,0.000361727077676907,0.0010068926536417,0,0.0435945070259582,0.000661869349613625,0,0.000416595897561972,0,0.0813504333962881,0.000885034782838462,0.000926401441502547,0.00178869997919693,0.0023630912242801
"Glut-DACH2-4",0.018182683280483,0.0342145752382585,0.0163893454344926,0.0486809890926212,0,0,0,0.243348818057666,0.0208514774494867,0,0.00229687540716058,0,0.00101525927231355,0.00132064438364831,0,0.00634990463212745,0.00750066356691613,0.00301257427871888,0,0,0.076271624373003,0,0.0148571677832087,0.0013092447429495,0
"Glut-DACH2-5",0,0.000493332256380802,0,0.0247649555664677,0,0,0,0.00244045753001556,0,0.00107775827648666,0,0.000478446611942112,0.255502965383137,0,0,0,0,0.0554440416120705,0,0,0,0,0.0430327263447456,0.239584407579568,0
"Glut-DACH2-6",0.000408905484413459,0.000352475196299928,0.00315697076838806,0.00231092390002169,0,0,0,0.0342460532381413,0,0,0,0,0,0,0.000747616420685777,0.623540260053446,0.002806336652057,0,0,0,0.115625697873457,0,0,0.00164971354334296,0.000546814044630328
"Glut-DACH2-7",0.00182774384290005,0.00142630756342664,0.000454092156477991,0.0864149347994441,0,0,0,0.0119233968853922,0.0206365931510193,0,0.000397652544593907,0,0.0147473161452967,0,0,0.0018032569709144,0.00208436575799193,0.161928742547641,0.000494810046660785,0,0.0077816342382337,0,0.130458323288571,0.0888114409222899,0.000714199079528041
"Glut-DACH2-8",0,0.00164993796704452,0,0,0,0,0,0.038868431351341,0,0.00282272878068761,0,0,0,0,0.00188743407084213,0.0856637925278589,0.0241436937996771,0.00410515422854793,0,0,0.519123854843059,0.00289350640306406,0,0.00412021070535256,0
"Glut-DACH2-HVCra",0.0707787443933495,0,0.0115369184073134,0.00428185693019496,0,0,0.00423985648232975,0,0.0669303315997145,0.00123666837688055,0.0679682711133504,0,0.000403663251487415,0,0.000626633357010883,0.000312215826941085,0.00790641799964867,0.0405058275708741,0.00438279852948469,0.212785994025578,0,0,0.0289223929703113,0,0
"Glut-DACH2-HVCra-Int",0.00248808321068438,0.000436700383168487,0.00415272941313,0.0210741888427947,0,0,0,0.0110755101619506,0.00756886686303429,0.0146647082375944,0.00410301786661634,0,0.0514308964756825,0,0,0,0.0290060157197552,0.156551952230298,0.0604809284186694,0.00099123051870563,0.00112593611044162,0,0.169348633621336,0.00295292509500866,0
"Glut-DACH2-HVCx",0.0129164569680674,0,0.0614353058186091,0.000848004048184107,0,0,0,0.0166906166233879,0.00736079750177533,0.105754779908586,0.0482602983847372,0,0,0.00574089456225589,0,0.14270467791733,0.0123956215654004,0,0,0.0374920219813719,0.0023040261217414,0,0.000654975920612777,0,0
"Glut-DACH2-LMANco",0.0578403619770376,0,0,0,0,0,0,0.0105928263561571,0,0.0566096630329505,0.0116482173194633,0,0,0.000451593308058325,0.00150883499590493,0.251290230131187,0.00116170342258544,0.000417658233710908,0,0.00455647906346944,0.0943068747976173,0.0278750889021216,0,0.00213849935498869,0
"Glut-DACH2-LMANsh",0,0,0,0.00862304072328834,0,0,0,0.0654380050374935,0.000480973485578601,0,0.000786510446908647,0,0.232612938105988,0,0,0,0,0.0774157348941523,0,0,0.0125165233115978,0.0394561162620575,0.0116444833980781,0.0932692464232611,0
"Glut-SATB2-1",0.427739037321488,0,0.00139552631149781,0,0,0,0,0,0.0306309937909091,0,0,0,0,0,0,0,0.235085637398066,0.00142173655114813,0,0.114151436840472,0,0,0,0,0
