"","Glut-CACNA1H-1","Glut-DACH2-HVCra-Pre","Glut-DACH2-4","Glut-DACH2-1","Glut-CACNA1H-3","Glut-DACH2-6","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-3","Glut-DACH2-2","Glut-DACH2-8","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-7","Glut-SATB2-1","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_BCL6",0.000427627516922639,0.00215058536734994,0.00143547695549225,0.00959089484409331,0.00208454636823043,0.0638210675289237,0.00175570225486101,0.000750907516928332,0.194784423463275,0.00270891700588733,0.00415401610480621,0.0254764658781856,0.0895463640310618,0.000796800561821206,0.00300136207420415,0.147710663013552,0.0735300617557162,0,0
"Ex_CACNA1H_CPA6",0.0301162325261714,0,0,0,0,0,0.0111268100582817,0,0,0,0,0.00357601485077668,0,0,0,0,0.766935828228678,0,0
"Ex_CACNA1H_KIT",0.0089591084600431,0.0045692549884356,0,0.000903566202636433,0,0,0.00104535373440462,0,0,0.00217605174286279,0,0.119933236614436,0.0042997907711259,0,0.000877604309598612,0,0.666149130707838,0.00140871129340549,0
"Ex_CACNA1H_LHX9",0.0686783287358987,0.00654240729395481,0,0.00336927284336417,0,0,0.00282141745008796,0,0.00360226430616032,0.00237987435773116,0,0.510499478836785,0.00166774156058282,0,0,0,0.185771711325752,0,0
"Ex_CACNA1H_MCTP2",0.00479563193439505,0.0072657976708849,0.00214835241542468,0.0220228553571178,0,0,0,0.00762765623263081,0.016364896705898,0.0325013660160833,0.0134293821498752,0.113653864614386,0.0142943617487214,0,0,0,0.268767408707462,0.0596675103879042,0.00235901928292379
"Ex_CACNA1H_PROX1",0,0.00321633894667165,0,0.00970865141911856,0,0,0,0.00587034971665679,0.00718725956416273,0.0189006880982981,0.00370577477599642,0.0523373244207841,0,0,0,0.000974622416401374,0.584916042479221,0.00737338862731066,0.00276660573133997
"Ex_DACH2_ADAMTS5",0.00037750813206729,0,0.00115784001665467,0.0168248555954543,0,0.0139693247594751,0,0.254268336213572,0.00514582133859874,0.0716569818219868,0.0116891106155939,0,0.000521876508498441,0.215731881142578,0,0.00122978685822192,0,0.00841724120457109,0.00281033395039508
"Ex_DACH2_CEMIP",0.00243947900234239,0,0.0118680604249554,0.000546705160138427,0,0.618111600874205,0.0004935133113913,0,0.110744344706363,0.000774950951411683,0.0392358158334011,0,0.00757801448822541,0.00244200999092579,0,0,0.000687063016657351,0,0.00409741650403656
"Ex_DACH2_GRIK4",0.00135554944527605,0.00714622881897799,0,0.250719837254535,0,0,0,0.0281602790446287,0,0.122036116765514,0.000274059238749885,0.0098757440577779,0.00220671632702737,0.175890585010298,0.00355430789112468,0.00152666146566132,0.000563295187776857,0.00930736806140333,0.000318938857131515
"Ex_DACH2_ITGA9",0.0121366650344644,0.00265140123447872,0.0803701110439755,0.0507267171009661,0,0.0365026091805314,0.00131394563207865,0.000458720450566279,0.121142342655035,0.0264852368595173,0.179039216635274,0.000599388340138305,0.00897956433260018,0.0453856005307225,0.000410856748579086,0.00112065460506865,0.00399517199305679,0.0270929623874032,0.000693895718329523
