"","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-3","Glut-DACH2-4","Glut-SATB2-1","Glut-DACH2-2","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCra","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-8","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-CACNA1H-RA"
"Ex_BCL6",0.167571393732288,0.0112583083050263,0.0153887316301258,0.220874870045537,0.00460878388428366,0.00893864897163911,0.00417062143009912,0.0071926194001184,0.0312160252776209,0.000904204191999354,0.0685927909620972,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00155562260756313,0.742302155073139,0,0,0,0,0,0,0.0349031420646273,0,0,0.0130366267831527,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0.663083283191928,0.000387999004635432,0,0,0,0.00138313501486926,0.00056180847697779,0.0503397890643383,0,0,0.00470633201082968,0.000559009313831572,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.00102943524067639,0.143372429434455,0.00524768572304457,0.00686240244168392,0,0,0.00506862799173322,0.00104232110493329,0.515628193640544,0,0,0.0806278387199106,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.000572546482455909,0.141815418143626,0.0558137135916611,0.00623695344037275,0.00173289306453459,0,0.0549575150619369,0.0124315976680146,0.087381464236967,0.00171470990157522,0,0.00230567227785477,0.00712222958490089,0.0342186725142907,0.0148425775251405,0,0,0,0
"Ex_CACNA1H_PROX1",0.00127300524238083,0.457561397084619,0.0231366314397596,0.00244052463642866,0,0,0.0438413095503135,0,0.101106161824975,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.011526091194354,0,0.0214016185399732,0.000501780304972782,0.00136442072980512,0,0.0594918814070697,0,0,0.163766715769716,0.00075099605061218,0,0.209733108118277,0,0.00587958109443101,0,0,0,0
"Ex_DACH2_CEMIP",0.582614851688084,0,0.00854324576481263,0.0992883137902607,0.00336723245839368,0,0.000404493737354793,0,0,0.00100907131826558,0,0,0,0,0.0405937838668062,0,0,0,0
"Ex_DACH2_GRIK4",0.000430990333209033,0,0.270294553762922,0,0,0.00279378630538782,0.0975637950076375,0.001946955178776,0.00644181268988077,0.134340241894632,0.000381584061249762,0,0.0317242611014968,0.000340264657533654,0,0.00102791536797499,0,0,0
"Ex_DACH2_ITGA9",0.0244242438561878,0.00124874330591157,0.0681093174941135,0.135077168996581,0.0609730327603761,0.000815153374023064,0.0170391158611625,0,0.000545909325401704,0.0345992666747873,0.000475456864377358,0.00257209207353582,0.00493015057872564,0.00520684515750252,0.164963836906255,0.000545007750660568,0,0,0
