"","Glut-CACNA1H-2","Glut-DACH2-HVCra","Glut-DACH2-2","Glut-DACH2-1","Glut-SATB2-1","Glut-DACH2-8","Glut-DACH2-5","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-3","Glut-DACH2-HVCx"
"Ex_BCL6",0.0016114053153738,0.0121627085920475,0.00860886191858467,0.0305673836578357,0.0276191614376405,0.000814782478580287,0.000414897225368116,0.00573575995548433,0.00987818046043862,0.274111870548659,0.00060669324050759,0.0153250350222265,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.355248351443271,0,0,0,0.00276225648164117,0,0,0,0,0,0,0,0.0922077581625527,0.00147991081894335,0,0,0
"Ex_CACNA1H_KIT",0.220210317327015,0,0.00275773169409791,0.00373107643043545,0.0092345415163942,0,0,0.12781889885451,0.00100351193431472,0,0,0.000614718247215749,0.0358053501165708,0,0.00137076017178619,0.000387814745150222,0
"Ex_CACNA1H_LHX9",0.0538323293611345,0,0.00511977462080658,0.0284895967796223,0.000692851005709404,0,0,0.271437989174268,0,0.00143132757573515,0,0,0.109314445363427,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0425620248892161,0,0.0591190810319369,0.0931659622098047,0.00110407972665494,0.0317017214695466,0.00259870133032766,0.0601522190457719,0.00369787073519655,0.00107589123876777,0.00111503252073438,0.000515745312001245,0.00876500986744626,0,0,0.00047575107822594,0
"Ex_CACNA1H_PROX1",0.24619942834607,0,0.0285198921598208,0.0804379384887232,0,0,0,0.0543359950101242,0,0.00115171859067758,0,0.000610706137060286,0.00026314358015977,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0.100371653208847,0.0116144249498084,0.00106471437990003,0.00357625026156509,0.158819799556829,0,0.000566206361027702,0.00729502960624941,0.0946008968162833,0.00343524305945646,0,0,0,0,0
"Ex_DACH2_CEMIP",0,0,0.00183606245323621,0.0136105090501015,0,0.0300753594567064,0,0,0.00499526492486747,0.137121882325791,0.00232277239567406,0.226868464592465,0,0,0,0,0
"Ex_DACH2_GRIK4",0,0,0.1040149561338,0.256923655474894,0.00165582671267084,0,0.00183172339515949,0.00189080373672802,0,0,0.0724987231118809,0.000462335583299079,0,0,0.00043345415215011,0,0
"Ex_DACH2_ITGA9",0,0,0.0228665333602984,0.068251213512684,0.00301472126159205,0.0691848997074127,0.00220121237887842,0,0.0279136317802591,0.107552347964432,0.0528524903339776,0.00926450915004141,0.000710493937254177,0,0.000211728884235149,0,0
"Ex_DACH2_LHX2",0.000251190107326571,0,0.212726801771526,0.217790564149283,0.000245296658250969,0,0.00215211076885332,0,0.0002956074965219,0,0.00381678692820652,0.000573935252329723,0,0,0,0,0
"Ex_DACH2_LUZP2",0.000678099395826353,0,0.0695295447096641,0.379983869744825,0.00137875895960098,0,0,0.00910557445908801,0.000214708601633861,0.00334397762530646,0.000372856531251427,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.000258477025404149,0.155720680244739,0.219905962009958,0.000417819577739307,0,0.0035598413472687,0,0.000348485421810504,0.000305107889467294,0.0500466728945842,0,0,0,0.000248917339322777,0,0
"Ex_DACH2_NR4A3",0,0,0.0204276634244076,0.410673196970552,0.000938527496415753,0,0.0213370589422453,0.000497921732253242,0,0,0.0768080736357549,0.000266573817629171,0,0,0,0,0
"Ex_DACH2_RORB",0,0,0.00381751044533949,0.000756666128529159,0.0202147577295752,0.00371506287012246,0.0010803625312699,0,0.000769655525472402,0.431214831921116,0.000461468490003786,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0,0,0.00136024986094212,0.126635106347969,0,0.000895091036076221,0,0.0314809022380702,0.016349062541206,0.370249205051659,0,0.00145830449988214,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.00164284931352984,0.00344361961630408,0.007169127983296,0.0371357372138039,0,0,0.00102638997658312,0.401102230453048,0.00272067659855626,0.00124236699997556,0,0,0,0,0
"Ex_DACH2_ZMAT4",0,0,0.00060532353689834,0.00357446475105567,0.000656203323998124,0.136503957900942,0.00196427889904861,0,0.00511590787512579,0.267961143023873,0.000546088498504662,0.00921644873526076,0,0,0,0,0
"Ex_KIAA1217",0.00181490677776313,0.000250249457415856,0,0,0.552779583079459,0.000847306949947621,0,0.00407751065896953,0.00144069128337879,0.00466699489686418,0,0.00168164830324113,0.000272830115591644,0,0,0,0
"Ex_KIAA1217_BCL6",0.0103897566047736,0.00133974451102696,0.000746355860280198,0.0172225302404537,0.414315659495926,0.00889351948505462,0,0.00493759202687714,0,0.00242510917096124,0,0.00276103816867216,0.00806759292221857,0,0,0.000994845702410288,0
"Ex_SATB2_FOXP2",0,0,0.00089367996701665,0.000533660280242467,0.859001038942003,0,0,0,0.000261758440947805,0,0,0,0,0,0,0,0
"Ex_SATB2_OVOA",0,0.000436848318571939,0.0826675056434816,0.0700652854134173,0.175610553298282,0.000445221592341483,0.0095930386976197,0,0.000515280210862501,0,0.0609549646133005,0.000254867747787486,0,0,0,0,0.000348062004119229
"Ex_SATB2_SOX6",0,0,0,0.00785817161653653,0.857493909076374,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0.000768041691344425,0.920973655523061,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00764426472674067,0,0.00195902423403066,0.0137431410389663,0.030332402684644,0.00412578659798254,0,0.00479511760596829,0.00158434191054201,0,0.00441845582290404,0,0.285241684576288,0,0.00516211076968785,0.00319278671182785,0
