"","Glut-CACNA1H-1","Glut-DACH2-4","Glut-DACH2-2","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-3","Glut-SATB2-1","Glut-DACH2-6","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_BCL6",0.00110549597229671,0.00394498837816482,0.00407309028677361,0.0331814929907655,0.025489111862375,0.00115361666168217,0.00265719358442506,0.103851213379151,0.0458686506559277,0.000995055677191017,0.00793126093893037,0.24863159700284,0.00758788518778251,0.0901276341262419,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0200999571837392,0,0,0.0182014792861548,0.798106596858717,0,0,0,0,0,0,0,0,0,0.00255516658991067,0,0,0,0
"Ex_CACNA1H_KIT",0.0139135891243338,0,0.00483133072797887,0.0674544548429206,0.72173189637608,0,0,0,0.00157196028087905,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0819797379781889,0,0.00222120688374527,0.539965216043418,0.174227919185745,0,0,0,0.00200944155657128,0.000840681635469602,0.00278557111305488,0.00600971996222396,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00405246778815531,0,0.0682387601427454,0.0783458911667001,0.222157051751995,0,0.00849241623259119,0,0.00968314831947482,0,0.0371626315709344,0.00823228054219124,0,0,0,0.0355772885305946,0.0142667273309749,0,0
"Ex_CACNA1H_PROX1",0.000655749701606829,0,0.0552823279126659,0.0682685848515975,0.576936185698108,0,0.000835094355836185,0,0,0,0.00576996305680129,0.00476227795606805,0,0.00539707442068646,0,0.000749348703211086,0,0,0
"Ex_DACH2_ADAMTS5",0,0.00218149060250397,0.0520633606271705,0,0,0.211063624137912,0.0112755877599689,0.00082031887864136,0,0,0.0172844452510882,0.00256249892337372,0,0.012426936547192,0,0.00044543543822952,0.276055240733005,0.000858843722036992,0
"Ex_DACH2_CEMIP",0.000364398767365571,0.00419329746707398,0.000640347714696711,0,0.00103527965726226,0.00266354359359137,0.0351896156256509,0,0.00379613884602888,0,0.00354581279796072,0.104309237883965,0,0.638186307905433,0,0,0,0.000875731172253564,0
"Ex_DACH2_GRIK4",0.000815537597224438,0.000333974176189194,0.117244584544238,0.00714379518712753,0.000864199389541434,0.159727073974816,0.00289843470763667,0.000573140283965087,0.000895680113719912,0.00325327685933801,0.266940068559881,0,0.00445181239686146,0,0,0.00581311592650787,0.0268632940333007,0,0
"Ex_DACH2_ITGA9",0.00425840498225522,0.0793570313894887,0.0222986245524822,0.000330147874946185,0.00272724998151223,0.0455647812625908,0.175846191494142,0.000472308748503388,0.000601662252068118,0.00184307017242,0.0500367984630609,0.131476778396988,0.000809597445942102,0.0326676515889289,0,0.0242814451470059,0.00405795174869091,0,0
"Ex_DACH2_LHX2",0.000255361240404299,0.00124333499835929,0.365368732025485,0.00182228556024425,0.00785099204214496,0.0053827088100369,0,0,0.000876961822683035,0,0.161249087235036,0.00518591785124746,0,0,0,0.00202776728284808,0.0352356585841019,0.00035400881149853,0
"Ex_DACH2_LUZP2",0.000400405777101527,0.001510901118774,0.345308099883788,0.033909760115469,0.00642153801121049,0.000506867532203276,0.000244193114455961,0.000653824858991576,0.000307199159594419,0.0179916737003671,0.213365119525253,0.0125442266478743,0.000394493119797564,0.000427860855958814,0,0,0.000963345826782039,0,0
