"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-3","Glut-DACH2-LMANco","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-7","Glut-DACH2-4","Glut-CACNA1H-3","Glut-SATB2-1","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-DACH2-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00148062546408784,0.0821138950960275,0.0442821257881251,0.00433174912702003,0.121952774954452,0.220776805576835,0.000441073901407372,0.0016494611599353,0.0277115830612292,0.00163489945591512,0.00155937995006135,0.00262868337557586,0.00137156805918784,0.00503315588769149,0.0748834685251962,0.00077911099702313,0.0110670157757924,0,0
"Ex_CACNA1H_CPA6",0.0184083321353557,0,0.785865146106318,0,0,0,0,0,0.00748715442333888,0,0,0,0,0,0,0,0,0.0107564682570979,0
"Ex_CACNA1H_KIT",0.0154427898671832,0,0.711043533262177,0,0,0,0,0.000532701395630248,0.083463424549411,0.00505532568526503,0,0,0,0,0.00257750259705461,0,0,0,0
"Ex_CACNA1H_LHX9",0.0728935261577,0,0.188545210320296,0,0,0.00395708064667892,0,0.00285533936858354,0.526560815657479,0.00262698764263843,0,0,0,0,0.00157167944086885,0,0.00221463885295141,0.0022068629894979,0
"Ex_CACNA1H_MCTP2",0.00121714181205444,0,0.25682998231043,0.00910634415485418,0,0.0189113173049555,0,0.000615311908733653,0.0974698553718272,0.0610734105333826,0,0,0,0,0.0109503842823555,0.00788977624388935,0.0237930723392429,0,0.047952951060712
"Ex_CACNA1H_PROX1",0,0.00356908786491013,0.613016434178638,0.000431470137482768,0,0.00497139610049011,0.00122759582787978,0.000884005727493798,0.0514559879015783,0.0245817986220505,0.000394733271478334,0,0,0,0,0.0033738007633462,0.00815582844912839,0,0.0120132212385994
"Ex_DACH2_ADAMTS5",0.000339218853234396,0.0169037394429495,0,0.0131528556064588,0.00086548097647695,0.00232865212932244,0.00198239686358583,0.000432120473692054,0,0.059517570336708,0.214571771117297,0.0010667403080722,0,0,0,0.264866718512769,0.0192986554987779,0,0.00172606147726702
"Ex_DACH2_CEMIP",0.00171395847160904,0.639126769168116,0,0.0348008852800346,0,0.110560713656669,0.0019839565460378,0,0,0.00133291118203991,0.00192590369297034,0.00678117495952839,0,0,0.00554150688179165,0,0,0.000457802209319123,0
"Ex_DACH2_GRIK4",0.00120349535241039,0,0.00124844152499088,0.000334192883886074,0.00136291451560905,0,0.000248163205702782,0.00758377555835282,0.00966336801222121,0.114830530607771,0.170370924686127,0,0,0.00391891108537762,0.00192933540549509,0.0258496255830112,0.267364240685445,0,0.00720254909494823
"Ex_DACH2_ITGA9",0.00774998994571463,0.0420679844305855,0.00256718124037855,0.175503068053267,0.00027646055266748,0.131343605855323,0.00131920621755422,0.00180488792638876,0.000522319866612798,0.0212228637561965,0.0430772776537365,0.0770131310160099,0,0.000413710873841964,0.00521775536905794,0.000914899897255302,0.0518769930645296,0.000400590145666685,0.0340051603098989
